Material Type,Closing Cost,Closing Weight,Closing Cost/um,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Commodity,Commodity Type,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current),Start Date,End Date
"#2 ICW 35%",0.0000,0,0,0.0000,0,0,0,CUIN235,0,0,0,COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#2 ICW 45%",736.7218,986,0.74718235294117647059,736.7218,986,0,0,CUIN245,986,986,0E-20,COPPER TIER 2,NON_FERROUS,736.7218,986,0,0,0,0,0,0,0,0,736.7218,986,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.74718235294117647059,0.8966188235294117647080,,0,0,2025-12-31,2025-12-31
"#2 ICW 55%",0.0000,0,0,0.0000,0,0,0,CUIN255,0,0,0,COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#2 ICW 65%",0.0000,0,0,0.0000,0,0,0,CUIN265,0,0,0,COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#2 ICW 80%",4644.8684,1875,2.4772631466666667,4644.8684,1875,0,0,CUIN280,1875,1875,0E-20,COPPER TIER 2,NON_FERROUS,4644.8684,1875,0,0,0,0,0,0,0,0,4644.8684,1875,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.4772631466666667,2.972715776000000040,,0,0,2025-12-31,2025-12-31
304 STAINLESS L,0.0000,0,0,0.0000,0,0,0,304SSL,0,0,0,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
304 STAINLESS OVERSIZED,0.0000,0,0,0.0000,0,0,0,304SSOS,0,0,0,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
304 STAINLESS SOLIDS,2495.0000,10000,0.24950000000000000000,2495.0000,10000,0,0,NISS300,10000,10000,0E-24,STAINLESS STEEL TIER 1,NON_FERROUS,2495.0000,10000,0,0,0,0,0,0,0,0,2495.0000,10000,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.24950000000000000000,0.2994000000000000000000,,0,0,2025-12-31,2025-12-31
304 STAINLESS STEEL TURNINGS,342.4800,1427,0.24000000000000000000,13.4400,56,329.0400,1371,NI300BO,1427,1427,0E-20,STAINLESS STEEL TIER 1,NON_FERROUS,342.4800,1427,0,0,0,0,0,0,0,0,13.4400,56,0,0,0,0,329.0400,1371,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.24000000000000000000,0.2880000000000000000000,,0,0,2025-12-31,2025-12-31
304 STAINLESS WITH POLY,0.0000,0,0,0.0000,0,0,0,304STNPLY,0,0,0,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
