feature,coefficient
close_location,-0.2829296210353638
drawdown_20d,0.17883838912321162
dow_sin,0.138320983551222
TNX_ret_1d,-0.12945786042373805
volatility_5d,0.1160065068165021
FMG_AX_div_z20,0.10202346493979605
CMC_ratio_mom20,-0.07961144148031653
600019_SS_overnight_ret,0.07869868930426725
DX_Y_NYB_vol_20d,0.07345362680841314
dow_cos,-0.05282035179094533
TNX_ret_5d,0.051464292624670796
CNY_ret_1d,0.04849639149363966
steelmakers_20d_mom,0.044931893241895324
VIX_ret_5d,0.04349384665177544
VIX_ret_1d,-0.03676005330081754
CNY_mom_20d,-0.03669205120983734
log_return_5d,-0.03595977487459653
steelmakers_overnight_mean,0.026863819678973017
TX_div_1d,0.02548718287430949
PKX_div_1d,-0.022674414889785822
high_low_range,0.021635955351609282
TKA_DE_overnight_ret,0.01979946874555884
gap_return,-0.008914979998272853
iron_ore_overnight_z20,-0.0038787281871124025
SSAB_B_ST_overnight_ret,0.003500601901010577
steelmakers_trend_5_20,0.0005981955236168669
SSAB_B_ST_overnight_div,0.00022440778027904738
