year,n,accuracy,auc
2018,143,0.5874,0.4788
2019,252,0.75,0.4467
2020,252,0.6071,0.5574
2021,252,0.5159,0.5176
2022,251,0.5697,0.5154
2023,250,0.596,0.6067
2024,252,0.7143,0.4777
2025,251,0.5179,0.4783
2026,121,0.5868,0.5399
