code,commodity,ctype,eoy2025_wt,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
CU TRANS,COPPER TIER 3,NON_FERROUS,161.0,1297.0,4070.0,-2612.0,449.0,-3061.0
ALPAINT,ALUMINUM,NON_FERROUS,5612.0,31487.0,28260.0,8839.0,5949.0,2890.0
CASTAL356,ALUMINUM,NON_FERROUS,0.0,15433.0,18194.0,-2761.0,0.0,-2761.0
319ALFLASHING,ALUMINUM,NON_FERROUS,0.0,4458.0,5015.0,-557.0,2113.0,-2670.0
AL0RDFE,ALUMINUM,NON_FERROUS,2091.0,3512.0,0.0,5603.0,2966.0,2637.0
CUELMOL,COPPER TIER 3,NON_FERROUS,2010.0,846.0,5373.0,-2517.0,0.0,-2517.0
NISS300,STAINLESS STEEL TIER 1,NON_FERROUS,10000.0,154552.0,125447.0,39105.0,36674.0,2431.0
ALEXTRU,ALUMINUM,NON_FERROUS,3448.0,6593.0,6152.0,3889.0,1649.0,2240.0
AL0RADS,ALUMINUM,NON_FERROUS,2159.0,2231.0,5916.0,-1526.0,654.0,-2180.0
BRDROSS,BRASS TIER 2,NON_FERROUS,2120.0,0.0,0.0,2120.0,0.0,2120.0
CU00003,COPPER TIER 1,NON_FERROUS,526.0,3307.0,296.0,3537.0,1433.0,2104.0
COMWIRECU,COPPER TIER 2,NON_FERROUS,8151.0,17554.0,23430.0,2275.0,4310.0,-2035.0
SVPBB,COPPER TIER 1,NON_FERROUS,188.0,70.0,2151.0,-1893.0,70.0,-1963.0
304STNPLY,STAINLESS STEEL TIER 1,NON_FERROUS,0.0,6763.0,4823.0,1940.0,0.0,1940.0
MIXSS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,15275.0,16564.0,-1289.0,646.0,-1935.0
DRTYBRS,BRASS TIER 1,NON_FERROUS,335.0,2128.0,0.0,2463.0,547.0,1916.0
AL0BECW,ALUMINUM,NON_FERROUS,578.0,372.0,2839.0,-1889.0,0.0,-1889.0
LEAUTOB,LEAD,NON_FERROUS,22086.0,50587.0,43781.0,28892.0,30689.0,-1797.0
ALMFLASH,ALUMINUM,NON_FERROUS,4662.0,604.0,3484.0,1782.0,0.0,1782.0
CU00001,COPPER TIER 1,NON_FERROUS,2341.0,26627.0,29626.0,-658.0,1036.0,-1694.0
CCAL,ALUMINUM,NON_FERROUS,955.0,5192.0,6269.0,-122.0,1504.0,-1626.0
ALMFURN,ALUMINUM,NON_FERROUS,0.0,1520.0,0.0,1520.0,0.0,1520.0
BOTTAL,ALUMINUM,NON_FERROUS,0.0,2304.0,0.0,2304.0,3824.0,-1520.0
Al0356,ALUMINUM,NON_FERROUS,0.0,1483.0,0.0,1483.0,0.0,1483.0
6061PTDSPCAL,ALUMINUM,NON_FERROUS,0.0,516.0,1914.0,-1398.0,0.0,-1398.0
CUIN185,COPPER TIER 2,NON_FERROUS,52.0,1414.0,0.0,1466.0,156.0,1310.0
174SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,588.0,15961.0,17849.0,-1300.0,0.0,-1300.0
CB2,ZWASTE,WA,4284.0,37077.0,1501.0,39860.0,41094.0,-1234.0
380NCAL,ALUMINUM,NON_FERROUS,1381.0,21445.0,23997.0,-1171.0,0.0,-1171.0
NIINCON,STAINLESS STEEL TIER 2,NON_FERROUS,1308.0,0.0,0.0,1308.0,151.0,1157.0
201,STAINLESS STEEL TIER 2,NON_FERROUS,3440.0,0.0,2327.0,1113.0,0.0,1113.0
5086,ALUMINUM,NON_FERROUS,70.0,150.0,1092.0,-872.0,150.0,-1022.0
440SSS,STAINLESS STEEL TIER 2,NON_FERROUS,993.0,0.0,0.0,993.0,0.0,993.0
6063PIAL,ALUMINUM,NON_FERROUS,963.0,249.0,0.0,1212.0,249.0,963.0
CUBSBR,COPPER TIER 1,NON_FERROUS,0.0,333.0,1030.0,-697.0,145.0,-842.0
CUMOTORDC,COPPER TIER 3,NON_FERROUS,0.0,17.0,790.0,-773.0,17.0,-790.0
AL3003,ALUMINUM,NON_FERROUS,0.0,9180.0,9180.0,0.0,783.0,-783.0
AL03003,ALUMINUM,NON_FERROUS,741.0,9320.0,9298.0,763.0,0.0,763.0
