code,commodity,ctype,eoy2025_wt,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
360 brass turnings,BRASS TIER 2,NON_FERROUS,0.0,1589.0,1326.0,263.0,344.0,-81.0
SvPtCu,COPPER TIER 1,NON_FERROUS,0.0,87.0,0.0,87.0,10.0,77.0
CUIN245,COPPER TIER 2,NON_FERROUS,986.0,6944.0,6012.0,1918.0,1842.0,76.0
BRCU,COPPER TIER 1,NON_FERROUS,113.0,2075.0,1884.0,304.0,228.0,76.0
NITITAN,STAINLESS STEEL TIER 2,NON_FERROUS,75.0,0.0,0.0,75.0,0.0,75.0
BRREDSD,BRASS TIER 1,NON_FERROUS,832.0,4223.0,4781.0,274.0,205.0,69.0
MIXBR,BRASS TIER 2,NON_FERROUS,0.0,2121.0,1828.0,293.0,227.0,66.0
AL0CAST,ALUMINUM,NON_FERROUS,31.0,34.0,0.0,65.0,0.0,65.0
BRAUTOR,BRASS TIER 2,NON_FERROUS,275.0,132.0,0.0,407.0,471.0,-64.0
LEWHEEL,LEAD,NON_FERROUS,3810.0,1517.0,0.0,5327.0,5267.0,60.0
NISS301,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,56.0,0.0,56.0,0.0,56.0
EDMW,BRASS TIER 1,NON_FERROUS,1255.0,11952.0,12421.0,786.0,731.0,55.0
CUIN255,COPPER TIER 2,NON_FERROUS,0.0,50.0,0.0,50.0,0.0,50.0
NI316BO,STAINLESS STEEL TIER 1,NON_FERROUS,1370.0,16519.0,16790.0,1099.0,1147.0,-48.0
2205 STAINLESS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,4533.0,4486.0,47.0,0.0,47.0
PTD5052,ALUMINUM,NON_FERROUS,0.0,785.0,822.0,-37.0,9.0,-46.0
TCABLE,COPPER TIER 2,NON_FERROUS,46.0,0.0,0.0,46.0,0.0,46.0
3003PTD,ALUMINUM,NON_FERROUS,45.0,0.0,0.0,45.0,0.0,45.0
ALTRANSF,ALUMINUM,NON_FERROUS,7848.0,5037.0,8926.0,3959.0,4003.0,-44.0
OLCAAL,ALUMINUM,NON_FERROUS,0.0,46.0,0.0,46.0,2.0,44.0
PTD3003,ALUMINUM,NON_FERROUS,0.0,7.0,0.0,7.0,45.0,-38.0
BRAUTOF,BRASS TIER 2,NON_FERROUS,19.0,298.0,0.0,317.0,280.0,37.0
6022ALUM,ALUMINUM,NON_FERROUS,591.0,0.0,625.0,-34.0,0.0,-34.0
410SSTRN,STAINLESS STEEL TIER 2,NON_FERROUS,435.0,699.0,682.0,452.0,483.0,-31.0
CRNIBR7030,BRASS TIER 2,NON_FERROUS,389.0,0.0,420.0,-31.0,0.0,-31.0
ALBRZ,ALUMINUM,NON_FERROUS,703.0,1314.0,1609.0,408.0,381.0,27.0
LDPPE,LEAD,NON_FERROUS,559.0,60.0,0.0,619.0,594.0,25.0
CUFUS,COPPER TIER 3,NON_FERROUS,0.0,20.0,0.0,20.0,44.0,-24.0
7030BR,BRASS TIER 2,NON_FERROUS,94.0,2301.0,2353.0,42.0,60.0,-18.0
ALMOLDS,ALUMINUM,NON_FERROUS,0.0,18.0,0.0,18.0,0.0,18.0
30ALP,ALUMINUM,NON_FERROUS,0.0,1662.0,1676.0,-14.0,0.0,-14.0
STBXCAB,STEEL,FERROUS,0.0,2.0,0.0,2.0,9.0,-7.0
AL0ACSR,ALUMINUM,NON_FERROUS,634.0,866.0,0.0,1500.0,1496.0,4.0
ALFOIL,ALUMINUM,NON_FERROUS,1.0,10.0,0.0,11.0,10.0,1.0
IrYwBr,BRASS TIER 1,NON_FERROUS,135.0,497.0,0.0,632.0,633.0,-1.0
CASAL,ALUMINUM,NON_FERROUS,0.0,13.0,0.0,13.0,14.0,-1.0
4140SOLS,STEEL,FERROUS,0.0,3255.0,0.0,3255.0,3255.0,0.0
STLCOL,STEEL,FERROUS,11489.0,0.0,0.0,11489.0,11489.0,0.0
CUALTRNMX,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
STCBLE,STEEL,FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
STBXW,STEEL,FERROUS,578.0,79.0,0.0,657.0,657.0,0.0
BRFLLGGF,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
STBD,STEEL,FERROUS,0.0,244300.0,244300.0,0.0,0.0,0.0
BRFLASH,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
410SSS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,2258.0,2258.0,0.0,0.0,0.0
BRFHGGF,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BRFC,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
STWR,STEEL,FERROUS,0.0,1237860.0,1237420.0,440.0,440.0,0.0
CUIN172,COPPER TIER 2,NON_FERROUS,0.0,38.0,0.0,38.0,38.0,0.0
RLWHLS,STEEL,FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
416SSS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
RDBM,BRASS TIER 1,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
Pwtr,BRASS TIER 2,NON_FERROUS,17.0,0.0,0.0,17.0,17.0,0.0
416SST,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,202.0,0.0,202.0,202.0,0.0
BREDMC,BRASS TIER 2,NON_FERROUS,0.0,1640.0,1027.0,613.0,613.0,0.0
BRBM,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
PRELMTR,COPPER TIER 3,NON_FERROUS,0.0,143.0,0.0,143.0,143.0,0.0
319CSTAL,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
1010ALEXT,ALUMINUM,NON_FERROUS,0.0,198.0,0.0,198.0,198.0,0.0
316SSO,STAINLESS STEEL TIER 1,NON_FERROUS,6000.0,900.0,0.0,6900.0,6900.0,0.0
BRSPL01,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
ZNTURN,ZINC,NON_FERROUS,146.0,0.0,0.0,146.0,146.0,0.0
ZNOX,ZINC,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BRYTRN,COPPER TIER 1,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
CATR,ALUMINUM,NON_FERROUS,735.0,760.0,0.0,1495.0,1495.0,0.0
YELBM,BRASS TIER 1,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
1018ST,STEEL,FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
155SSS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
201SSCOIL,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
2024ALCST,ALUMINUM,NON_FERROUS,0.0,1.0,0.0,1.0,1.0,0.0
2205 Solids,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,3172.0,0.0,3172.0,3172.0,0.0
BRASTUR,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BRSLAG,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
TTSS,STAINLESS STEEL TIER 2,NON_FERROUS,625.0,33.0,0.0,658.0,658.0,0.0
CLPBNDS,STEEL,FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
CO6FE,OTHER,Other,0.0,2878.0,0.0,2878.0,2878.0,0.0
304SSOS,STAINLESS STEEL TIER 1,NON_FERROUS,0.0,10758.0,0.0,10758.0,10758.0,0.0
BRNZTRN,BRASS TIER 2,NON_FERROUS,101.0,162.0,0.0,263.0,263.0,0.0
