metal,wt,cost,mkt,mkt_wt_pct,cost_wt_pct
STEEL,2076452.0,173465.12,274196.91,33.8,36.9
ALUMINUM,223209.0,111519.08,218360.1,27.0,23.7
COPPER,61868.0,94687.7,142608.62,17.6,20.1
STAINLESS STEEL,227458.0,57725.08,117785.23,14.5,12.3
BRASS,9762.0,17660.48,25332.53,3.1,3.8
OTHER,34967.0,8168.81,15319.45,1.9,1.7
LEAD,119344.0,6484.84,14835.84,1.8,1.4
ZWASTE,56605.0,278.99,1009.0,0.1,0.1
ZINC,1570.0,620.96,593.54,0.1,0.1
