yard,code,name,commodity,metal,wt,cost,jan_price,factor,eoy_price,mkt
Merrillville,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,ALUMINUM,546.0,1105.9198,4.0456,0.9496,3.8418,2097.65
Merrillville, ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,ALUMINUM,716.0,1718.4,3.18,0.9496,3.0199,2162.22
Merrillville,AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,584.0,204.4086,0.8428,0.9496,0.8004,467.4
Merrillville,ALUMLC,ALUMINUM MLC,ALUMINUM,ALUMINUM,0.0,0.0,1.1437,0.9496,1.0862,0.0
Merrillville,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,ALUMINUM,0.0,0.0,0.08,0.9496,0.076,0.0
Merrillville,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,ALUMINUM,2027.0,703.85,0.72,0.9496,0.6837,1385.95
Merrillville,PMLC,Aluminum Painted MLC,ALUMINUM,ALUMINUM,0.0,0.0,0.5,0.9496,0.4748,0.0
Merrillville,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,ALUMINUM,5012.0,2789.6913,1.0832,0.9496,1.0287,5155.73
Merrillville,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,ALUMINUM,1047.0,658.98,0.9617,0.9496,0.9133,956.18
Merrillville,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,ALUMINUM,1372.0,205.5883,0.1884,0.9496,0.1789,245.45
Merrillville,ALWHEEL,ALUMINUM RIMS,ALUMINUM,ALUMINUM,1225.0,735.0,1.3854,0.9496,1.3156,1611.64
Merrillville,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,ALUMINUM,483.0,214.2666,0.82,0.9496,0.7787,376.12
Merrillville,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,ALUMINUM,7838.0,1099.02,0.21,0.9496,0.1994,1563.09
Merrillville,LEAUTOB,AUTO BATTERIES,LEAD,LEAD,17642.0,1899.0873,0.3,1.0,0.3,5292.6
Merrillville,FEAUCST,AUTO CAST,STEEL,STEEL,36872.0,5245.3944,0.192,0.9901,0.1901,7008.03
Merrillville,CUBALST,BALLAST,COPPER TIER 3,COPPER,1075.0,115.2373,0.39,0.9573,0.3734,401.36
Merrillville,CUBB001,BARE BRIGHT COPPER,COPPER TIER 1,COPPER,7035.0,28077.7316,5.3946,0.9573,5.1644,36331.35
Merrillville,BrCuSds,Beryllium Copper Solids,COPPER TIER 1,COPPER,0.0,0.0,5.2,0.9573,4.9781,0.0
Merrillville,BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,BRASS,0.0,0.0,1.582,0.9573,1.5145,0.0
Merrillville,BRAUTOF,BRASS AUTO RADIATORS - FE,BRASS TIER 2,BRASS,19.0,5.32,1.0872,0.9573,1.0408,19.78
Merrillville,BRNZTRN,BRONZE TURNINGS,BRASS TIER 2,BRASS,101.0,131.3,1.5,0.9573,1.436,145.03
Merrillville,Indbush,BUSHELING,STEEL,STEEL,161465.0,15129.9062,0.1582,0.9901,0.1566,25290.94
Merrillville,NICARBD,CARBIDE,STAINLESS STEEL TIER 2,STAINLESS STEEL,119.0,357.0,22.5,1.0,22.5,2677.5
Merrillville,CB2,CARDBOARD,ZWASTE,ZWASTE,2783.0,178.0604,0.0246,1.0,0.0246,68.33
Merrillville,CRNIBR7030,CHROME/NICKEL PLATED BRASS SHELLS,BRASS TIER 2,BRASS,389.0,855.8,3.45,0.9573,3.3028,1284.77
Merrillville,ALWHLCR,CHROME RIMS,ALUMINUM,ALUMINUM,456.0,240.9,0.89,0.9496,0.8452,385.4
Merrillville,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,ALUMINUM,900.0,235.6801,0.6749,0.9496,0.6409,576.78
Merrillville,LESTRIP,CLEAN LEAD,LEAD,LEAD,0.0,0.0,0.25,1.0,0.25,0.0
Merrillville,CLSHST,CLEAN SHEET,STEEL,STEEL,37360.0,2545.1503,0.1349,0.9901,0.1335,4989.3
Merrillville,COMWIRECU,COMMUNICATION WIRE,COPPER TIER 2,COPPER,6320.0,8619.8241,2.2385,0.9573,2.1429,13543.37
Merrillville,CUALTRAN,COPPER/ALUMINUM TRANSFORMERS,COPPER TIER 3,COPPER,61.0,7.32,0.06,0.9573,0.0574,3.5
Merrillville,COPARM,COPPER ARMATURES,COPPER TIER 3,COPPER,341.0,682.0,0.7,0.9573,0.6701,228.51
Merrillville,CuBkrs,Copper Breakers,COPPER TIER 3,COPPER,0.0,0.0,0.07,0.9573,0.067,0.0
Merrillville,CUFUS,COPPER FUSES,COPPER TIER 3,COPPER,0.0,0.0,0.148,0.9573,0.1417,0.0
Merrillville,CU TRANS,COPPER TRANSFORMERS,COPPER TIER 3,COPPER,62.0,12.4,0.9318,0.9573,0.8921,55.31
Merrillville,CUBSBR,CU BUSS BAR,COPPER TIER 1,COPPER,0.0,0.0,5.6318,0.9573,5.3914,0.0
Merrillville,CUMOTORDC,DC MOTORS,COPPER TIER 3,COPPER,0.0,0.0,0.6,0.9573,0.5744,0.0
Merrillville,DALRS,Dirty Aluminum Rims,ALUMINUM,ALUMINUM,0.0,0.0,1.2661,0.9496,1.2024,0.0
Merrillville,DPBr,Dirty Plumbers Brass,BRASS TIER 1,BRASS,285.0,165.9,0.9773,0.9573,0.9356,266.65
Merrillville,DRKBS,Door Knobs,BRASS TIER 2,BRASS,518.0,31.5509,0.8,0.9573,0.7659,396.71
Merrillville,EDMW,EDM WIRE ,BRASS TIER 1,BRASS,496.0,1140.8,3.14,0.9573,3.006,1490.97
Merrillville,CUMOTOR,ELECTRIC MOTORS,COPPER TIER 3,COPPER,1452.0,203.0779,0.62,0.9573,0.5935,861.82
Merrillville,CUMOD,ELECTRIC MOTORS - FE,COPPER TIER 3,COPPER,5268.0,464.5401,0.47,0.9573,0.4499,2370.29
Merrillville,CUELMOL,ELECTRIC MOTORS - LARGE,COPPER TIER 3,COPPER,2010.0,273.0081,0.51,0.9573,0.4882,981.35
Merrillville,FEPBCNTWTS,FE PB COUNTER WEIGHTS,LEAD,LEAD,0.0,0.0,0.0,1.0,0.0,0.0
Merrillville,ACUT,FULL A/C UNIT,STEEL,STEEL,14686.0,2202.9,0.15,0.9901,0.1485,2181.09
Merrillville,HAST276,HAST C-276 SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Merrillville,INDHVYM,HEAVY MELT,STEEL,STEEL,39226.0,3395.2791,0.1449,0.9901,0.1435,5627.89
Merrillville,ICWHARWIR,ICW HARNESS WIRE,COPPER TIER 2,COPPER,259.0,211.3081,2.3984,0.9573,2.296,594.66
Merrillville,NIINCON,INCONEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,1157.0,2314.0,1.7998,1.0,1.7998,2082.34
Merrillville,InsECW,INSULATED EC WIRE,ALUMINUM,ALUMINUM,470.0,136.2276,1.2,0.9496,1.1396,535.6
Merrillville,IrBrTs,Irony Brass Turnings,BRASS TIER 2,BRASS,103.0,89.2598,0.8666,0.9573,0.8296,85.45
Merrillville,AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,1760.0,392.3068,1.0623,0.9496,1.0088,1775.43
Merrillville,IyRdBr,Irony Red Brass,BRASS TIER 1,BRASS,0.0,0.0,0.0,0.9573,0.0,0.0
Merrillville,IrYwBr,Irony Yellow Brass,BRASS TIER 1,BRASS,135.0,106.5622,1.0783,0.9573,1.0322,139.35
Merrillville,MA00001,MAGNESIUM,OTHER,OTHER,5.0,0.0,0.01,1.0,0.01,0.05
Merrillville,MO2RE2,MO2-RE2,STAINLESS STEEL TIER 2,STAINLESS STEEL,884.0,1878.0,2.1244,1.0,2.1244,1878.0
Merrillville,OLCAAL,OLD CAST AL,ALUMINUM,ALUMINUM,0.0,0.0,0.25,0.9496,0.2374,0.0
Merrillville,OCAL5,OLD CAST AL 5% FE,ALUMINUM,ALUMINUM,1699.0,598.4554,0.75,0.9496,0.7122,1210.08
Merrillville,Pwtr,Pewter,BRASS TIER 2,BRASS,17.0,54.06,3.18,0.9573,3.0443,51.75
Merrillville,BR0PHOS,PHOS BRONZE SOLIDS,BRASS TIER 2,BRASS,148.0,330.04,2.0,0.9573,1.9146,283.37
Merrillville,INDP&S,PLATE & STRUCTUAL,STEEL,STEEL,37810.0,3056.4892,0.1509,0.9901,0.1494,5649.88
Merrillville,PRELMTR,PREMIUM ELECTRIC MOTORS ,COPPER TIER 3,COPPER,0.0,0.0,0.06,0.9573,0.0574,0.0
Merrillville,RLWHLS,RAIL WHEELS ,STEEL,STEEL,0.0,0.0,0.0,0.9901,0.0,0.0
Merrillville,LERANGE,RANGE LEAD,LEAD,LEAD,305.0,144.4242,0.4735,1.0,0.4735,144.42
Merrillville,REBAR,REBAR,STEEL,STEEL,0.0,0.0,0.0168,0.9901,0.0166,0.0
