code,name,commodity,metal,ctype,qty_lbs,unit_value,price_source,value_usd,weight_by_value_pct,weight_by_qty_pct
CRNIBR7030,CHROME/NICKEL PLATED BRASS SHELLS,BRASS TIER 2,BRASS,NON_FERROUS,420.0,3.45,sale (recent),1449.0,0.05,0.01
5086,AL 5086,ALUMINUM,ALUMINUM,NON_FERROUS,1092.0,1.15,sale (YTD),1255.8,0.05,0.02
AL3003,3003 AL SOLIDS,ALUMINUM,ALUMINUM,NON_FERROUS,783.0,1.73,sale (recent),1354.59,0.05,0.01
NI316BO,316 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,1418.0,1.0,sale (recent),1418.0,0.05,0.02
InsECW,INSULATED EC WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,1077.0,1.2,sale (recent),1292.4,0.05,0.02
NI300BO,304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,2099.0,0.61,sale (recent),1288.58,0.05,0.03
MIXSS,MIXED STAINLESS STEEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,1935.0,0.62,sale (recent),1193.31,0.04,0.03
LDFNE,ZZ DO NOT USE - LEAD FINES (pb),LEAD,LEAD,NON_FERROUS,22121.0,0.05,sale (YTD),1106.05,0.04,0.35
STCSCOTRA,STEEL CASED COPPER TRANSFORMERS,COPPER TIER 3,COPPER,NON_FERROUS,3330.0,0.35,sale (YTD),1165.5,0.04,0.05
6061ALR,6061 AL RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,2147.0,0.48,avg cost,1025.41,0.04,0.03
AUCORESTEEL,AUTO BODY - CORE ,STEEL,STEEL,FERROUS,11370.0,0.11,avg cost,1217.73,0.04,0.18
STMTRBLK,STEEL MOTOR BLOCKS,STEEL,STEEL,FERROUS,8869.0,0.12,purchase (YTD),1076.7,0.04,0.14
201,201 STAINLESS CLIP,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,2327.0,0.4,sale (recent),930.8,0.03,0.04
AL07075,7075 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,1346.0,0.58,avg cost,781.76,0.03,0.02
TRWLS,6061 TRUCK WHEELS,ALUMINUM,ALUMINUM,NON_FERROUS,599.0,1.2,sale (YTD),718.8,0.03,0.01
6022ALUM,6022 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,625.0,1.4,sale (YTD),875.0,0.03,0.01
