code,name,commodity,metal,ctype,qty_lbs,unit_value,price_source,value_usd,weight_by_value_pct,weight_by_qty_pct
PTD5052,PTD 5052 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,46.0,1.65,sale (YTD),75.9,0.0,0.0
ZI00001,ZINC SOLIDS,ZINC,ZINC,NON_FERROUS,409.0,0.25,purchase (YTD),102.25,0.0,0.01
TTSS,TITANIUM TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,658.0,0.2,avg cost,132.65,0.0,0.01
STWR,STEEL WIRE,STEEL,STEEL,FERROUS,440.0,0.1,sale (recent),44.4,0.0,0.01
Pwtr,Pewter,BRASS TIER 2,BRASS,NON_FERROUS,17.0,3.18,avg cost,54.06,0.0,0.0
OVSZMAC,OVERSIZED MACHINERY,STEEL,STEEL,FERROUS,3240.0,0.03,purchase (YTD),94.61,0.0,0.05
CUALTRAN,COPPER/ALUMINUM TRANSFORMERS,COPPER TIER 3,COPPER,NON_FERROUS,417.0,0.06,purchase (YTD),25.02,0.0,0.01
OLCAAL,OLD CAST AL,ALUMINUM,ALUMINUM,NON_FERROUS,2.0,0.25,avg cost,0.5,0.0,0.0
AL02024,2000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,329.0,0.2,avg cost,65.8,0.0,0.01
BRHEATR,HEATER CORES,BRASS TIER 2,BRASS,NON_FERROUS,219.0,0.08,avg cost,18.18,0.0,0.0
BRFAUC,LOW GRADE FAUCET BRASS,BRASS TIER 1,BRASS,NON_FERROUS,164.0,0.56,purchase (YTD),91.23,0.0,0.0
BR360BO,RED BRASS TURNINGS,BRASS TIER 1,BRASS,NON_FERROUS,40.0,2.8,avg cost,112.0,0.0,0.0
ALNCST,ALUMINUM NEW CAST,ALUMINUM,ALUMINUM,NON_FERROUS,87.0,0.3,purchase (YTD),26.1,0.0,0.0
ALFOIL,ALUMINUM FOIL,ALUMINUM,ALUMINUM,NON_FERROUS,2.0,0.06,avg cost,0.12,0.0,0.0
ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,ALUMINUM,NON_FERROUS,3.0,0.4,avg cost,1.2,0.0,0.0
6063ALS,6063 AL SOLIDS,ALUMINUM,ALUMINUM,NON_FERROUS,6.0,0.8,purchase (YTD),4.8,0.0,0.0
CASAL,CAST AL,ALUMINUM,ALUMINUM,NON_FERROUS,14.0,0.3,avg cost,4.2,0.0,0.0
430SSP,430 STAINLESS STEEL PIPE,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,83.0,0.25,avg cost,20.75,0.0,0.0
