Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
"#2 ICW 55%",CUIN255,COPPER TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
"#2 ICW 65%",CUIN265,COPPER TIER 2,0,134,194.2086,0,0,134,194.2086,1.4493,NON_FERROUS
"#2 ICW 80%",CUIN280,COPPER TIER 2,0,128,211.2000,0,0,128,211.2000,1.6500,NON_FERROUS
3003 AL PAINTED,PTD3003,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
3003 AL SOLIDS,AL3003,ALUMINUM,0,783,566.7059,0,0,783,566.7059,0.7238,NON_FERROUS
3003 ALUMINUM WITH POLY,30ALP,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
301 STAINLESS STEEL SOLIDS,NISS301,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
304 STAINLESS L,304SSL,STAINLESS STEEL TIER 1,0,14,2.8000,0,0,14,2.8000,0.2000,NON_FERROUS
304 STAINLESS OVERSIZED,304SSOS,STAINLESS STEEL TIER 1,0,9400,1880.0000,0,0,9400,1880.0000,0.2000,NON_FERROUS
304 STAINLESS SOLIDS,NISS300,STAINLESS STEEL TIER 1,0,11321,3339.4527,0,0,11321,3339.4527,0.2950,NON_FERROUS
304 STAINLESS STEEL TURNINGS,NI300BO,STAINLESS STEEL TIER 1,0,477,137.7013,2829,816.6816,3306,954.3829,0.2887,NON_FERROUS
304 STAINLESS WITH POLY,304STNPLY,STAINLESS STEEL TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
309 STAINLESS STEEL SOLIDS,NISS309,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
3105 AL SOLIDS,3105ALSOL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
310 STAINLESS STEEL SOLIDS,NISS310,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
316 STAINLESS STEEL OVERSIZED,316SSO,STAINLESS STEEL TIER 1,0,6900,4709.4526,0,0,6900,4709.4526,0.6825,NON_FERROUS
316 STAINLESS STEEL SOLIDS,NISS316,STAINLESS STEEL TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
316 STAINLESS STEEL TURNINGS,NI316BO,STAINLESS STEEL TIER 1,0,84,34.7269,1063,439.4608,1147,474.1877,0.4134,NON_FERROUS
"319 AL FLASHINGS ",319ALFLASHING,ALUMINUM,0,0,0,2113,754.2692,2113,754.2692,0.3570,NON_FERROUS
319 CASTINGS,319CSTAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
360 BRASS SOLIDS,360BS,BRASS TIER 2,0,69,235.9800,0,0,69,235.9800,3.4200,NON_FERROUS
