Outbound Ticket Id,Status,Customer Name,Invoice Id,Invoice Issue Date,Invoice Status,Commodity Name,Material Name,Yard Net Weight,Yard Value,Consumer Net Weight,Consumer Value,Amount (Invoice Currency),Cost Of Goods Sold (Yard Currency),Cost Of Goods Sold (Invoice Currency),Margin,Commodity Type,Sales Order #,Carrier Name,Ship To Name,Ship To Address,Ship To City,Ship To State,Ship To Zip
1411,PAID,Omni Source,1447,"02-20-26, 13:08:07",PAID,STEEL,BUSHELING,"27,840","$4,449.43","27,840","$4,337.58","$4,337.58",$0.00,$0.00,"$4,337.58",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1408,PAID,Padnos,1445,"02-19-26, 14:22:43",PAID,STEEL,STEEL TURNING,"12,280","$1,617.23","11,517","$1,516.74","$1,516.74",$0.00,$0.00,"$1,516.74",FERROUS,379,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1407,PAID,Padnos,1444,"02-19-26, 14:22:08",PAID,STEEL,STEEL TURNING,"56,480","$7,438.21","56,480","$7,438.22","$7,438.22",$0.00,$0.00,"$7,438.22",FERROUS,379,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1406,PAID,Padnos,1442,"02-19-26, 11:51:25",PAID,STEEL,STEEL TURNING,"15,220","$2,004.42","15,220","$2,004.41","$2,004.41",$0.00,$0.00,"$2,004.41",FERROUS,379,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1388,PAID,Omni Source,1432,"02-16-26, 07:53:30",PAID,STEEL,STEEL WIRE,"40,340","$4,070.02","40,340","$4,598.76","$4,598.76",$0.00,$0.00,"$4,598.76",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1382,PAID,Padnos,1426,"02-12-26, 14:00:13",PAID,STEEL,STEEL BANDING (fe),"29,040","$3,759.64","29,040","$3,305.90","$3,305.90",$0.00,$0.00,"$3,305.90",FERROUS,342,BMR Transport - 2,Holland Location,140 West 7th Street,Holland,MI,49423
1379,PAID,Omni Source,1424,"02-11-26, 07:37:13",PAID,STEEL,BUSHELING,"40,300","$6,440.80","40,200","$6,263.29","$6,263.29",$0.00,$0.00,"$6,263.29",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1378,PAID,Omni Source,1423,"02-11-26, 07:36:41",PAID,STEEL,BUSHELING,"39,540","$6,319.34","39,540","$6,160.48","$6,160.48",$0.00,$0.00,"$6,160.48",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1372,PAID,Omni Source,1417,"02-10-26, 13:52:41",PAID,STEEL,STEEL WIRE,"34,200","$3,450.54","34,200","$3,898.80","$3,898.80",$0.00,$0.00,"$3,898.80",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1371,PAID,Omni Source,1416,"02-10-26, 13:52:04",PAID,STEEL,BUSHELING,"38,860","$6,210.66","38,860","$6,054.52","$6,054.52",$0.00,$0.00,"$6,054.52",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1370,PAID,Padnos,1415,"02-10-26, 13:51:31",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"20,980","$2,482.01","20,980","$2,763.00","$2,763.00",$0.00,$0.00,"$2,763.00",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1368,PAID,Padnos,1413,"02-09-26, 08:30:32",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"14,140","$1,672.81","14,140","$1,862.19","$1,862.19",$0.00,$0.00,"$1,862.19",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1367,PAID,Padnos,1412,"02-09-26, 07:35:45",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"22,600","$2,673.66","22,600","$2,976.34","$2,976.34",$0.00,$0.00,"$2,976.34",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1365,PAID,Padnos,1410,"02-06-26, 14:10:39",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"25,760","$3,047.50","25,760","$3,392.50","$3,392.50",$0.00,$0.00,"$3,392.50",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1386,PAID,Padnos,1429,"02-06-26, 09:02:54",PAID,BRASS TIER 1,EDM WIRE ,"1,182","$3,770.58","1,182","$3,770.58","$3,770.58","$2,254.58","$2,254.58","$1,516.00",NON_FERROUS,373,,Elkhart,923 Edwardsburg Ave,Elkhart,IN,46514
1386,PAID,Padnos,1429,"02-06-26, 09:02:54",PAID,STAINLESS STEEL TIER 2,TUNGSTEN MOLY TA INSERTS,263,"$8,068.84",263,"$8,068.84","$8,068.84","$5,649.24","$5,649.24","$2,419.60",NON_FERROUS,373,,Elkhart,923 Edwardsburg Ave,Elkhart,IN,46514
1386,PAID,Padnos,1429,"02-06-26, 09:02:54",PAID,ALUMINUM,ALUMINUM MLC,366,$387.96,366,$387.96,$387.96,$267.63,$267.63,$120.33,NON_FERROUS,373,,Elkhart,923 Edwardsburg Ave,Elkhart,IN,46514
1386,PAID,Padnos,1429,"02-06-26, 09:02:54",PAID,STAINLESS STEEL TIER 1,17-4 SOLIDS,"2,706",$514.14,"2,706",$514.14,$514.14,$312.67,$312.67,$201.47,NON_FERROUS,373,,Elkhart,923 Edwardsburg Ave,Elkhart,IN,46514
1386,PAID,Padnos,1429,"02-06-26, 09:02:54",PAID,ALUMINUM,ZZ DO NOT USE - ALUMINUM TURNINGS,638,$357.28,638,$357.28,$357.28,$150.09,$150.09,$207.19,NON_FERROUS,373,,Elkhart,923 Edwardsburg Ave,Elkhart,IN,46514
1359,PAID,Omni Source,1401,"02-04-26, 13:40:32",PAID,STEEL,BUSHELING,"36,900","$5,897.41","36,900","$5,749.15","$5,749.15",$0.00,$0.00,"$5,749.15",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1361,PAID,Padnos,1405,"02-04-26, 07:41:05",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"17,400","$2,058.48","17,400","$2,291.53","$2,291.53",$0.00,$0.00,"$2,291.53",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1360,PAID,Padnos,1404,"02-04-26, 07:39:35",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"21,020","$2,486.74","21,020","$2,768.25","$2,768.25",$706.83,$706.83,"$2,061.42",FERROUS,366,DTC BMR Transport,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1355,PAID,Omni Source,1395,"02-03-26, 07:48:42",PAID,STEEL,BUSHELING,"49,780","$7,955.91","49,780","$7,755.90","$7,755.90",$0.00,$0.00,"$7,755.90",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1354,PAID,Omni Source,1394,"02-03-26, 07:48:00",PAID,STEEL,STEEL WIRE,"30,460","$3,073.20","30,460","$3,472.44","$3,472.44",$0.00,$0.00,"$3,472.44",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1344,PAID,Padnos,1383,"01-30-26, 14:21:53",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"47,060","$5,567.37","47,060","$5,567.36","$5,567.36",$0.00,$0.00,"$5,567.36",FERROUS,343,BMR Transport - 2,Holland Location,140 West 7th Street,Holland,MI,49423
1342,PAID,Padnos,1382,"01-30-26, 10:43:17",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"56,280","$6,658.13","56,400","$6,294.65","$6,294.65","$1,587.34","$1,587.34","$4,707.31",FERROUS,343,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1345,PAID,Padnos,1387,"01-30-26, 07:47:51",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"18,960","$2,243.04","18,960","$2,243.04","$2,243.04",$0.00,$0.00,"$2,243.04",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1348,PAID,Padnos,1386,"01-30-26, 07:47:05",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"11,020","$1,303.71","11,020","$1,303.69","$1,303.69",$0.00,$0.00,"$1,303.69",FERROUS,366,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1341,PAID,Omni Source,1380,"01-29-26, 08:15:13",PAID,STEEL,BUSHELING,"17,760","$2,838.43","17,760","$3,076.30","$3,076.30",$0.00,$0.00,"$3,076.30",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1340,PAID,Omni Source,1379,"01-29-26, 08:14:29",PAID,STEEL,STEEL WIRE,"35,920","$3,624.07","35,920","$3,789.56","$3,789.56",$0.00,$0.00,"$3,789.56",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1338,PAID,Padnos,1378,"01-29-26, 07:46:25",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"50,820","$6,012.19","50,700","$5,658.48","$5,658.48","$1,460.73","$1,460.73","$4,197.75",FERROUS,343,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1337,PAID,Padnos,1375,"01-28-26, 14:08:48",PAID,STEEL,STEEL BANDING (fe),"23,980","$3,104.55","23,630","$2,226.29","$2,226.29",$0.00,$0.00,"$2,226.29",FERROUS,342,BMR Transport - 2,Holland Location,140 West 7th Street,Holland,MI,49423
1336,PAID,Padnos,1377,"01-28-26, 11:45:28",PAID,STEEL,SHEET IRON,"38,140","$4,937.77","39,350","$4,894.43","$4,894.43","$2,628.50","$2,628.50","$2,265.93",FERROUS,342,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1333,PAID,Omni Source,1372,"01-26-26, 14:20:11",PAID,STEEL,BUSHELING,"47,620","$7,610.70","47,420","$8,213.80","$8,213.80",$0.00,$0.00,"$8,213.80",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1330,PAID,Omni Source,1369,"01-22-26, 15:06:02",PAID,STEEL,STEEL WIRE,"27,380","$2,762.45","27,380","$2,888.59","$2,888.59",$0.00,$0.00,"$2,888.59",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1329,PAID,Omni Source,1368,"01-22-26, 15:05:29",PAID,STEEL,STEEL WIRE,"23,680","$2,389.14","23,280","$2,456.04","$2,456.04",$0.00,$0.00,"$2,456.04",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1322,PAID,Omni Source,1360,"01-20-26, 14:09:15",PAID,STEEL,BUSHELING,"42,600","$6,808.39","41,900","$7,257.70","$7,257.70",$0.00,$0.00,"$7,257.70",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1323,SHIPPED,Padnos,1361,"01-20-26, 06:55:12",PAID,STEEL,SHEET IRON,"39,200","$5,075.00","39,960","$4,973.39","$4,973.39","$2,528.29","$2,528.29","$2,445.10",FERROUS,342,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1315,SHIPPED,Padnos,1353,"01-16-26, 12:04:33",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"54,200","$6,412.05","54,160","$5,923.76","$5,923.76","$1,680.95","$1,680.95","$4,242.81",FERROUS,343,,Holland Location,140 West 7th Street,Holland,MI,49423
1314,SHIPPED,Padnos,1352,"01-16-26, 12:01:36",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"41,080","$4,859.91","41,200","$4,874.12","$4,874.12","$1,274.05","$1,274.05","$3,600.07",FERROUS,343,,Holland Location,140 West 7th Street,Holland,MI,49423
1318,PAID,Padnos,1356,"01-16-26, 08:04:31",PAID,STEEL,STEEL BANDING (fe),"20,040","$2,594.46","20,040","$1,557.67","$1,557.67",$0.00,$0.00,"$1,557.67",FERROUS,342,BMR Transport - 2,Holland Location,140 West 7th Street,Holland,MI,49423
1303,SHIPPED,Padnos,1339,"01-15-26, 09:17:43",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"50,860","$6,016.92","51,060","$6,040.57","$6,040.57","$1,530.49","$1,530.49","$4,510.08",FERROUS,343,Rison Transportation,Holland Location,140 West 7th Street,Holland,MI,49423
