Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
ALUMINIUM TURNS,ALUTURN,ALUMINUM,0,1226,265.5419,681,141.8081,1907,407.3500,0.2136,NON_FERROUS
ALUMINUM BREAK,ALUBREAK,ALUMINUM,0,23088,2329.4669,1219,129.5958,24307,2459.0627,0.1012,NON_FERROUS
ALUMINUM/BRONZE,ALBRZ,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM BRONZE TURNINGS," ALBZTS1",ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM CANS,AL00UBC,ALUMINUM,0,1456,585.7995,0,0,1456,585.7995,0.4023,NON_FERROUS
ALUMINUM DIE-CAST,ALDCAST,ALUMINUM,0,3,1.2000,0,0,3,1.2000,0.4000,NON_FERROUS
ALUMINUM FOIL,ALFOIL,ALUMINUM,0,2,0.1200,0,0,2,0.1200,0.0600,NON_FERROUS
ALUMINUM MLC,ALUMLC,ALUMINUM,0,417,166.8000,0,0,417,166.8000,0.4000,NON_FERROUS
ALUMINUM MOLDS,ALMOLDS,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM NEW CAST,ALNCST,ALUMINUM,0,38,15.2000,0,0,38,15.2000,0.4000,NON_FERROUS
ALUMINUM OLD SHEET,ALSHEET,ALUMINUM,0,2330.0,1187.1507,0,0,2330.0,1187.1507,0.5095,NON_FERROUS
Aluminum Painted MLC,PMLC,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM PAINTED SIDING,ALPAINT,ALUMINUM,0,3377,1907.6548,0,0,3377,1907.6548,0.5649,NON_FERROUS
ALUMINUM RADIATORS - CLEAN,AL0RADS,ALUMINUM,0,163,57.0500,0,0,163,57.0500,0.3500,NON_FERROUS
ALUMINUM RADIATORS - FE,AL0RDFE,ALUMINUM,0,1079,312.7159,0,0,1079,312.7159,0.2898,NON_FERROUS
ALUMINUM RIMS,ALWHEEL,ALUMINUM,0,382,271.3127,504,318.2660,886,589.5787,0.6654,NON_FERROUS
ALUMINUM THERMAL EXT,ALTHERMEX,ALUMINUM,0,1027,608.7456,1666,949.0544,2693,1557.8000,0.5785,NON_FERROUS
ALUMINUM TRAILER STOCK,ALTRSTK,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUM TRANSFORMERS,ALTRANSF,ALUMINUM,0,155,13.9500,0,0,155,13.9500,0.0900,NON_FERROUS
AUTO BATTERIES,LEAUTOB,LEAD,0,2393,239.2427,13709,1360.6225,16102,1599.8652,0.0994,NON_FERROUS
AUTO CAST,FEAUCST,STEEL,0,136041,22203.4244,0,0,136041,22203.4244,0.1632,FERROUS
BALLAST,CUBALST,COPPER TIER 3,0,460,69.0000,0,0,460,69.0000,0.1500,NON_FERROUS
BARE BRIGHT COPPER,CUBB001,COPPER TIER 1,0,63,327.6000,0,0,63,327.6000,5.2000,NON_FERROUS
Beryllium Copper Solids,BrCuSds,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS AUTO RADIATORS - CLEAN,BRAUTOR,BRASS TIER 2,0,169,220.7200,0,0,169,220.7200,1.3060,NON_FERROUS
BRASS AUTO RADIATORS - FE,BRAUTOF,BRASS TIER 2,0,242,224.8473,0,0,242,224.8473,0.9291,NON_FERROUS
BRONZE TURNINGS,BRNZTRN,BRASS TIER 2,0,101,131.3000,0,0,101,131.3000,1.3000,NON_FERROUS
BUSHELING,Indbush,STEEL,0,119218,11492.8023,0,0,119218,11492.8023,0.0964,FERROUS
CARBIDE,NICARBD,STAINLESS STEEL TIER 2,0,33,660.0000,0,0,33,660.0000,20.0000,NON_FERROUS
CARDBOARD,CB2,ZWASTE,0,0,0,4017,278.9922,4017,278.9922,0.0695,WA
CAST AL,CASAL,ALUMINUM,0,14,4.2000,0,0,14,4.2000,0.3000,NON_FERROUS
CHROME/NICKEL PLATED BRASS SHELLS,CRNIBR7030,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
CHROME RIMS,ALWHLCR,ALUMINUM,0,413,166.2054,483,234.1294,896,400.3348,0.4468,NON_FERROUS
CLEAN CAST ALUMINUM,CCAL,ALUMINUM,0,747,309.0505,757,297.5313,1504,606.5818,0.4033,NON_FERROUS
CLEAN LEAD,LESTRIP,LEAD,0,0,0,0,0,0,0,0,NON_FERROUS
CLEAN SHEET,CLSHST,STEEL,0,83544,7013.4993,0,0,83544,7013.4993,0.0839,FERROUS
COMMUNICATION WIRE,COMWIRECU,COPPER TIER 2,0,360.0,539.3254,0,0,360.0,539.3254,1.4981,NON_FERROUS
COPPER/ALUMINUM TRANSFORMERS,CUALTRAN,COPPER TIER 3,0,61,7.3200,0,0,61,7.3200,0.1200,NON_FERROUS
COPPER ARMATURES,COPARM,COPPER TIER 3,0,465,452.2393,0,0,465,452.2393,0.9726,NON_FERROUS
Copper Breakers,CuBkrs,COPPER TIER 3,0,0,0,0,0,0,0,0,NON_FERROUS
COPPER FUSES,CUFUS,COPPER TIER 3,0,33,122.2629,0,0,33,122.2629,3.7049,NON_FERROUS
COPPER TRANSFORMERS,CU TRANS,COPPER TIER 3,0,290,58.0000,0,0,290,58.0000,0.2000,NON_FERROUS
CU BUSS BAR,CUBSBR,COPPER TIER 1,0,145,573.2248,0,0,145,573.2248,3.9533,NON_FERROUS
DC MOTORS,CUMOTORDC,COPPER TIER 3,0,17,0.0000,0,0,17,0.0000,0.0000,NON_FERROUS
Dirty Aluminum Rims,DALRS,ALUMINUM,0,9,3.6000,0,0,9,3.6000,0.4000,NON_FERROUS
