date,FCX,SCCO,COPX,BHP,RIO,VALE,FXI,MCHI,ASHR,KWEB,DBB,PICK,XME,SLX,CPER,SPY,GLD,USO,VIX,DX_Y_NYB,TNX,CNY,CLP,AUD,PEN
2014-06-02,29.357032775878906,19.131938934326172,23.972978591918945,29.060791015625,22.316007614135742,5.927070140838623,27.434051513671875,36.3765754699707,15.030879974365234,26.424829483032227,13.65797233581543,23.190126419067383,33.0015983581543,30.030500411987305,21.09000015258789,156.97381591796875,119.69999694824219,300.239990234375,11.579999923706055,80.63999938964844,2.5339999198913574,6.2378997802734375,548.5999755859375,1.0752999782562256,2.763000011444092
2014-06-03,29.314002990722656,19.02326774597168,23.949100494384766,28.78791046142578,22.17584800720215,5.853212833404541,27.677942276000977,36.72287368774414,14.916088104248047,26.206443786621094,13.608278274536133,23.14316749572754,32.70618438720703,30.030500411987305,21.09000015258789,156.89248657226562,120.01000213623047,301.1199951171875,11.869999885559082,80.55000305175781,2.5929999351501465,6.2378997802734375,550.5999755859375,1.0825999975204468,2.7634999752044678
2014-06-04,29.692590713500977,18.665307998657227,23.949100494384766,28.62590980529785,22.316007614135742,5.8255157470703125,27.44883918762207,36.39231872558594,14.747276306152344,26.245439529418945,13.467474937438965,23.14316749572754,33.01847839355469,29.997873306274414,20.790000915527344,157.2098846435547,119.76000213623047,300.0799865722656,12.079999923706055,80.66999816894531,2.6059999465942383,6.24459981918335,549.7999877929688,1.079699993133545,2.7799999713897705
2014-06-05,29.916296005249023,18.70366096496582,23.758081436157227,28.856138229370117,22.494400024414062,5.880909442901611,27.670549392700195,36.67564392089844,14.902583122253418,26.635421752929688,13.500604629516602,23.3427734375,33.61774444580078,30.43507957458496,20.790000915527344,158.23516845703125,120.66000366210938,300.3999938964844,11.680000305175781,80.37000274658203,2.5840001106262207,6.2403998374938965,551.7000122070312,1.0782999992370605,2.7850000858306885
2014-06-06,30.0539608001709,18.467153549194336,23.68644905090332,28.97125244140625,22.71102523803711,6.0424723625183105,27.522737503051758,36.510372161865234,14.82155704498291,26.6588134765625,13.566864967346191,23.542388916015625,33.86250305175781,30.761362075805664,20.6200008392334,158.991943359375,120.61000061035156,300.8800048828125,10.729999542236328,80.41000366210938,2.5969998836517334,6.246799945831299,550.7999877929688,1.0721999406814575,2.720400094985962
2014-06-09,29.821645736694336,18.607776641845703,23.662572860717773,29.030942916870117,22.65156364440918,6.134794235229492,27.796199798583984,36.8409309387207,14.875574111938477,26.962993621826172,13.724233627319336,23.460193634033203,33.89626693725586,30.898399353027344,20.479999542236328,159.1547088623047,120.6500015258789,305.44000244140625,11.149999618530273,80.6500015258789,2.61299991607666,6.240499973297119,550.7999877929688,1.0712000131607056,2.7286999225616455
2014-06-10,29.56352996826172,18.575820922851562,23.471548080444336,28.95846176147461,22.447681427001953,6.097866058349609,27.921833038330078,37.10063934326172,15.030879974365234,27.0955867767334,13.666254997253418,23.366256713867188,33.870948791503906,30.637380599975586,20.690000534057617,159.17103576660156,121.38999938964844,306.239990234375,10.989999771118164,80.81999969482422,2.634999990463257,6.230299949645996,550.7999877929688,1.070199966430664,2.7829999923706055
2014-06-11,29.322620391845703,18.499113082885742,23.376039505004883,28.87318229675293,22.54537582397461,6.088632106781006,27.803585052490234,36.8409309387207,14.956602096557617,27.516759872436523,13.508886337280273,23.366256713867188,34.183231353759766,30.735258102416992,20.690000534057617,158.61769104003906,121.41000366210938,306.0,11.600000381469727,80.79000091552734,2.640000104904175,6.2144999504089355,553.2000122070312,1.0670000314712524,2.7880001068115234
2014-06-12,28.969844818115234,18.31374168395996,23.18501853942871,28.37860679626465,21.78933334350586,5.867061138153076,27.72967529296875,36.825191497802734,14.90933609008789,27.290578842163086,13.318387985229492,22.95529556274414,33.752777099609375,30.167537689208984,20.440000534057617,157.49465942382812,122.63999938964844,312.6400146484375,12.5600004196167,80.58000183105469,2.5859999656677246,6.218100070953369,554.3499755859375,1.0658999681472778,2.796999931335449
2014-06-13,29.22797203063965,18.364866256713867,23.137266159057617,28.472410202026367,21.916751861572266,5.91322135925293,28.15094757080078,37.28165817260742,15.179431915283203,27.39977264404297,13.368083000183105,23.107942581176758,34.25920104980469,30.28499984741211,20.3700008392334,157.97479248046875,122.95999908447266,312.9599914550781,12.180000305175781,80.58000183105469,2.6040000915527344,6.208499908447266,553.3499755859375,1.0608999729156494,2.7385001182556152
