feature,coefficient
MT_ratio_mom20,-0.4832436625614769
RS_div_5d,-0.4245662905797742
momentum_10d,-0.2981271850115222
WOR_div_1d,-0.27847027911055017
PKX_div_z20,-0.26605385804881543
FMG_AX_div_5d,0.25621069348786935
STLD_div_20d,-0.24962313428406321
WOR_div_z20,0.24641389372464634
VIX_mom_20d,0.23827850842583687
PKX_div_1d,0.23772413133251424
volatility_5d,-0.23612750916514597
BHP_ratio_mom20,-0.23089904337849484
volatility_60d,0.22704623276970606
month_cos,0.22463953674118062
SLX_ratio_mom20,-0.2239088863964548
momentum_60d,-0.2026861718661727
CMC_div_z20,0.19733375868049816
BHP_div_5d,-0.19592835632510133
CLF_div_20d,-0.19481332305064697
dow_sin,-0.18807947810826298
DBB_div_1d,-0.18696757188043497
VALE_div_20d,0.1799960938041373
ma20_vs_ma60,-0.16880488475163588
DX_Y_NYB_mom_20d,-0.16710654322529606
VALE_div_z20,-0.1665464403940223
CLF_div_5d,0.15794586460359397
VIX_ret_1d,0.1556878316863527
TX_div_1d,0.1531554278164318
NUE_div_z20,0.15312567186224882
volatility_20d,0.14660794236836114
DBB_div_5d,0.14594668759908697
WOR_div_5d,0.13761285686443067
WOR_ratio_mom20,-0.1292492406704554
MT_div_z20,0.12790763209377468
CLF_div_z20,-0.1231640526465688
log_return_3d,-0.11942209316113715
TX_ratio_mom20,0.10662154891109546
TIO=F_div_5d,-0.10230843319875482
TIO=F_div_20d,0.0934316534336055
STLD_div_1d,0.0919867778847569
STLD_div_z20,0.08908918915430056
VIX_vol_20d,-0.0884822153657547
CLF_div_1d,-0.08633246550699394
DX_Y_NYB_ret_5d,0.07838946679076846
SID_div_20d,0.07781274163458506
GGB_div_5d,0.07716755879974051
TIO=F_div_z20,0.07117573670390756
month_sin,0.07080424609718691
SID_div_1d,-0.06523614011084124
dow_cos,-0.06480093792462215
GGB_ratio_mom20,-0.06112875825427494
MT_div_1d,0.05877229011968179
NUE_div_20d,-0.05756952220180202
PKX_div_5d,-0.05521803190365082
log_return_2d,0.052786473946900794
TNX_ret_1d,-0.05095811694090579
FMG_AX_div_z20,-0.046338049205848074
DX_Y_NYB_vol_20d,0.04323183727191848
PICK_div_z20,0.04291868346191246
drawdown_60d,0.041149697630365197
NUE_div_5d,-0.04068438221025337
CMC_div_5d,0.03607990631222104
STLD_div_5d,0.03557175878004577
BHP_div_z20,0.032503798704554235
TNX_ret_5d,-0.031112686023280357
CNY_ret_5d,0.030972770993831895
CNY_vol_20d,0.027776522563717387
DX_Y_NYB_ret_1d,-0.025294891915097206
PKX_div_20d,0.025112472706678466
XME_div_z20,0.023791378195437245
CMC_div_1d,-0.015951938617933467
RS_div_z20,0.01494029224654102
log_return_1d,0.010997330725405437
CNY_ret_1d,-0.00950010309158534
RIO_div_1d,0.008552224233741234
TNX_mom_20d,-0.0032742429291562165
