Material Type,Commodity,Commodity Type,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Start Date,End Date,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Closing Cost,Closing Weight,Closing Cost/um,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current)
6061 AL RIMS,ALUMINUM,NON_FERROUS,257.1800,700,0,0,6061ALR,700,700,0E-20,2025-12-31,2025-12-31,0,0,0,0,257.1800,700,0,0,0,0,257.1800,700,0.36740000000000000000,257.1800,700,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.36740000000000000000,0.4408800000000000000000,,0,0
6061 ALUMINUM EXTRUSIONS,ALUMINUM,NON_FERROUS,1940.8210,2648,0,0,ALEXTRU,2648,2648,0E-20,2025-12-31,2025-12-31,0,0,0,0,1940.8210,2648,0,0,0,0,1940.8210,2648,0.73293844410876132931,1940.8210,2648,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.73293844410876132931,0.8795261329305135951720,,0,0
6061 ALUMINUM - SPC,ALUMINUM,NON_FERROUS,0.0000,0,0,0,AL06061,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
6061 PAINTED SPC,ALUMINUM,NON_FERROUS,0.0000,0,0,0,6061PTDSPCAL,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
6061 TURNINGS,ALUMINUM,NON_FERROUS,3666.1987,12629,0,0,AL6061TURNS,12629,12629,0E-24,2025-12-31,2025-12-31,0,0,0,0,3666.1987,12629,0,0,0,0,3666.1987,12629,0.29030000000000000000,3666.1987,12629,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.29030000000000000000,0.3483600000000000000000,,0,0
6063 AL SOLIDS,ALUMINUM,NON_FERROUS,0.0000,0,0,0,6063ALS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
6063 BARE ALUMINUM EXTRUSION,ALUMINUM,NON_FERROUS,1904.3758,2418,191.7497,237,AL06063,2655,2655,0E-20,2025-12-31,2025-12-31,0,0,0,0,2096.1255,2655,0,0,0,0,2096.1255,2655,0.78950112994350282486,1904.3758,2418,0,0,0,0,191.7497,237,0,0,0,0,0,0,MILTON,Benton Metals,,,0.78950112994350282486,0.9474013559322033898320,,0,0
6063 PAINTED EXTRUSION,ALUMINUM,NON_FERROUS,650.7000,1146,0,0,AL06310,1146,1146,0E-20,2025-12-31,2025-12-31,0,0,0,0,650.7000,1146,0,0,0,0,650.7000,1146,0.56780104712041884817,650.7000,1146,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.56780104712041884817,0.6813612565445026178040,,0,0
6063 PIPE,ALUMINUM,NON_FERROUS,301.5000,603,0,0,6063PIAL,603,603,0E-20,2025-12-31,2025-12-31,0,0,0,0,301.5000,603,0,0,0,0,301.5000,603,0.50000000000000000000,301.5000,603,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.50000000000000000000,0.6000000000000000000000,,0,0
6105 TURNINGS,ALUMINUM,NON_FERROUS,0.0000,0,0,0,6105 turnings,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
7000 SERIES ALUMINUM,ALUMINUM,NON_FERROUS,0.0000,0,0,0,AL07000,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
7075 ALUMINUM,ALUMINUM,NON_FERROUS,436.2000,727,0,0,AL07075,727,727,0E-20,2025-12-31,2025-12-31,0,0,0,0,436.2000,727,0,0,0,0,436.2000,727,0.60000000000000000000,436.2000,727,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.60000000000000000000,0.7200000000000000000000,,0,0
AA AUTO PARTS,STEEL,FERROUS,0.0000,0,0,0,AAAPRT,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
AC PUMPS,OTHER,Other,35.7614,449,0,0,ACPUM,449,449,0E-20,2025-12-31,2025-12-31,0,0,0,0,35.7614,449,0,0,0,0,35.7614,449,0.07964677060133630290,35.7614,449,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.07964677060133630290,0.0955761247216035634800,,0,0
ACR AL/CU RADIATOR ENDS,ALUMINUM,NON_FERROUS,24.8041,210,0,0,ALCURAEND,210,210,0E-20,2025-12-31,2025-12-31,0,0,0,0,24.8041,210,0,0,0,0,24.8041,210,0.11811476190476190476,24.8041,210,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.11811476190476190476,0.1417377142857142857120,,0,0
ACSR WIRE,ALUMINUM,NON_FERROUS,24.6629,119,98.2371,474,AL0ACSR,593,593,0E-20,2025-12-31,2025-12-31,0,0,0,0,122.9000,593,0,0,0,0,122.9000,593,0.20725126475548060708,24.6629,119,0,0,0,0,98.2371,474,0,0,0,0,0,0,MILTON,Benton Metals,,,0.20725126475548060708,0.2487015177065767284960,,0,0
AL 5086,ALUMINUM,NON_FERROUS,7.8568,70,0,0,5086,70,70,0E-20,2025-12-31,2025-12-31,0,0,0,0,7.8568,70,0,0,0,0,7.8568,70,0.11224000000000000000,7.8568,70,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.11224000000000000000,0.1346880000000000000000,,0,0
AL/CU RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,193.1972,164,0,0,ALCURAD,164,164,0E-20,2025-12-31,2025-12-31,0,0,0,0,193.1972,164,0,0,0,0,193.1972,164,1.1780317073170732,193.1972,164,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,1.1780317073170732,1.413638048780487840,,0,0
AL/CU RADIATORS - FE,ALUMINUM,NON_FERROUS,47.3000,43,127.7933,135,ALCURFE,178,178,0E-20,2025-12-31,2025-12-31,0,0,0,0,175.0933,178,0,0,0,0,175.0933,178,0.98367022471910112360,47.3000,43,0,0,0,0,127.7933,135,0,0,0,0,0,0,MILTON,Benton Metals,,,0.98367022471910112360,1.1804042696629213483200,,0,0
AL DUST,ALUMINUM,NON_FERROUS,0.0000,0,0,0,ALDUST,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
AL TANKS,ALUMINUM,NON_FERROUS,0.0000,0,0,0,ALTANKS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
ALTERNATORS,COPPER TIER 3,NON_FERROUS,39.5467,283,0,0,CUALTER,283,283,0E-20,2025-12-31,2025-12-31,0,0,0,0,39.5467,283,0,0,0,0,39.5467,283,0.13974098939929328622,39.5467,283,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.13974098939929328622,0.1676891872791519434640,,0,0
ALUM ARMATURE,ALUMINUM,NON_FERROUS,0.0000,0,0,0,ALUARM,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
ALUM BX WIRE,COPPER TIER 2,NON_FERROUS,15.9057,101,0,0,ALBXWI,101,101,0E-20,2025-12-31,2025-12-31,0,0,0,0,15.9057,101,0,0,0,0,15.9057,101,0.15748217821782178218,15.9057,101,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.15748217821782178218,0.1889786138613861386160,,0,0
ALUMINUM/BRONZE,ALUMINUM,NON_FERROUS,365.5000,157,0,0,ALBRZ,157,157,0E-20,2025-12-31,2025-12-31,0,0,0,0,365.5000,157,0,0,0,0,365.5000,157,2.3280254777070064,365.5000,157,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,2.3280254777070064,2.793630573248407680,,0,0
ALUMINUM CANS,ALUMINUM,NON_FERROUS,48.8000,244,0,0,AL00UBC,244,244,0E-20,2025-12-31,2025-12-31,0,0,0,0,48.8000,244,0,0,0,0,48.8000,244,0.20000000000000000000,48.8000,244,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.20000000000000000000,0.2400000000000000000000,,0,0
ALUMINUM DIE-CAST,ALUMINUM,NON_FERROUS,0.0000,0,0,0,ALDCAST,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
ALUMINUM FOIL,ALUMINUM,NON_FERROUS,0.0600,1,0,0,ALFOIL,1,1,0E-20,2025-12-31,2025-12-31,0,0,0,0,0.0600,1,0,0,0,0,0.0600,1,0.06000000000000000000,0.0600,1,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.06000000000000000000,0.0720000000000000000000,,0,0
ALUMINUM LITHO,ALUMINUM,NON_FERROUS,0.0000,0,1798.2000,5994,ALLITHO,5994,5994,0E-20,2025-12-31,2025-12-31,0,0,0,0,1798.2000,5994,0,0,0,0,1798.2000,5994,0.30000000000000000000,0.0000,0,0,0,0,0,1798.2000,5994,0,0,0,0,0,0,MILTON,Benton Metals,,,0.30000000000000000000,0.3600000000000000000000,,0,0
ALUMINUM MLC,ALUMINUM,NON_FERROUS,1.8200,3,259.0414,427,ALUMLC,430,430,0E-20,2025-12-31,2025-12-31,0,0,0,0,260.8614,430,0,0,0,0,260.8614,430,0.60665441860465116279,1.8200,3,0,0,0,0,259.0414,427,0,0,0,0,0,0,MILTON,Benton Metals,,,0.60665441860465116279,0.7279853023255813953480,,0,0
ALUMINUM MOTOR BLOCKS WHOLE,ALUMINUM,NON_FERROUS,277.6800,2136,0,0,ALMOTOR,2136,2136,0E-20,2025-12-31,2025-12-31,0,0,0,0,277.6800,2136,0,0,0,0,277.6800,2136,0.13000000000000000000,277.6800,2136,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.13000000000000000000,0.1560000000000000000000,,0,0
ALUMINUM NEW CAST,ALUMINUM,NON_FERROUS,38.1000,127,0,0,ALNCST,127,127,0E-20,2025-12-31,2025-12-31,0,0,0,0,38.1000,127,0,0,0,0,38.1000,127,0.30000000000000000000,38.1000,127,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.30000000000000000000,0.3600000000000000000000,,0,0
ALUMINUM OLD SHEET,ALUMINUM,NON_FERROUS,614.7763,2060,0,0,ALSHEET,2060,2060,0E-20,2025-12-31,2025-12-31,0,0,0,0,614.7763,2060,0,0,0,0,614.7763,2060,0.29843509708737864078,614.7763,2060,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.29843509708737864078,0.3581221165048543689360,,0,0
Aluminum Painted MLC,ALUMINUM,NON_FERROUS,0.0000,0,0,0,PMLC,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
ALUMINUM PAINTED SIDING,ALUMINUM,NON_FERROUS,232.4398,600,0,0,ALPAINT,600,600,0E-20,2025-12-31,2025-12-31,0,0,0,0,232.4398,600,0,0,0,0,232.4398,600,0.38739966666666666667,232.4398,600,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.38739966666666666667,0.4648796000000000000040,,0,0
ALUMINUM RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,193.3810,1112,0,0,AL0RADS,1112,1112,0E-20,2025-12-31,2025-12-31,0,0,0,0,193.3810,1112,0,0,0,0,193.3810,1112,0.17390377697841726619,193.3810,1112,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.17390377697841726619,0.2086845323741007194280,,0,0
ALUMINUM RADIATORS - FE,ALUMINUM,NON_FERROUS,96.9958,719,0,0,AL0RDFE,719,719,0E-20,2025-12-31,2025-12-31,0,0,0,0,96.9958,719,0,0,0,0,96.9958,719,0.13490375521557719054,96.9958,719,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.13490375521557719054,0.1618845062586926286480,,0,0
ALUMINUM RIMS,ALUMINUM,NON_FERROUS,4815.7000,8342,0,0,ALWHEEL,8342,8342,0E-20,2025-12-31,2025-12-31,0,0,0,0,4815.7000,8342,0,0,0,0,4815.7000,8342,0.57728362502996883241,4815.7000,8342,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.57728362502996883241,0.6927403500359625988920,,0,0
ALUMINUM SPILLS,ALUMINUM,NON_FERROUS,0.0000,0,0,0,ALSKMS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
ALUMINUM THERMAL EXT,ALUMINUM,NON_FERROUS,1146.5309,3351,148.6900,434,ALTHERMEX,3785,3785,0E-20,2025-12-31,2025-12-31,0,0,0,0,1295.2209,3785,0,0,0,0,1295.2209,3785,0.34219838837516512550,1146.5309,3351,0,0,0,0,148.6900,434,0,0,0,0,0,0,MILTON,Benton Metals,,,0.34219838837516512550,0.4106380660501981506000,,0,0
ALUM TRANSFORMERS,ALUMINUM,NON_FERROUS,0.9000,10,0,0,ALTRANSF,10,10,0E-20,2025-12-31,2025-12-31,0,0,0,0,0.9000,10,0,0,0,0,0.9000,10,0.09000000000000000000,0.9000,10,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.09000000000000000000,0.1080000000000000000000,,0,0
AUTO BATTERIES,LEAD,NON_FERROUS,118.6765,1200,286.0869,3244,LEAUTOB,4444,4444,0E-20,2025-12-31,2025-12-31,0,0,0,0,404.7634,4444,0,0,0,0,404.7634,4444,0.09108087308730873087,118.6765,1200,0,0,0,0,286.0869,3244,0,0,0,0,0,0,MILTON,Benton Metals,,,0.09108087308730873087,0.1092970477047704770440,,0,0
AUTO BODY - COMPLETE,STEEL,FERROUS,2921.7600,39840,0,0,FE0DEAT,39840,39840,0E-24,2025-12-31,2025-12-31,0,0,0,0,2921.7600,39840,0,0,0,0,2921.7600,39840,0.07333734939759036145,2921.7600,39840,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.07333734939759036145,0.0880048192771084337400,,0,0
AUTO BODY - INCOMPLETE,STEEL,FERROUS,4076.7343,53720,0,0,FE0AUTO,53720,53720,0E-24,2025-12-31,2025-12-31,0,0,0,0,4076.7343,53720,0,0,0,0,4076.7343,53720,0.07588857594936708861,4076.7343,53720,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.07588857594936708861,0.0910662911392405063320,,0,0
AUTO CAST,STEEL,FERROUS,993.3975,8580,0,0,FEAUCST,8580,8580,0E-20,2025-12-31,2025-12-31,0,0,0,0,993.3975,8580,0,0,0,0,993.3975,8580,0.11578059440559440559,993.3975,8580,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.11578059440559440559,0.1389367132867132867080,,0,0
BALLAST,COPPER TIER 3,NON_FERROUS,27.9377,455,0,0,CUBALST,455,455,0E-20,2025-12-31,2025-12-31,0,0,0,0,27.9377,455,0,0,0,0,27.9377,455,0.06140153846153846154,27.9377,455,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.06140153846153846154,0.0736818461538461538480,,0,0
BARE BRIGHT COPPER,COPPER TIER 1,NON_FERROUS,3006.7817,1323,0,0,CUBB001,1323,1323,0E-20,2025-12-31,2025-12-31,0,0,0,0,3006.7817,1323,0,0,0,0,3006.7817,1323,2.2726996976568405,3006.7817,1323,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,2.2726996976568405,2.727239637188208600,,0,0
BARRELS,OTHER,Other,773.9561,16332,0,0,BARRELS,16332,16332,0E-24,2025-12-31,2025-12-31,0,0,0,0,773.9561,16332,0,0,0,0,773.9561,16332,0.04738893583149644869,773.9561,16332,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.04738893583149644869,0.0568667229977957384280,,0,0
Beryllium Copper Solids,COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,BrCuSds,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BERYLLIUM TURNINGS,COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,BRYTRN,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,NON_FERROUS,408.2005,275,0,0,BRAUTOR,275,275,0E-20,2025-12-31,2025-12-31,0,0,0,0,408.2005,275,0,0,0,0,408.2005,275,1.4843654545454545,408.2005,275,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,1.4843654545454545,1.781238545454545400,,0,0
BRASS BALL MILL,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRBM,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS BREAKAGE,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRHVBRK,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS/COPPER MIX,COPPER TIER 1,NON_FERROUS,106.9657,113,0,0,BRCU,113,113,0E-20,2025-12-31,2025-12-31,0,0,0,0,106.9657,113,0,0,0,0,106.9657,113,0.94659911504424778761,106.9657,113,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.94659911504424778761,1.1359189380530973451320,,0,0
BRASS DROSS,BRASS TIER 2,NON_FERROUS,57.8286,558,161.8787,1562,BRDROSS,2120,2120,0E-20,2025-12-31,2025-12-31,0,0,0,0,219.7073,2120,0,0,0,0,219.7073,2120,0.10363551886792452830,57.8286,558,0,0,0,0,161.8787,1562,0,0,0,0,0,0,MILTON,Benton Metals,,,0.10363551886792452830,0.1243626226415094339600,,0,0
BRASS DUST,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRINDUST,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS FINES - HGGF,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRFHGGF,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS FINES - LGGF,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRFLLGGF,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS FLASHINGS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRFLASH,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS FURNACE CUTTINGS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRFC,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS SLAG,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRSLAG,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS SPILLS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRSPL01,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRASS TURNINGS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRASTUR,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BROKERED TIN,OTHER,Other,0.0000,0,0,0,BRKERTIN,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BRONZE TURNINGS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BRNZTRN,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
BUSHELING,STEEL,FERROUS,5390.4328,46220,0,0,Indbush,46220,46220,0E-24,2025-12-31,2025-12-31,0,0,0,0,5390.4328,46220,0,0,0,0,5390.4328,46220,0.11662554738208567720,5390.4328,46220,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.11662554738208567720,0.1399506568585028126400,,0,0
CARBIDE,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,NICARBD,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
CARDBOARD,ZWASTE,WA,0.0000,1501,0,0,CB2,1501,1501,0E-20,2025-12-31,2025-12-31,0,0,0,0,0.0000,1501,0,0,0,0,0.0000,1501,0E-20,0.0000,1501,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0E-20,0E-22,,0,0
Cast Aluminum - Transmissions,ALUMINUM,NON_FERROUS,220.5000,735,0,0,CATR,735,735,0E-20,2025-12-31,2025-12-31,0,0,0,0,220.5000,735,0,0,0,0,220.5000,735,0.30000000000000000000,220.5000,735,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.30000000000000000000,0.3600000000000000000000,,0,0
CATALYTIC CONVERTOR,OTHER,Other,5481.1445,649,0,0,PRCATAL,649,649,0E-20,2025-12-31,2025-12-31,0,0,0,0,5481.1445,649,0,0,0,0,5481.1445,649,8.4455231124807396,5481.1445,649,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,8.4455231124807396,10.134627734976887520,,0,0
CHROME RIMS,ALUMINUM,NON_FERROUS,423.2202,946,0,0,ALWHLCR,946,946,0E-20,2025-12-31,2025-12-31,0,0,0,0,423.2202,946,0,0,0,0,423.2202,946,0.44737864693446088795,423.2202,946,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.44737864693446088795,0.5368543763213530655400,,0,0
CLEAN CAST ALUMINUM,ALUMINUM,NON_FERROUS,16.5000,55,0,0,CCAL,55,55,0E-20,2025-12-31,2025-12-31,0,0,0,0,16.5000,55,0,0,0,0,16.5000,55,0.30000000000000000000,16.5000,55,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.30000000000000000000,0.3600000000000000000000,,0,0
CLEAN LEAD,LEAD,NON_FERROUS,0.0000,0,0,0,LESTRIP,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
CLEAN SHEET,STEEL,FERROUS,752.4156,11934,0,0,CLSHST,11934,11934,0E-24,2025-12-31,2025-12-31,0,0,0,0,752.4156,11934,0,0,0,0,752.4156,11934,0.06304806435394670689,752.4156,11934,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.06304806435394670689,0.0756576772247360482680,,0,0
CO/6 HIGH FE,OTHER,Other,0.0000,0,0,0,CO6FE,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
COMMUNICATION WIRE,COPPER TIER 2,NON_FERROUS,414.8026,502,963.5370,1329,COMWIRECU,1831,1831,0E-20,2025-12-31,2025-12-31,0,0,0,0,1378.3396,1831,0,0,0,0,1378.3396,1831,0.75277968323320589842,414.8026,502,0,0,0,0,963.5370,1329,0,0,0,0,0,0,MILTON,Benton Metals,,,0.75277968323320589842,0.9033356198798470781040,,0,0
COPPER / AL TURNINGS MIX,ALUMINUM,NON_FERROUS,0.0000,0,0,0,CUALTRNMX,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
