Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Milton,360BS,360 BRASS SOLIDS,BRASS TIER 2,NON_FERROUS,69,0,69,235.9800,0,235.9800,3.4200
Milton,360 brass turnings,360 BRASS TURNINGS,BRASS TIER 2,NON_FERROUS,344,0,344,842.8000,0,842.8000,2.4500
Milton,6040NAVBR,60/40 NAVAL BRASS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,7030BR,70/30 Brass Shells,BRASS TIER 2,NON_FERROUS,192,0,192,441.6000,0,441.6000,2.3000
Merrillville,BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,NON_FERROUS,160,0,160,206.5000,0,206.5000,1.2906
Milton,BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,NON_FERROUS,289,0,289,430.4603,0,430.4603,1.4895
Merrillville,BRAUTOF,BRASS AUTO RADIATORS - FE,BRASS TIER 2,NON_FERROUS,221,0,221,201.7473,0,201.7473,0.9129
Milton,BRAUTOF,BRASS AUTO RADIATORS - FE,BRASS TIER 2,NON_FERROUS,38,0,38,38.0000,0,38.0000,1.0000
Milton,BRBM,BRASS BALL MILL,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRHVBRK,BRASS BREAKAGE,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRDROSS,BRASS DROSS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRINDUST,BRASS DUST,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRFHGGF,BRASS FINES - HGGF,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRFLLGGF,BRASS FINES - LGGF,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRFLASH,BRASS FLASHINGS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRFC,BRASS FURNACE CUTTINGS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRSLAG,BRASS SLAG,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRSPL01,BRASS SPILLS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,BRASTUR,BRASS TURNINGS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,BRNZTRN,BRONZE TURNINGS,BRASS TIER 2,NON_FERROUS,101,0,101,131.3000,0,131.3000,1.3000
Milton,BRNZTRN,BRONZE TURNINGS,BRASS TIER 2,NON_FERROUS,162,0,162,243.0000,0,243.0000,1.5000
Merrillville,CRNIBR7030,CHROME/NICKEL PLATED BRASS SHELLS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,DRTYBRSTRN,DIRTY BRASS TURNINGS,BRASS TIER 2,NON_FERROUS,161,0,161,241.5000,0,241.5000,1.5000
Merrillville,DRKBS,Door Knobs,BRASS TIER 2,NON_FERROUS,19,0,19,1.1557,0,1.1557,0.0608
Milton,DRKBS,Door Knobs,BRASS TIER 2,NON_FERROUS,18,0,18,1.0800,0,1.0800,0.0600
Milton,BREDMC,EDM CHOPS,BRASS TIER 2,NON_FERROUS,613,0,613,968.5400,0,968.5400,1.5800
Milton,ELECBR,ELECTRICAL BRASS,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,BRHEATR,HEATER CORES,BRASS TIER 2,NON_FERROUS,0,219,219,0,18.1873,18.1873,0.0830
Merrillville,IrBrTs,Irony Brass Turnings,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,MIXBR,MIXED BRASS,BRASS TIER 2,NON_FERROUS,227,0,227,228.4286,0,228.4286,1.0063
Merrillville,BR0PHOS,PHOS BRONZE SOLIDS,BRASS TIER 2,NON_FERROUS,148,0,148,330.0400,0,330.0400,2.2300
Milton,BR0PHOS,PHOS BRONZE SOLIDS,BRASS TIER 2,NON_FERROUS,20,0,20,40.0000,0,40.0000,2.0000
Merrillville,Pwtr,Pewter,BRASS TIER 2,NON_FERROUS,17,0,17,54.0600,0,54.0600,3.1800
Merrillville,SvrPBr,Silver Plated Brass,BRASS TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CU00001,#1 COPPER,COPPER TIER 1,NON_FERROUS,2549,0,2549,12473.0676,0,12473.0676,4.8933
Milton,CU00001,#1 COPPER,COPPER TIER 1,NON_FERROUS,694,0,694,2201.0554,0,2201.0554,3.1715
Merrillville,CU00002,#2 COPPER,COPPER TIER 1,NON_FERROUS,1569.0,0,1569.0,7528.0104,0,7528.0104,4.7980
Milton,CU00002,#2 COPPER,COPPER TIER 1,NON_FERROUS,1093,0,1093,2957.2243,0,2957.2243,2.7056
Merrillville,CU00003,#3 COPPER,COPPER TIER 1,NON_FERROUS,290,0,290,990.9648,0,990.9648,3.4171
Milton,CU00003,#3 COPPER,COPPER TIER 1,NON_FERROUS,269,298,567,716.4097,789.7000,1506.1097,2.6563
Merrillville,CU0003MICA,#3 Cu MICA 98%,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,CU0003MICA,#3 Cu MICA 98%,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUBB001,BARE BRIGHT COPPER,COPPER TIER 1,NON_FERROUS,3911,0,3911,18130.4368,0,18130.4368,4.6358
Milton,CUBB001,BARE BRIGHT COPPER,COPPER TIER 1,NON_FERROUS,252,0,252,947.8000,0,947.8000,3.7611
Milton,BRYTRN,BERYLLIUM TURNINGS,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,BRCU,BRASS/COPPER MIX,COPPER TIER 1,NON_FERROUS,215,0,215,245.0830,0,245.0830,1.1399
Merrillville,BrCuSds,Beryllium Copper Solids,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,BrCuSds,Beryllium Copper Solids,COPPER TIER 1,NON_FERROUS,130,0,130,228.3448,0,228.3448,1.7565
Milton,CUREFIN,COPPER REFINERY,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,INCU T,COPPER TURNINGS,COPPER TIER 1,NON_FERROUS,265,0,265,774.0000,0,774.0000,2.9208
Merrillville,CUBSBR,CU BUSS BAR,COPPER TIER 1,NON_FERROUS,145,0,145,573.2248,0,573.2248,3.9533
Milton,CUBSBR,CU BUSS BAR,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Merrillville,SVPBB,SILVER PLTD BUSS BAR,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,SVPBB,SILVER PLTD BUSS BAR,COPPER TIER 1,NON_FERROUS,70,0,70,147.0000,0,147.0000,2.1000
Merrillville,SvPtCu,Silver Plated Copper,COPPER TIER 1,NON_FERROUS,10,0,10,20.0000,0,20.0000,2.0000
Milton,SvPtCu,Silver Plated Copper,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Merrillville,TCUBSBR,TIN PLATED BUSBAR,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,TCUBSBR,TIN PLATED BUSBAR,COPPER TIER 1,NON_FERROUS,129,0,129,105.7089,0,105.7089,0.8194
Merrillville,TNPDCWR,TIN PLTD COPPER WIRE,COPPER TIER 1,NON_FERROUS,0.0,0,0.0,0,0,0,
Milton,TNPDCWR,TIN PLTD COPPER WIRE,COPPER TIER 1,NON_FERROUS,186,0,186,372.0000,0,372.0000,2.0000
Milton,BERYCU,ZZ - DO NOT USE BERYLLIUM COPPER,COPPER TIER 1,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUIN160,#1 ICW 60%,COPPER TIER 2,NON_FERROUS,1720,0,1720,5254.4958,0,5254.4958,3.0549
Milton,CUIN160,#1 ICW 60%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,CUIN172,#1 ICW 72%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ICW80,#1 ICW 80%,COPPER TIER 2,NON_FERROUS,1930,0,1930,7042.7203,0,7042.7203,3.6491
Milton,ICW80,#1 ICW 80%,COPPER TIER 2,NON_FERROUS,320,0,320,872.0500,0,872.0500,2.7252
Merrillville,CUIN185,#1 ICW 85%,COPPER TIER 2,NON_FERROUS,156,0,156,522.3069,0,522.3069,3.3481
Milton,CUIN185,#1 ICW 85%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUIN188,#1 ICW 88%,COPPER TIER 2,NON_FERROUS,0,1880,1880,0,6720.3840,6720.3840,3.5747
Milton,CUIN188,#1 ICW 88%,COPPER TIER 2,NON_FERROUS,59,0,59,165.7500,0,165.7500,2.8093
Merrillville,CUIN190,#1 ICW 90%,COPPER TIER 2,NON_FERROUS,1085,0,1085,3717.8312,0,3717.8312,3.4266
Milton,CUIN190,#1 ICW 90%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUIN220,#2 ICW 20% - CHRISTMAS LIGHTS,COPPER TIER 2,NON_FERROUS,65,0,65,13.0000,0,13.0000,0.2000
Milton,CUIN220,#2 ICW 20% - CHRISTMAS LIGHTS,COPPER TIER 2,NON_FERROUS,273,0,273,62.7800,0,62.7800,0.2300
Merrillville,CUIN235,#2 ICW 35%,COPPER TIER 2,NON_FERROUS,614,0,614,47.2166,0,47.2166,0.0769
Milton,CUIN235,#2 ICW 35%,COPPER TIER 2,NON_FERROUS,1495,0,1495,613.6977,0,613.6977,0.4105
Merrillville,CUIN245,#2 ICW 45%,COPPER TIER 2,NON_FERROUS,904,0,904,1061.7352,0,1061.7352,1.1745
Milton,CUIN245,#2 ICW 45%,COPPER TIER 2,NON_FERROUS,148,0,148,81.4000,0,81.4000,0.5500
Milton,ELIN50,#2 ICW 50%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUIN255,#2 ICW 55%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,CUIN255,#2 ICW 55%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUIN265,#2 ICW 65%,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,CUIN265,#2 ICW 65%,COPPER TIER 2,NON_FERROUS,102,0,102,147.8086,0,147.8086,1.4491
Merrillville,CUIN280,#2 ICW 80%,COPPER TIER 2,NON_FERROUS,154,0,154,386.5368,0,386.5368,2.5100
Milton,CUIN280,#2 ICW 80%,COPPER TIER 2,NON_FERROUS,117,0,117,193.0500,0,193.0500,1.6500
Merrillville,ALBXCBL,AL BX CABLE,COPPER TIER 2,NON_FERROUS,459,0,459,351.7530,0,351.7530,0.7663
Milton,ALBXCBL,AL BX CABLE,COPPER TIER 2,NON_FERROUS,54,0,54,67.5000,0,67.5000,1.2500
Merrillville,ALBXWI,ALUM BX WIRE,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,ALBXWI,ALUM BX WIRE,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,COMWIRECU,COMMUNICATION WIRE,COPPER TIER 2,NON_FERROUS,1020.0,2679,3699.0,1598.4596,5153.6712,6752.1308,1.8254
Milton,COMWIRECU,COMMUNICATION WIRE,COPPER TIER 2,NON_FERROUS,430,0,430,475.8500,0,475.8500,1.1066
Merrillville,HELXOE,HELIAX OPEN-EYE,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,HELXOE,HELIAX OPEN-EYE,COPPER TIER 2,NON_FERROUS,5,0,5,2.7500,0,2.7500,0.5500
Merrillville,ICWHARWIR,ICW HARNESS WIRE,COPPER TIER 2,NON_FERROUS,631,0,631,784.4932,0,784.4932,1.2433
Milton,ICWHARWIR,ICW HARNESS WIRE,COPPER TIER 2,NON_FERROUS,269,0,269,310.8052,0,310.8052,1.1554
Merrillville,RMXWIR,ROMEX WIRE,COPPER TIER 2,NON_FERROUS,238,1784,2022,513.5433,3959.9770,4473.5203,2.2124
Milton,RMXWIR,ROMEX WIRE,COPPER TIER 2,NON_FERROUS,664,0,664,1489.7440,0,1489.7440,2.2436
Milton,TARBSWR,TAR BASED WIRE,COPPER TIER 2,NON_FERROUS,334,0,334,524.2776,0,524.2776,1.5697
Merrillville,TCABLE,Teck Cable,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,TCABLE,Teck Cable,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ROMWIRE,ZZ DO NOT USE - ROMEX,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,ROMWIRE,ZZ DO NOT USE - ROMEX,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,OPNEYHLXCU,ZZ DO NOT USE HELIAX,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,OPNEYHLXCU,ZZ DO NOT USE HELIAX,COPPER TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,CUALTER,ALTERNATORS,COPPER TIER 3,NON_FERROUS,107,0,107,21.5594,0,21.5594,0.2015
Milton,CUALTER,ALTERNATORS,COPPER TIER 3,NON_FERROUS,1039,682,1721,154.4211,76.0287,230.4498,0.1339
Merrillville,CUBALST,BALLAST,COPPER TIER 3,NON_FERROUS,460,0,460,69.0000,0,69.0000,0.1500
Milton,CUBALST,BALLAST,COPPER TIER 3,NON_FERROUS,1893,0,1893,125.2339,0,125.2339,0.0662
Merrillville,COPARM,COPPER ARMATURES,COPPER TIER 3,NON_FERROUS,465,0,465,452.2393,0,452.2393,0.9726
Milton,COPARM,COPPER ARMATURES,COPPER TIER 3,NON_FERROUS,15,0,15,1.5000,0,1.5000,0.1000
Merrillville,CUFUS,COPPER FUSES,COPPER TIER 3,NON_FERROUS,33,0,33,122.2629,0,122.2629,3.7049
Milton,CUFUS,COPPER FUSES,COPPER TIER 3,NON_FERROUS,11,0,11,1.6500,0,1.6500,0.1500
Merrillville,CU TRANS,COPPER TRANSFORMERS,COPPER TIER 3,NON_FERROUS,267,0,267,53.4000,0,53.4000,0.2000
Milton,CU TRANS,COPPER TRANSFORMERS,COPPER TIER 3,NON_FERROUS,156,0,156,18.4200,0,18.4200,0.1181
Merrillville,CUALTRAN,COPPER/ALUMINUM TRANSFORMERS,COPPER TIER 3,NON_FERROUS,61,0,61,7.3200,0,7.3200,0.1200
Milton,CUALTRAN,COPPER/ALUMINUM TRANSFORMERS,COPPER TIER 3,NON_FERROUS,416,0,416,28.2900,0,28.2900,0.0680
Merrillville,CuBkrs,Copper Breakers,COPPER TIER 3,NON_FERROUS,0,0,0,0,0,0,
Milton,CuBkrs,Copper Breakers,COPPER TIER 3,NON_FERROUS,10,0,10,0.7000,0,0.7000,0.0700
Milton,CuSt,Cu/Steel Mix,COPPER TIER 3,NON_FERROUS,56,0,56,28.0000,0,28.0000,0.5000
Merrillville,CUMOTORDC,DC MOTORS,COPPER TIER 3,NON_FERROUS,17,0,17,0.0000,0,0.0000,0.0000
Merrillville,CUMOTOR,ELECTRIC MOTORS,COPPER TIER 3,NON_FERROUS,1956,0,1956,293.4000,0,293.4000,0.1500
Milton,CUMOTOR,ELECTRIC MOTORS,COPPER TIER 3,NON_FERROUS,3203,2937,6140,209.5514,238.1850,447.7364,0.0729
Merrillville,CUMOD,ELECTRIC MOTORS - FE,COPPER TIER 3,NON_FERROUS,3850,0,3850,369.9571,0,369.9571,0.0961
Milton,CUMOD,ELECTRIC MOTORS - FE,COPPER TIER 3,NON_FERROUS,678,0,678,20.3400,0,20.3400,0.0300
Merrillville,CUELMOL,ELECTRIC MOTORS - LARGE,COPPER TIER 3,NON_FERROUS,0,0,0,0,0,0,
Milton,CUELMOL,ELECTRIC MOTORS - LARGE,COPPER TIER 3,NON_FERROUS,0,0,0,0,0,0,
Merrillville,PRELMTR,PREMIUM ELECTRIC MOTORS ,COPPER TIER 3,NON_FERROUS,0,0,0,0,0,0,
Milton,PRELMTR,PREMIUM ELECTRIC MOTORS ,COPPER TIER 3,NON_FERROUS,143,0,143,8.5800,0,8.5800,0.0600
Merrillville,CUSEALD,SEALED UNITS,COPPER TIER 3,NON_FERROUS,5295,0,5295,523.7387,0,523.7387,0.0989
Milton,CUSEALD,SEALED UNITS,COPPER TIER 3,NON_FERROUS,1545,3334,4879,95.9285,211.5671,307.4956,0.0630
Merrillville,CUSTART,STARTERS,COPPER TIER 3,NON_FERROUS,74,0,74,18.5000,0,18.5000,0.2500
Milton,CUSTART,STARTERS,COPPER TIER 3,NON_FERROUS,656,579,1235,98.4000,55.3529,153.7529,0.1245
Merrillville,STCSCOTRA,STEEL CASED COPPER TRANSFORMERS,COPPER TIER 3,NON_FERROUS,266,0,266,48.5571,0,48.5571,0.1825
Milton,STCSCOTRA,STEEL CASED COPPER TRANSFORMERS,COPPER TIER 3,NON_FERROUS,0,0,0,0,0,0,
Merrillville,LEAUTOB,AUTO BATTERIES,LEAD,NON_FERROUS,2008,13709,15717,200.7427,1360.6225,1561.3652,0.0993
Milton,LEAUTOB,AUTO BATTERIES,LEAD,NON_FERROUS,1747,12620,14367,178.2288,1904.3163,2082.5451,0.1450
Merrillville,LESTRIP,CLEAN LEAD,LEAD,NON_FERROUS,0,0,0,0,0,0,
Milton,LESTRIP,CLEAN LEAD,LEAD,NON_FERROUS,237,0,237,65.2445,0,65.2445,0.2753
Merrillville,FEPBCNTWTS,FE PB COUNTER WEIGHTS,LEAD,NON_FERROUS,0,0,0,0,0,0,
Milton,PBFINES,FINES - LEAD,LEAD,NON_FERROUS,0,35539,35539,0,0.0000,0.0000,0.0000
Milton,Graphdst,GRAPHITE DUST,LEAD,NON_FERROUS,0,0,0,0,0,0,
Milton,LDPPE,LEAD PIPE,LEAD,NON_FERROUS,60,534,594,6.0000,48.2630,54.2630,0.0914
Milton,LEADSOLD,LEAD SOLIDS,LEAD,NON_FERROUS,0,0,0,0,0,0,
Milton,LIOB,LITHIUM ION BATTERIES,LEAD,NON_FERROUS,6197,34098,40295,309.8500,1704.9000,2014.7500,0.0500
Merrillville,LERANGE,RANGE LEAD,LEAD,NON_FERROUS,113,0,113,53.5055,0,53.5055,0.4735
Milton,LERANGE,RANGE LEAD,LEAD,NON_FERROUS,0,0,0,0,0,0,
Merrillville,SOFLEA,SOFT LEAD,LEAD,NON_FERROUS,1280,0,1280,388.5451,0,388.5451,0.3036
Milton,SOFLEA,SOFT LEAD,LEAD,NON_FERROUS,1,334,335,0.3000,70.4890,70.7890,0.2113
Merrillville,LEFECAS,STEEL CASED BATTERIES,LEAD,NON_FERROUS,0,0,0,0,0,0,
Milton,LEFECAS,STEEL CASED BATTERIES,LEAD,NON_FERROUS,0,1074,1074,0,53.7000,53.7000,0.0500
Merrillville,LEWHEEL,WHEEL WEIGHTS,LEAD,NON_FERROUS,398,0,398,42.2676,0,42.2676,0.1062
Milton,LEWHEEL,WHEEL WEIGHTS,LEAD,NON_FERROUS,615,4254,4869,12.5007,85.3650,97.8657,0.0201
Milton,LDFNE,ZZ DO NOT USE - LEAD FINES (pb),LEAD,NON_FERROUS,0,4526,4526,0,0.0000,0.0000,0.0000
Milton,174SOLIDS,17-4 SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,NI174BO,17-4 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,NON_FERROUS,2451,1309,3760,121.2283,34.3825,155.6108,0.0414
Milton,2507SSS,2507 SS SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Merrillville,304SSL,304 STAINLESS L,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,304SSL,304 STAINLESS L,STAINLESS STEEL TIER 1,NON_FERROUS,14,0,14,2.8000,0,2.8000,0.2000
Merrillville,304SSOS,304 STAINLESS OVERSIZED,STAINLESS STEEL TIER 1,NON_FERROUS,1358,0,1358,339.5000,0,339.5000,0.2500
Milton,304SSOS,304 STAINLESS OVERSIZED,STAINLESS STEEL TIER 1,NON_FERROUS,9400,0,9400,1880.0000,0,1880.0000,0.2000
Merrillville,NISS300,304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,19000,6188,25188,5302.0944,1729.4861,7031.5805,0.2792
Milton,NISS300,304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,1302,0,1302,339.7027,0,339.7027,0.2609
Merrillville,NI300BO,304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,NON_FERROUS,728,0,728,174.7200,0,174.7200,0.2400
Milton,NI300BO,304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,NON_FERROUS,477,2829,3306,137.7013,816.6816,954.3829,0.2887
Merrillville,304STNPLY,304 STAINLESS WITH POLY,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,304STNPLY,304 STAINLESS WITH POLY,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,316SSO,316 STAINLESS STEEL OVERSIZED,STAINLESS STEEL TIER 1,NON_FERROUS,6900,0,6900,4709.4526,0,4709.4526,0.6825
Merrillville,NISS316,316 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,40018,3372,43390,22510.5058,1905.9738,24416.4796,0.5627
Milton,NISS316,316 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,NI316BO,316 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,NON_FERROUS,84,1063,1147,34.7269,439.4608,474.1877,0.4134
Merrillville,409SS,409 STAINLESS,STAINLESS STEEL TIER 1,NON_FERROUS,9,6689,6698,1.0231,792.1648,793.1879,0.1184
Merrillville,NIMIXD,STAINLESS STEEL - FE,STAINLESS STEEL TIER 1,NON_FERROUS,13865,0,13865,4401.7033,0,4401.7033,0.3175
Milton,NIMIXD,STAINLESS STEEL - FE,STAINLESS STEEL TIER 1,NON_FERROUS,0,0,0,0,0,0,
Milton,NI138T,13-8 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,155SSS,15-5 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NI15-5,15-5 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,8603,0,8603,172.0600,0,172.0600,0.0200
Merrillville,201,201 STAINLESS CLIP,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,201,201 STAINLESS CLIP,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,201SSCOIL,201 STAINLESS COIL,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,2205 Solids,2205 SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,13,3159,3172,5.2000,1263.6000,1268.8000,0.4000
Milton,2205 STAINLESS,2205 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NISS301,301 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NISS309,309 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NISS310,310 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NISS400,400 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,410SSTRN,410 SS TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,483,0,483,24.1500,0,24.1500,0.0500
Milton,410SSS,410 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,416SSS,416 SS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,416SST,416 SS TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,202,0,202,6.0600,0,6.0600,0.0300
Milton,430SSP,430 STAINLESS STEEL PIPE,STAINLESS STEEL TIER 2,NON_FERROUS,83,0,83,20.7500,0,20.7500,0.2500
Milton,440SSS,440 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,446SS,446 STAINLESS STEEL,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,465TRNS,465 TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,NICARBD,CARBIDE,STAINLESS STEEL TIER 2,NON_FERROUS,33,0,33,660.0000,0,660.0000,20.0000
Milton,NICARBD,CARBIDE,STAINLESS STEEL TIER 2,NON_FERROUS,44,0,44,340.0000,0,340.0000,7.7273
Milton,H13Solids,H-13 SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,75,1421,1496,5.7492,56.8400,62.5892,0.0418
Milton,TSH13TRN,H-13 TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,HAST276,HAST C-276 SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,NIINCON,INCONEL,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NIINCON,INCONEL,STAINLESS STEEL TIER 2,NON_FERROUS,151,0,151,256.6500,0,256.6500,1.6997
Milton,INCTR,INCONEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,MIXSS,MIXED STAINLESS STEEL,STAINLESS STEEL TIER 2,NON_FERROUS,646,0,646,32.3000,0,32.3000,0.0500
Merrillville,MO2RE2,MO2-RE2,STAINLESS STEEL TIER 2,NON_FERROUS,0,884,884,0,1878.0000,1878.0000,2.1244
Milton,NIMONEL,MONEL,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,MNT,MONEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,NI00001,NICKEL,STAINLESS STEEL TIER 2,NON_FERROUS,41,0,41,41.0000,0,41.0000,1.0000
Milton,NITITAN,TITANIUM SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Merrillville,TTSS,TITANIUM TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,33,0,33,4.9500,0,4.9500,0.1500
Milton,TTSS,TITANIUM TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0,625,625,0,158.2212,158.2212,0.2532
Milton,NITOOLS,TOOL STEEL,STAINLESS STEEL TIER 2,NON_FERROUS,114,0,114,156.0154,0,156.0154,1.3686
Merrillville,TUNGMOTAINS,TUNGSTEN MOLY TA INSERTS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,TUNGMOTAINS,TUNGSTEN MOLY TA INSERTS,STAINLESS STEEL TIER 2,NON_FERROUS,0,0,0,0,0,0,
Milton,UPFECHMO,UNPREPARED FE/CHROME/MOLY,STAINLESS STEEL TIER 2,NON_FERROUS,3638,90154,93792,255.6285,6714.5995,6970.2280,0.0743
Merrillville,ZNDICST,ZINC DIE CAST,ZINC,NON_FERROUS,984,0,984,497.5314,0,497.5314,0.5056
Milton,ZNOX,ZINC OXIDE,ZINC,NON_FERROUS,0,0,0,0,0,0,
Milton,ZI00001,ZINC SOLIDS,ZINC,NON_FERROUS,242,198,440,56.8793,44.6476,101.5269,0.2307
