year,n,accuracy,auc
2019,252,0.8254,0.933
2020,253,0.8854,0.9402
2021,252,0.869,0.9449
2022,251,0.9004,0.9303
2023,251,0.9124,0.9583
2024,252,0.873,0.9157
2025,252,0.631,0.7011
2026,118,0.9068,0.9486
