feature,coefficient
lme_overnight_ret,3.0484468005491396
lme_overnight_z20,0.5724812950913992
next_gap_z20,0.33829810572495983
next_gap_return,0.20504903519702375
log_return_10d,-0.15921071318905844
lme_comex_basis_chg,0.1409349159362603
drawdown_20d,-0.08130491840751498
CNY_ret_1d,0.0631234498028482
fed_funds_volatility_20d,0.042073982364592095
asianminers_trend_5_20,0.0378883530874691
curve_2s10s_momentum_20d,0.03637997371626051
volume_pct_change_5d,-0.03285415401925793
wti_momentum_20d,-0.030027119182077063
KWEB_div_5d,-0.028343580642700084
CPER_div_20d,0.027573942122979846
VIX_mom_20d,0.025065071995544523
high_low_range,-0.024044466915645452
volume_pct_change_1d,0.023845978487772486
lme_comex_basis,-0.017319684062479076
SFR_AX_overnight_div,-0.002237523365455008
ust_2y_momentum_20d,-0.0007495937204239538
