feature,coefficient
PICK_div_1d,0.6512673017670854
wti_volatility_20d,-0.4970165533915079
brent_volatility_20d,0.4289244891979159
KALU_ratio_mom20,0.3177571231254802
KWEB_div_z20,0.3169365645370432
ASHR_div_z20,-0.28537412122372247
DBB_div_5d,0.28204296279158503
KALU_div_z20,-0.24370586567729183
CSTM_div_5d,-0.23795552685106316
SLX_div_z20,-0.236982468168376
DBB_div_z20,0.23647333623023892
DBB_ratio_mom20,-0.23529024220799621
RIO_div_1d,-0.22304405621657294
CSTM_div_1d,0.21585666852703328
ust_10y_volatility_20d,-0.21226061075747915
dxy_volatility_20d,-0.2114535844438472
KALU_div_1d,0.20670838607456887
MCHI_div_5d,-0.20504414846881733
ACH_ratio_mom20,-0.19576158823438544
brent_return_1d,0.19043126087524848
CSTM_div_z20,-0.189134432760485
dxy_return_1d,0.18644639672095092
ust_2y_momentum_20d,-0.17411241116645115
TNX_ret_5d,0.1726534648113331
CSTM_ratio_mom20,0.17108759121941883
ust_2y_volatility_20d,0.16090556093544178
NHYDY_ratio_mom20,-0.16016616160274674
KWEB_div_20d,0.14960140708457947
KALU_div_5d,0.14363863390817333
momentum_60d,-0.14237120472907736
dow_sin,0.12473495259033232
TNX_ret_1d,-0.12052355058458056
MCHI_div_1d,-0.11585210784341793
ACH_div_z20,-0.11364769292031103
VIX_vol_20d,0.11312176373670048
AA_div_1d,-0.1124002056569187
fed_funds_volatility_20d,0.11134924670484501
month_cos,0.10106224895083217
ust_10y_momentum_20d,-0.09658235757752023
DX_Y_NYB_vol_20d,0.08771832425285579
XME_div_5d,0.08461523158809778
CENX_div_5d,-0.07963681059040986
volatility_20d,-0.06853618827711001
DX_Y_NYB_ret_1d,-0.06745576602016495
log_return_5d,0.061354295641705386
NHYDY_div_z20,0.05999792103717327
brent_momentum_20d,-0.05917517885027633
ma20_vs_ma60,0.054321773717462475
CENX_div_1d,-0.05344999426304616
CENX_div_z20,0.05175040158177554
AA_div_5d,-0.05089604299042097
curve_2s10s_return_1d,0.04239036752006053
vix_return_5d,-0.034913293475809806
VIX_ret_1d,-0.03159172728767558
curve_2s10s_momentum_20d,0.0304339576951542
log_return_1d,0.029096242383648763
BHP_div_z20,-0.026631059317094072
ust_2y_return_5d,0.02605521045925438
volatility_10d,0.023859691245188205
ma5_vs_ma20,-0.023146525039127955
ASHR_div_5d,0.0229652317247989
log_return_2d,0.021962584805134324
VIX_ret_5d,-0.021946205730271562
vix_return_1d,-0.021781945373108753
AA_ratio_mom20,-0.019776970056362433
wti_return_1d,0.01871359684263237
CNY_vol_20d,0.014428226933603577
curve_2s10s_return_5d,0.012970750549768009
ust_10y_return_1d,0.012488365776717865
DX_Y_NYB_ret_5d,0.012104182667959247
SLX_div_20d,-0.011916797379842813
ASHR_div_1d,-0.010337033406746372
vix_momentum_20d,0.010277072341917716
DX_Y_NYB_mom_20d,0.006591538261047948
NHYDY_div_5d,0.005077625218988214
CNY_ret_5d,-0.0024571355946108667
gap_return,0.00022802049097803018
