year,n,accuracy,auc
2018,161,0.4969,0.4926
2019,253,0.5178,0.5571
2020,254,0.5512,0.5225
2021,253,0.5296,0.4811
2022,251,0.498,0.4823
2023,251,0.506,0.5184
2024,254,0.4646,0.4661
2025,253,0.5336,0.5396
2026,121,0.5702,0.582
