feature,selection_freq
volume_pct_change_1d,1.0
volume_pct_change_5d,1.0
ust_2y_momentum_20d,1.0
DX_Y_NYB_ret_1d,1.0
CPER_div_5d,1.0
fed_funds_momentum_20d,1.0
ust_2y_return_5d,0.9666666666666667
VALE_div_5d,0.9666666666666667
FCX_div_1d,0.9333333333333333
XME_div_5d,0.9
XME_ratio_mom20,0.8333333333333334
curve_2s10s_momentum_20d,0.8333333333333334
aluminum_momentum_20d,0.8333333333333334
CPER_div_z20,0.8
ust_2y_return_1d,0.8
wti_return_5d,0.8
curve_2s10s_return_5d,0.7666666666666667
brent_return_5d,0.7333333333333333
curve_2s10s_return_1d,0.7333333333333333
RIO_div_1d,0.7
CNY_ret_5d,0.7
fed_funds_volatility_20d,0.7
ust_10y_return_1d,0.6666666666666666
CPER_div_20d,0.6666666666666666
wti_volatility_20d,0.6666666666666666
brent_return_1d,0.6333333333333333
VIX_mom_20d,0.6333333333333333
ust_2y_volatility_20d,0.6
curve_2s10s_volatility_20d,0.6
FCX_div_5d,0.6
dxy_return_1d,0.6
dxy_return_5d,0.5666666666666667
close_open_return,0.5666666666666667
CNY_ret_1d,0.5666666666666667
COPX_div_z20,0.5666666666666667
VIX_ret_5d,0.5666666666666667
VALE_ratio_mom20,0.5333333333333333
vix_return_5d,0.5333333333333333
wti_return_1d,0.5333333333333333
brent_momentum_20d,0.5333333333333333
KWEB_div_1d,0.5
MCHI_div_1d,0.5
BHP_div_20d,0.5
vix_momentum_20d,0.5
FCX_div_z20,0.5
BHP_div_5d,0.5
dxy_volatility_20d,0.5
close_location,0.5
volume_zscore_20d,0.5
XME_div_1d,0.5
DBB_div_1d,0.5
dow_sin,0.4666666666666667
momentum_20d,0.4666666666666667
RIO_div_5d,0.43333333333333335
FXI_div_20d,0.43333333333333335
DX_Y_NYB_ret_5d,0.43333333333333335
ASHR_div_1d,0.43333333333333335
PICK_div_1d,0.43333333333333335
TNX_mom_20d,0.43333333333333335
wti_momentum_20d,0.43333333333333335
FXI_div_5d,0.4
gap_return,0.4
log_return_2d,0.4
aluminum_return_1d,0.4
aluminum_return_5d,0.4
SCCO_div_z20,0.4
month_cos,0.4
DBB_ratio_mom20,0.4
TNX_vol_20d,0.4
DX_Y_NYB_mom_20d,0.36666666666666664
VIX_vol_20d,0.36666666666666664
dow_cos,0.36666666666666664
SCCO_div_5d,0.36666666666666664
volume_vs_ma20,0.36666666666666664
volatility_spike_5_20,0.36666666666666664
volatility_20d,0.36666666666666664
VALE_div_z20,0.36666666666666664
ASHR_ratio_mom20,0.36666666666666664
SLX_div_1d,0.36666666666666664
brent_volatility_20d,0.36666666666666664
CNY_mom_20d,0.36666666666666664
ust_10y_return_5d,0.3333333333333333
DX_Y_NYB_vol_20d,0.3333333333333333
drawdown_20d,0.3333333333333333
high_low_range,0.3333333333333333
FXI_div_1d,0.3333333333333333
dxy_momentum_20d,0.3333333333333333
aluminum_volatility_20d,0.3333333333333333
VIX_ret_1d,0.3
log_return_3d,0.3
volatility_60d,0.3
SCCO_div_20d,0.3
SLX_div_z20,0.3
ASHR_div_5d,0.3
KWEB_div_z20,0.3
CPER_ratio_mom20,0.26666666666666666
CPER_div_1d,0.26666666666666666
CNY_vol_20d,0.26666666666666666
drawdown_60d,0.23333333333333334
TNX_ret_1d,0.23333333333333334
DBB_div_5d,0.23333333333333334
fed_funds_return_1d,0.23333333333333334
COPX_ratio_mom20,0.23333333333333334
COPX_div_5d,0.23333333333333334
RIO_ratio_mom20,0.23333333333333334
KWEB_ratio_mom20,0.23333333333333334
KWEB_div_5d,0.23333333333333334
momentum_5d,0.23333333333333334
BHP_div_z20,0.2
PICK_ratio_mom20,0.2
month_sin,0.2
simple_return_5d,0.2
momentum_60d,0.2
volatility_5d,0.16666666666666666
log_return_10d,0.16666666666666666
ASHR_div_z20,0.16666666666666666
FCX_div_20d,0.16666666666666666
ma20_vs_ma60,0.16666666666666666
SLX_div_5d,0.16666666666666666
FXI_ratio_mom20,0.13333333333333333
MCHI_div_20d,0.13333333333333333
vix_volatility_20d,0.13333333333333333
fed_funds_return_5d,0.1
volatility_10d,0.1
ma5_vs_ma20,0.1
XME_div_z20,0.1
RIO_div_z20,0.1
vix_return_1d,0.1
MCHI_div_5d,0.1
volatility_spike_10_60,0.1
price_vs_ma60,0.06666666666666667
SCCO_div_1d,0.06666666666666667
FCX_ratio_mom20,0.06666666666666667
ust_10y_volatility_20d,0.06666666666666667
KWEB_div_20d,0.06666666666666667
DBB_div_z20,0.06666666666666667
log_return_5d,0.06666666666666667
DBB_div_20d,0.06666666666666667
log_return_1d,0.03333333333333333
PICK_div_5d,0.03333333333333333
MCHI_ratio_mom20,0.03333333333333333
SCCO_ratio_mom20,0.03333333333333333
momentum_10d,0.03333333333333333
TNX_ret_5d,0.03333333333333333
RIO_div_20d,0.03333333333333333
COPX_div_1d,0.03333333333333333
price_vs_ma20,0.0
price_vs_ma5,0.0
simple_return_1d,0.0
VALE_div_1d,0.0
BHP_div_1d,0.0
ust_10y_momentum_20d,0.0
BHP_ratio_mom20,0.0
COPX_div_20d,0.0
VALE_div_20d,0.0
PICK_div_z20,0.0
PICK_div_20d,0.0
MCHI_div_z20,0.0
ASHR_div_20d,0.0
FXI_div_z20,0.0
SLX_div_20d,0.0
XME_div_20d,0.0
SLX_ratio_mom20,0.0
