date,shfe_hrc_close
2014-06-03,3476.0
2014-06-04,3476.0
2014-06-05,3476.0
2014-06-06,3476.0
2014-06-09,3476.0
2014-06-10,3476.0
2014-06-11,3476.0
2014-06-12,3476.0
2014-06-13,3476.0
2014-06-16,3476.0
2014-06-17,3476.0
2014-06-18,3590.0
2014-06-19,3614.0
2014-06-20,3600.0
2014-06-23,3464.0
2014-06-24,3464.0
2014-06-25,3458.0
2014-06-26,3498.0
2014-06-27,3496.0
2014-06-30,3630.0
2014-07-01,3630.0
2014-07-02,3630.0
2014-07-03,3630.0
2014-07-04,3630.0
2014-07-07,3630.0
2014-07-08,3630.0
2014-07-09,3630.0
2014-07-10,3630.0
2014-07-11,3630.0
2014-07-14,3630.0
2014-07-15,3630.0
2014-07-16,3542.0
2014-07-17,3498.0
2014-07-18,3498.0
2014-07-21,3448.0
2014-07-22,3348.0
2014-07-23,3348.0
2014-07-24,3328.0
2014-07-25,3328.0
2014-07-28,3328.0
2014-07-29,3328.0
2014-07-30,3338.0
2014-07-31,3368.0
2014-08-01,3368.0
2014-08-04,3368.0
2014-08-05,3368.0
2014-08-06,3368.0
2014-08-07,3330.0
2014-08-08,3330.0
2014-08-11,3330.0
2014-08-12,3330.0
2014-08-13,3330.0
2014-08-14,3330.0
2014-08-15,3330.0
2014-08-18,3316.0
2014-08-19,3316.0
2014-08-20,3316.0
2014-08-21,3316.0
2014-08-22,3316.0
2014-08-25,3316.0
2014-08-26,3316.0
2014-08-27,3316.0
2014-08-28,3230.0
2014-08-29,3230.0
2014-09-01,3230.0
2014-09-02,3230.0
2014-09-03,3230.0
2014-09-04,3230.0
2014-09-05,3230.0
2014-09-09,3230.0
2014-09-10,3230.0
2014-09-11,3230.0
2014-09-12,3230.0
2014-09-15,3230.0
2014-09-16,2976.0
2014-09-17,2960.0
2014-09-18,2950.0
2014-09-19,2918.0
2014-09-22,2876.0
2014-09-23,2894.0
2014-09-24,2902.0
2014-09-25,2892.0
2014-09-26,2942.0
2014-09-29,3004.0
2014-09-30,3024.0
2014-10-08,2842.0
2014-10-09,2954.0
2014-10-10,2870.0
2014-10-13,2870.0
2014-10-14,2870.0
2014-10-15,2870.0
2014-10-16,2960.0
2014-10-17,2960.0
2014-10-20,2960.0
2014-10-21,2960.0
2014-10-22,2960.0
2014-10-23,2960.0
2014-10-24,2960.0
2014-10-27,2960.0
2014-10-28,2858.0
2014-10-29,2858.0
2014-10-30,2858.0
2014-10-31,2862.0
2014-11-03,2862.0
2014-11-04,2862.0
2014-11-05,2862.0
2014-11-06,2862.0
2014-11-07,2862.0
2014-11-10,2862.0
2014-11-11,2862.0
2014-11-12,2862.0
2014-11-13,2862.0
2014-11-14,2862.0
2014-11-17,3158.0
2014-11-18,3052.0
2014-11-19,3050.0
2014-11-20,3050.0
2014-11-21,3050.0
2014-11-24,3000.0
2014-11-25,3000.0
2014-11-26,3028.0
2014-11-27,2966.0
2014-11-28,2862.0
2014-12-01,2862.0
2014-12-02,2862.0
2014-12-03,2862.0
2014-12-04,2862.0
2014-12-05,2862.0
2014-12-08,2862.0
2014-12-09,2862.0
2014-12-10,2862.0
2014-12-11,2862.0
2014-12-12,2862.0
2014-12-15,2862.0
2014-12-16,2984.0
2014-12-17,2982.0
2014-12-18,2982.0
2014-12-19,2988.0
2014-12-22,2972.0
2014-12-23,2944.0
2014-12-24,2940.0
2014-12-25,2956.0
2014-12-26,2954.0
2014-12-29,2968.0
2014-12-30,3010.0
2014-12-31,2992.0
2015-01-05,2966.0
2015-01-06,2970.0
2015-01-07,2990.0
2015-01-08,2990.0
2015-01-09,2968.0
2015-01-12,2960.0
2015-01-13,2866.0
2015-01-14,2760.0
2015-01-15,2760.0
2015-01-16,2744.0
2015-01-19,2744.0
2015-01-20,2744.0
2015-01-21,2744.0
2015-01-22,2744.0
2015-01-23,2744.0
2015-01-26,2744.0
2015-01-27,2744.0
2015-01-28,2744.0
2015-01-29,2744.0
2015-01-30,2744.0
2015-02-02,2744.0
2015-02-03,2744.0
2015-02-04,2744.0
2015-02-05,2744.0
2015-02-06,2744.0
2015-02-09,2744.0
2015-02-10,2744.0
2015-02-11,2586.0
2015-02-12,2500.0
2015-02-13,2456.0
2015-02-16,2554.0
2015-02-17,2482.0
2015-02-25,2482.0
2015-02-26,2482.0
2015-02-27,2400.0
2015-03-02,2400.0
2015-03-03,2400.0
2015-03-04,2400.0
2015-03-05,2404.0
2015-03-06,2404.0
2015-03-09,2404.0
2015-03-10,2404.0
2015-03-11,2400.0
2015-03-12,2400.0
2015-03-13,2470.0
2015-03-16,2470.0
2015-03-17,2328.0
2015-03-18,2328.0
2015-03-19,2314.0
2015-03-20,2396.0
2015-03-23,2326.0
2015-03-24,2326.0
2015-03-25,2326.0
2015-03-26,2326.0
2015-03-27,2326.0
2015-03-30,2326.0
2015-03-31,2326.0
2015-04-01,2326.0
2015-04-02,2326.0
2015-04-03,2326.0
2015-04-07,2326.0
2015-04-08,2326.0
2015-04-09,2326.0
2015-04-10,2326.0
2015-04-13,2326.0
2015-04-14,2326.0
2015-04-15,2326.0
2015-04-16,2338.0
2015-04-17,2342.0
2015-04-20,2330.0
2015-04-21,2314.0
2015-04-22,2332.0
2015-04-23,2360.0
2015-04-24,2390.0
2015-04-27,2414.0
2015-04-28,2437.0
2015-04-29,2418.0
2015-04-30,2378.0
2015-05-04,2471.0
2015-05-05,2495.0
2015-05-06,2495.0
2015-05-07,2459.0
2015-05-08,2417.0
2015-05-11,2417.0
2015-05-12,2300.0
2015-05-13,2410.0
2015-05-14,2410.0
2015-05-15,2410.0
2015-05-18,2274.0
2015-05-19,2160.0
2015-05-20,2160.0
2015-05-21,2160.0
2015-05-22,2160.0
2015-05-25,2160.0
2015-05-26,2160.0
2015-05-27,2160.0
2015-05-28,2160.0
2015-05-29,2160.0
2015-06-01,2160.0
2015-06-02,2160.0
2015-06-03,2160.0
2015-06-04,2160.0
2015-06-05,2160.0
2015-06-08,2160.0
2015-06-09,2160.0
2015-06-10,2160.0
2015-06-11,2160.0
2015-06-12,2160.0
2015-06-15,2160.0
2015-06-16,2291.0
2015-06-17,2291.0
2015-06-18,2291.0
2015-06-19,2377.0
2015-06-23,2377.0
2015-06-24,2377.0
2015-06-25,2377.0
2015-06-26,2377.0
2015-06-29,2377.0
2015-06-30,2258.0
2015-07-01,2258.0
2015-07-02,2258.0
2015-07-03,2258.0
2015-07-06,2258.0
2015-07-07,2258.0
2015-07-08,2258.0
2015-07-09,2258.0
2015-07-10,2258.0
2015-07-13,2258.0
2015-07-14,2258.0
2015-07-15,2258.0
2015-07-16,2196.0
2015-07-17,2086.0
2015-07-20,2086.0
2015-07-21,2086.0
2015-07-22,2086.0
2015-07-23,2086.0
2015-07-24,2086.0
2015-07-27,2086.0
2015-07-28,2086.0
2015-07-29,2086.0
2015-07-30,2085.0
2015-07-31,1980.0
2015-08-03,1980.0
2015-08-04,1980.0
2015-08-05,1980.0
2015-08-06,1980.0
2015-08-07,1980.0
2015-08-10,1980.0
2015-08-11,1980.0
2015-08-12,1980.0
