date,sgx_io_close
2014-06-02,93.92
2014-06-03,94.08
2014-06-04,95.83
2014-06-05,94.38
2014-06-06,95.25
2014-06-09,94.19
2014-06-10,93.0
2014-06-11,92.94
2014-06-12,91.67
2014-06-13,91.33
2014-06-16,90.58
2014-06-17,91.12
2014-06-18,90.92
2014-06-19,91.81
2014-06-20,92.37
2014-06-23,92.5
2014-06-24,92.5
2014-06-25,92.75
2014-06-26,92.81
2014-06-27,92.83
2014-07-01,95.12
2014-07-02,96.59
2014-07-03,96.58
2014-07-04,95.75
2014-07-07,95.25
2014-07-08,96.56
2014-07-09,95.83
2014-07-10,96.5
2014-07-11,96.81
2014-07-14,97.58
2014-07-15,97.38
2014-07-16,97.17
2014-07-17,96.75
2014-07-18,95.17
2014-07-21,95.13
2014-07-22,95.21
2014-07-23,94.54
2014-07-24,95.12
2014-07-25,95.62
2014-07-28,95.75
2014-07-29,95.75
2014-07-30,95.67
2014-08-01,94.77
2014-08-04,96.17
2014-08-05,96.0
2014-08-06,95.72
2014-08-07,95.08
2014-08-08,95.23
2014-08-11,94.75
2014-08-12,94.13
2014-08-13,93.91
2014-08-14,93.59
2014-08-15,94.28
2014-08-18,93.17
2014-08-19,93.25
2014-08-20,93.13
2014-08-21,93.02
2014-08-22,92.96
2014-08-25,92.75
2014-08-26,92.81
2014-08-27,92.75
2014-08-28,92.75
2014-09-01,86.84
2014-09-02,87.24
2014-09-03,85.0
2014-09-04,84.38
2014-09-05,83.71
2014-09-08,84.69
2014-09-09,83.41
2014-09-10,83.25
2014-09-11,83.21
2014-09-12,84.25
2014-09-15,85.33
2014-09-16,84.53
2014-09-17,84.42
2014-09-18,83.75
2014-09-19,83.13
2014-09-22,82.29
2014-09-23,82.66
2014-09-24,82.69
2014-09-25,82.65
2014-09-26,82.58
2014-09-29,82.45
2014-10-01,79.17
2014-10-02,79.34
2014-10-03,79.28
2014-10-06,79.25
2014-10-07,79.53
2014-10-08,78.25
2014-10-09,78.53
2014-10-10,80.56
2014-10-13,82.83
2014-10-14,82.63
2014-10-15,81.19
2014-10-16,80.38
2014-10-17,80.47
2014-10-20,80.94
2014-10-21,80.5
2014-10-22,80.25
2014-10-23,79.97
2014-10-24,80.32
2014-10-27,80.08
2014-10-28,80.0
2014-10-29,80.17
2014-10-30,80.17
2014-11-03,77.81
2014-11-04,77.5
2014-11-05,76.08
2014-11-06,75.5
2014-11-07,76.33
2014-11-10,75.93
2014-11-11,75.92
2014-11-12,75.97
2014-11-13,75.75
2014-11-14,75.38
2014-11-17,75.28
2014-11-18,74.09
2014-11-19,73.5
2014-11-20,73.62
2014-11-21,74.54
2014-11-24,73.42
2014-11-25,73.41
2014-11-26,73.16
2014-11-27,73.22
2014-12-01,69.59
2014-12-02,69.94
2014-12-03,69.92
2014-12-04,70.87
2014-12-05,71.33
2014-12-08,70.33
2014-12-09,69.54
2014-12-10,69.71
2014-12-11,69.63
2014-12-12,69.56
2014-12-15,69.0
2014-12-16,68.43
2014-12-17,68.58
2014-12-18,68.91
2014-12-19,69.22
2014-12-22,68.76
2014-12-23,68.58
2014-12-24,68.71
2014-12-26,68.63
2014-12-29,68.74
2014-12-30,68.86
2015-01-02,70.67
2015-01-05,69.94
2015-01-06,71.64
2015-01-07,71.19
2015-01-08,70.94
2015-01-09,70.5
2015-01-12,69.09
2015-01-13,68.67
2015-01-14,68.28
2015-01-15,69.06
2015-01-16,69.03
2015-01-19,68.83
2015-01-20,68.69
2015-01-21,68.03
2015-01-22,68.0
2015-01-23,67.66
2015-01-26,67.67
2015-01-27,67.75
2015-01-28,67.58
2015-01-29,67.62
2015-02-02,61.94
2015-02-03,63.0
2015-02-04,63.08
2015-02-05,61.94
2015-02-06,62.62
2015-02-09,61.83
2015-02-10,62.3
2015-02-11,62.56
2015-02-12,62.38
2015-02-13,62.75
2015-02-16,63.19
2015-02-17,63.0
2015-02-18,62.75
2015-02-19,62.75
2015-02-20,63.0
2015-02-23,62.75
2015-02-24,62.87
2015-02-25,62.71
2015-02-26,62.67
2015-03-02,62.19
2015-03-03,62.28
2015-03-04,60.63
2015-03-05,59.92
2015-03-06,58.33
2015-03-09,58.84
2015-03-10,58.06
2015-03-11,58.19
2015-03-12,58.91
2015-03-13,58.21
2015-03-16,58.58
2015-03-17,58.57
2015-03-18,57.25
2015-03-19,56.98
2015-03-20,56.92
2015-03-23,56.92
2015-03-24,57.33
2015-03-25,57.45
2015-03-26,57.33
2015-03-27,57.13
2015-03-30,57.22
2015-03-31,56.94
2015-04-01,47.58
2015-04-02,47.13
2015-04-06,47.0
2015-04-07,47.76
2015-04-08,48.39
2015-04-09,46.92
2015-04-10,47.19
2015-04-13,48.87
2015-04-14,49.75
2015-04-15,49.04
2015-04-16,49.26
2015-04-17,50.37
2015-04-20,49.34
2015-04-21,49.17
2015-04-22,49.75
2015-04-23,49.63
2015-04-24,50.5
2015-04-27,51.37
2015-04-28,50.92
2015-04-29,51.33
2015-05-01,54.0
2015-05-04,56.37
2015-05-05,57.37
2015-05-06,59.9
2015-05-07,58.33
2015-05-08,59.33
2015-05-11,59.96
2015-05-13,59.31
2015-05-14,58.31
2015-05-15,58.75
2015-05-18,58.94
2015-05-19,58.5
2015-05-20,58.5
2015-05-21,59.08
2015-05-22,58.88
2015-05-25,59.5
2015-05-26,59.92
2015-05-27,60.17
2015-05-28,60.42
2015-06-01,60.74
2015-06-02,62.29
2015-06-03,62.0
2015-06-04,62.44
2015-06-05,61.75
2015-06-08,61.17
2015-06-09,61.91
2015-06-10,63.57
2015-06-11,64.7
2015-06-12,63.46
2015-06-15,62.5
2015-06-16,61.88
2015-06-17,61.06
2015-06-18,61.5
2015-06-19,61.62
2015-06-22,61.62
2015-06-23,62.12
2015-06-24,62.25
2015-06-25,62.08
2015-06-26,62.0
2015-06-29,62.17
2015-07-01,54.88
2015-07-02,53.63
2015-07-03,53.17
2015-07-06,50.3
2015-07-07,48.75
2015-07-08,46.0
2015-07-09,48.88
2015-07-10,49.92
2015-07-13,49.88
2015-07-14,50.33
2015-07-15,50.25
2015-07-16,50.08
2015-07-17,50.5
2015-07-20,51.5
2015-07-21,51.5
2015-07-22,51.0
2015-07-23,51.25
2015-07-24,51.13
2015-07-27,51.2
2015-07-28,51.09
2015-07-29,51.59
2015-07-30,51.58
2015-08-03,53.44
2015-08-04,53.67
2015-08-05,55.17
2015-08-06,54.74
2015-08-07,53.75
2015-08-10,53.58
2015-08-11,53.21
2015-08-12,53.65
2015-08-13,54.94
2015-08-14,55.25
2015-08-17,54.8
2015-08-18,55.28
2015-08-19,55.16
2015-08-20,55.17
2015-08-21,55.46
2015-08-24,54.88
2015-08-25,54.88
2015-08-26,54.8
2015-08-27,54.96
2015-08-28,55.08
2015-08-31,55.28
2015-09-01,55.0
2015-09-02,54.75
2015-09-03,55.44
2015-09-04,55.44
2015-09-07,54.62
2015-09-08,55.28
2015-09-09,56.92
2015-09-10,58.0
2015-09-11,57.06
2015-09-14,56.25
2015-09-15,55.41
2015-09-16,55.85
2015-09-17,56.16
2015-09-18,56.25
2015-09-21,56.54
2015-09-22,56.5
2015-09-23,56.5
2015-09-24,56.5
2015-09-25,56.5
2015-09-28,56.43
2015-09-29,56.43
2015-09-30,56.35
2015-10-01,52.7
2015-10-02,52.65
2015-10-05,53.08
2015-10-06,53.5
2015-10-07,53.42
2015-10-08,53.67
2015-10-09,54.87
2015-10-12,54.25
2015-10-13,53.63
2015-10-14,53.53
2015-10-15,53.5
2015-10-16,52.88
2015-10-19,53.17
2015-10-20,53.62
2015-10-21,53.19
2015-10-22,53.0
2015-10-23,53.0
2015-10-26,53.21
2015-10-27,53.14
2015-10-28,53.05
2015-10-29,52.83
2015-10-30,52.74
2015-11-02,47.43
2015-11-03,46.33
2015-11-04,47.27
2015-11-05,46.46
2015-11-06,46.79
2015-11-09,47.81
2015-11-10,47.5
2015-11-11,47.6
2015-11-12,47.38
2015-11-13,47.38
2015-11-16,47.38
2015-11-17,46.59
2015-11-18,46.26
2015-11-19,46.0
2015-11-20,46.12
2015-11-23,46.12
2015-11-24,46.17
2015-11-25,46.11
2015-11-26,46.17
2015-11-27,46.09
2015-11-30,46.1
2015-12-01,39.63
2015-12-02,39.03
2015-12-03,38.78
2015-12-04,38.78
2015-12-07,39.04
2015-12-08,38.92
