date,sgx_io_close
2018-01-05,75.31
2018-01-08,77.01
2018-01-09,77.99
2018-01-10,77.6
2018-01-11,77.96
2018-01-12,77.19
2018-01-15,76.57
2018-01-16,75.84
2018-01-17,75.36
2018-01-18,75.42
2018-01-19,76.6
2018-01-22,76.46
2018-01-23,75.8
2018-01-24,75.66
2018-01-25,75.99
2018-01-26,75.84
2018-01-29,75.96
2018-01-30,75.93
2018-01-31,75.86
2018-02-01,72.09
2018-02-02,72.87
2018-02-05,74.35
2018-02-06,74.57
2018-02-07,75.12
2018-02-08,75.64
2018-02-09,75.58
2018-02-12,75.56
2018-02-13,76.27
2018-02-14,77.01
2018-02-15,77.22
2018-02-16,77.29
2018-02-19,77.35
2018-02-20,77.46
2018-02-21,77.55
2018-02-22,77.18
2018-02-23,77.32
2018-02-26,77.5
2018-02-27,77.48
2018-02-28,77.46
2018-03-01,78.3
2018-03-02,76.96
2018-03-05,74.91
2018-03-06,75.22
2018-03-07,73.93
2018-03-08,72.71
2018-03-09,71.77
2018-03-12,71.2
2018-03-13,71.23
2018-03-14,72.11
2018-03-15,72.49
2018-03-16,71.8
2018-03-19,70.49
2018-03-20,70.46
2018-03-21,70.49
2018-03-22,70.87
2018-03-23,69.98
2018-03-26,69.89
2018-03-27,69.91
2018-03-28,69.75
2018-03-29,69.7
2018-03-30,64.86
2018-04-02,65.7
2018-04-03,64.31
2018-04-04,62.69
2018-04-05,62.74
2018-04-06,63.54
2018-04-09,64.14
2018-04-10,65.0
2018-04-11,64.45
2018-04-12,64.36
2018-04-13,65.05
2018-04-16,64.0
2018-04-17,64.31
2018-04-18,65.15
2018-04-19,66.02
2018-04-20,65.54
2018-04-23,65.77
2018-04-24,65.75
2018-04-25,65.39
2018-04-26,65.35
2018-04-27,65.37
2018-04-30,65.27
2018-05-01,65.66
2018-05-02,67.08
2018-05-03,67.03
2018-05-04,67.05
2018-05-07,68.27
2018-05-08,67.08
2018-05-09,65.98
2018-05-10,66.4
2018-05-11,67.21
2018-05-14,67.91
2018-05-15,67.62
2018-05-16,67.55
2018-05-17,67.33
2018-05-18,67.0
2018-05-21,66.2
2018-05-22,65.93
2018-05-23,65.81
2018-05-24,66.02
2018-05-25,65.98
2018-05-28,65.9
2018-05-29,66.45
2018-05-30,65.83
2018-05-31,65.95
2018-06-01,64.49
2018-06-04,64.18
2018-06-05,64.85
2018-06-06,65.21
2018-06-07,65.35
2018-06-08,64.98
2018-06-11,65.48
2018-06-12,65.74
2018-06-13,65.66
2018-06-14,65.89
2018-06-15,65.54
2018-06-18,65.33
2018-06-19,64.68
2018-06-20,64.81
2018-06-21,64.7
2018-06-22,64.69
2018-06-25,64.65
2018-06-26,64.77
2018-06-27,64.72
2018-06-28,64.75
2018-06-29,64.8
2018-07-02,64.18
2018-07-03,64.09
2018-07-04,63.85
2018-07-05,63.03
2018-07-06,62.93
2018-07-09,63.17
2018-07-10,63.15
2018-07-11,63.16
2018-07-12,63.3
2018-07-13,63.2
2018-07-16,63.47
2018-07-17,63.42
2018-07-18,63.64
2018-07-19,63.91
2018-07-20,63.89
2018-07-23,64.2
2018-07-24,64.24
2018-07-25,64.18
2018-07-26,64.15
2018-07-27,64.32
2018-07-30,64.26
2018-07-31,64.35
2018-08-01,66.64
2018-08-02,66.53
2018-08-03,67.55
2018-08-06,69.03
2018-08-07,69.83
2018-08-08,69.08
2018-08-09,69.19
2018-08-10,68.86
2018-08-13,68.77
2018-08-14,67.84
2018-08-15,67.31
2018-08-16,67.28
2018-08-17,68.01
2018-08-20,68.13
2018-08-21,67.48
2018-08-22,67.35
2018-08-23,67.23
2018-08-24,67.21
2018-08-27,67.15
2018-08-28,67.15
2018-08-29,67.15
2018-08-30,67.16
2018-08-31,67.16
2018-09-03,66.17
2018-09-04,66.61
2018-09-05,66.84
2018-09-06,68.27
2018-09-07,68.22
2018-09-10,68.37
2018-09-11,67.78
2018-09-12,68.01
2018-09-13,68.56
2018-09-14,68.7
2018-09-17,68.87
2018-09-18,68.87
2018-09-19,68.99
2018-09-20,68.88
2018-09-21,68.89
2018-09-24,68.86
2018-09-25,68.51
2018-09-26,68.61
2018-09-27,68.62
2018-09-28,68.73
2018-10-01,68.52
2018-10-02,68.76
2018-10-03,68.94
2018-10-04,69.1
2018-10-05,69.05
2018-10-08,68.83
2018-10-09,69.8
2018-10-10,70.6
2018-10-11,70.31
2018-10-12,70.56
2018-10-15,70.77
2018-10-16,70.79
2018-10-17,72.36
2018-10-18,72.15
2018-10-19,71.89
2018-10-22,72.35
2018-10-23,72.34
2018-10-24,72.79
2018-10-25,72.79
2018-10-26,72.86
2018-10-29,72.87
2018-10-30,72.9
2018-10-31,72.81
2018-11-01,72.89
2018-11-02,72.76
2018-11-05,74.27
2018-11-06,74.1
2018-11-07,74.06
2018-11-08,75.1
2018-11-09,75.64
2018-11-12,75.08
2018-11-13,74.55
2018-11-14,74.99
2018-11-15,74.7
2018-11-16,74.84
2018-11-19,75.29
2018-11-20,74.41
2018-11-21,74.36
2018-11-22,74.07
2018-11-23,73.32
2018-11-26,72.25
2018-11-27,72.16
2018-11-28,72.3
2018-11-29,72.26
2018-11-30,72.28
2018-12-03,65.52
2018-12-04,66.82
2018-12-05,67.58
2018-12-06,65.9
2018-12-07,66.62
2018-12-10,66.5
2018-12-11,66.63
2018-12-12,66.76
2018-12-13,67.49
2018-12-14,68.62
2018-12-17,68.96
2018-12-18,68.68
2018-12-19,68.86
2018-12-20,69.22
2018-12-21,69.4
2018-12-24,69.2
2018-12-25,68.8
2018-12-26,69.49
2018-12-27,69.28
2018-12-28,69.2
2018-12-31,71.12
2019-01-02,71.03
2019-01-03,72.27
2019-01-04,72.95
2019-01-07,74.32
2019-01-08,74.55
2019-01-09,74.22
2019-01-10,74.05
2019-01-11,74.17
2019-01-14,74.5
2019-01-15,74.45
2019-01-16,74.54
2019-01-17,74.65
2019-01-18,75.15
2019-01-21,75.25
2019-01-22,74.58
2019-01-23,74.65
2019-01-24,74.72
2019-01-25,74.72
2019-01-28,75.55
2019-01-29,75.6
2019-01-30,75.7
2019-01-31,76.03
2019-02-01,86.9
2019-02-04,84.98
2019-02-05,88.43
2019-02-06,89.1
2019-02-07,90.89
2019-02-08,92.92
2019-02-11,89.97
2019-02-12,87.91
2019-02-13,87.38
2019-02-14,87.95
2019-02-15,88.11
2019-02-18,88.41
2019-02-19,88.5
2019-02-20,88.23
2019-02-21,87.72
2019-02-22,87.78
2019-02-25,87.6
2019-02-26,87.39
2019-02-27,87.31
2019-02-28,87.33
2019-03-01,85.92
2019-03-04,85.37
2019-03-05,86.4
2019-03-06,85.51
2019-03-07,86.65
2019-03-08,84.83
2019-03-11,83.7
2019-03-12,85.24
2019-03-13,84.74
2019-03-14,86.06
2019-03-15,86.32
2019-03-18,86.65
2019-03-19,86.34
2019-03-20,85.11
2019-03-21,85.24
2019-03-22,85.72
2019-03-25,85.59
2019-03-26,85.71
2019-03-27,85.66
2019-03-28,85.65
2019-03-29,85.7
2019-04-01,87.5
2019-04-02,89.53
2019-04-03,92.35
2019-04-04,92.83
2019-04-05,92.27
2019-04-08,94.26
2019-04-09,92.9
2019-04-10,92.95
2019-04-11,94.2
2019-04-12,94.66
2019-04-15,94.65
2019-04-16,93.79
2019-04-17,92.86
2019-04-18,92.55
2019-04-22,92.83
2019-04-23,93.29
2019-04-24,92.99
2019-04-25,92.91
2019-04-26,93.16
2019-04-29,93.13
2019-04-30,93.24
2019-05-01,93.79
2019-05-02,93.85
2019-05-03,94.21
2019-05-06,93.37
2019-05-07,94.78
2019-05-08,94.1
2019-05-09,94.14
2019-05-10,95.23
2019-05-13,94.45
2019-05-14,93.48
2019-05-15,94.64
2019-05-16,96.12
2019-05-17,97.72
2019-05-20,97.81
2019-05-21,97.89
2019-05-22,98.57
2019-05-23,98.7
2019-05-24,98.6
2019-05-27,99.5
2019-05-28,99.41
2019-05-29,99.04
2019-05-30,99.0
2019-05-31,98.76
2019-06-03,96.49
2019-06-04,98.26
2019-06-05,98.21
2019-06-06,97.5
2019-06-07,97.47
2019-06-10,99.34
2019-06-11,103.78
2019-06-12,103.5
2019-06-13,106.49
2019-06-14,105.58
2019-06-17,104.95
2019-06-18,106.87
2019-06-19,107.92
2019-06-20,109.25
2019-06-21,109.5
2019-06-24,109.24
2019-06-25,108.73
2019-06-26,109.05
2019-06-27,109.07
