year,n,accuracy,auc
2019,252,0.8611,0.9383
2020,253,0.8893,0.9381
2021,252,0.877,0.945
2022,251,0.8845,0.9206
2023,251,0.9323,0.9682
2024,252,0.869,0.9198
2025,252,0.6429,0.6774
2026,118,0.8983,0.9267
