year,n,accuracy,auc
2018,117,0.9573,0.4813
2019,252,0.8056,0.849
2020,253,0.8538,0.9391
2021,252,0.9643,0.9826
2022,251,0.9761,0.9755
2023,250,0.98,0.9859
2024,252,0.9127,0.9543
2025,251,0.9761,0.982
2026,121,0.9587,0.9784
