date,BSL_AX,5401_T,600019_SS,0347_HK,TKA_DE,SSAB_B_ST
2014-06-02,4.588360786437988,311.79107666015625,,,13.965818405151367,26.647411346435547
2014-06-03,4.439336776733398,313.94879150390625,2.1927876472473145,2.7261781692504883,13.768848419189453,26.265365600585938
2014-06-04,4.525613307952881,325.8163146972656,2.1872079372406006,2.7501447200775146,13.733902931213379,26.31312370300293
2014-06-05,4.533457279205322,329.0528564453125,2.1927876472473145,2.6842362880706787,13.908634185791016,26.504140853881836
2014-06-06,4.580517292022705,333.3683776855469,2.1927876472473145,2.7561357021331787,13.784735679626465,
2014-06-09,,326.8951721191406,2.1927876472473145,2.830942153930664,14.054774284362793,26.69516372680664
2014-06-10,4.533457279205322,327.9739990234375,2.203946352005005,2.812833309173584,13.775202751159668,26.69516372680664
2014-06-11,4.447179794311523,334.4471435546875,2.1816279888153076,2.818869113922119,13.683070182800293,26.217613220214844
2014-06-12,4.345216274261475,335.5260314941406,2.1927876472473145,2.873194456100464,13.622708320617676,26.122102737426758
2014-06-13,4.290313243865967,337.6837463378906,2.203946352005005,2.849050283432007,13.514694213867188,25.859447479248047
2014-06-16,4.282470226287842,339.8415222167969,2.2095260620117188,2.921483039855957,13.413033485412598,25.33414077758789
2014-06-17,4.251096248626709,338.76263427734375,2.198367118835449,2.9275197982788086,13.543286323547363,25.405773162841797
2014-06-18,4.33737325668335,344.156982421875,2.1927876472473145,2.897338390350342,13.613178253173828,25.7161808013916
2014-06-19,4.502082347869873,354.945556640625,2.1872079372406006,2.9275197982788086,13.698957443237305,26.05046844482422
2014-06-20,4.462867259979248,354.945556640625,2.1872079372406006,2.9094111919403076,13.594117164611816,
2014-06-23,4.4863972663879395,356.0244140625,2.1816279888153076,2.9033756256103516,13.870509147644043,26.742923736572266
2014-06-24,4.431493759155273,351.708984375,2.1927876472473145,2.915447235107422,13.832386016845703,26.862306594848633
2014-06-25,4.400120735168457,350.6301574707031,2.226264715194702,2.867158889770508,13.606825828552246,26.336999893188477
2014-06-26,4.415806293487549,350.6301574707031,2.2764809131622314,2.9758081436157227,13.489276885986328,26.40863037109375
