date,NUE,STLD,CLF,RS,CMC,WOR,MT,PKX,TX,SID,GGB,VALE,RIO,BHP,FMG_AX,TIO=F,SLX,XME,PICK,DBB,VIX,DX_Y_NYB,TNX,CNY
2014-06-02,37.8026123046875,13.319007873535156,14.45191478729248,56.39433670043945,13.78300952911377,19.334924697875977,30.879478454589844,63.92831802368164,15.483728408813477,2.160837411880493,2.857853651046753,5.927069664001465,22.316015243530273,29.060791015625,1.5747339725494385,93.91000366210938,30.03050422668457,33.001590728759766,23.19013023376465,13.657974243164062,11.579999923706055,80.63999938964844,2.5339999198913574,6.2378997802734375
2014-06-03,37.795127868652344,13.319007873535156,13.831620216369629,56.0339241027832,13.581232070922852,19.29157829284668,30.736799240112305,63.28303527832031,15.302729606628418,2.166450023651123,2.9254391193389893,5.853212356567383,22.175846099853516,28.787918090820312,1.5712268352508545,93.83999633789062,30.03050422668457,32.706180572509766,23.14316177368164,13.608278274536133,11.869999885559082,80.55000305175781,2.5929999351501465,6.2378997802734375
2014-06-04,37.66007995605469,13.365524291992188,13.516845703125,56.237640380859375,13.635553359985352,19.339731216430664,30.594120025634766,63.15755844116211,15.374031066894531,2.177675247192383,2.896474838256836,5.825516700744629,22.316015243530273,28.625905990600586,1.5642123222351074,95.51000213623047,29.997875213623047,33.01847839355469,23.14316177368164,13.467473983764648,12.079999923706055,80.66999816894531,2.6059999465942383,6.24459981918335
2014-06-05,38.23773956298828,13.567091941833496,13.702007293701172,56.793907165527344,13.868376731872559,19.82130241394043,31.001766204833984,63.05897521972656,15.198518753051758,2.2057383060455322,2.886819839477539,5.880908966064453,22.494400024414062,28.85613250732422,1.6308493614196777,94.22000122070312,30.435083389282227,33.61773681640625,23.342777252197266,13.500603675842285,11.680000305175781,80.37000274658203,2.5840001106262207,6.2403998374938965
2014-06-06,38.432796478271484,13.70664119720459,13.405746459960938,57.013267517089844,13.914937973022461,20.11505699157715,31.30750846862793,63.58774948120117,15.193035125732422,2.3011515140533447,2.959230422973633,6.042472839355469,22.711023330688477,28.971254348754883,1.5852559804916382,94.86000061035156,30.7613582611084,33.86249923706055,23.542381286621094,13.566864013671875,10.729999542236328,80.41000366210938,2.5969998836517334,6.246799945831299
2014-06-09,38.10269546508789,13.481812477111816,13.45203685760498,57.38150405883789,13.814050674438477,20.071714401245117,31.409420013427734,64.34954071044922,15.023002624511719,2.3853397369384766,2.9881951808929443,6.13479471206665,22.651554107666016,29.030941009521484,,94.01000213623047,30.89840316772461,33.89626693725586,23.460193634033203,13.724234580993652,11.149999618530273,80.6500015258789,2.61299991607666,6.240499973297119
2014-06-10,38.02768325805664,13.474061965942383,13.350198745727539,57.0289421081543,13.845091819763184,20.06208610534668,31.124065399169922,64.41228485107422,14.704878807067871,2.374114751815796,2.9978504180908203,6.097866058349609,22.447681427001953,28.958463668823242,1.6238347291946411,93.33999633789062,30.637378692626953,33.870933532714844,23.36625862121582,13.66625690460205,10.989999771118164,80.81999969482422,2.634999990463257,6.230299949645996
2014-06-11,38.10269546508789,13.621358871459961,13.313165664672852,57.35797882080078,13.837334632873535,20.076589584350586,31.30750846862793,64.2688980102539,14.715849876403809,2.3909528255462646,2.983367919921875,6.088632106781006,22.545372009277344,28.873193740844727,1.5922698974609375,93.26000213623047,30.735258102416992,34.183223724365234,23.36625862121582,13.508886337280273,11.600000381469727,80.79000091552734,2.640000104904175,6.2144999504089355
2014-06-12,37.73511505126953,13.388779640197754,12.739163398742676,56.44919967651367,13.50362491607666,19.849422454833984,30.736799240112305,64.00896453857422,14.820061683654785,2.323601484298706,2.9544036388397217,5.867062091827393,21.789329528808594,28.37861442565918,1.5186187028884888,92.37999725341797,30.16753578186035,33.75278854370117,22.95529556274414,13.318387985229492,12.5600004196167,80.58000183105469,2.5859999656677246,6.218100070953369
2014-06-13,38.14020919799805,13.582597732543945,13.090970039367676,56.74689483642578,13.581232070922852,20.037921905517578,30.634885787963867,63.507083892822266,14.754243850708008,2.368502378463745,2.944748878479004,5.9132208824157715,21.916751861572266,28.472412109375,1.423924207687378,92.26000213623047,30.284992218017578,34.25920104980469,23.10793685913086,13.368082046508789,12.180000305175781,80.58000183105469,2.6040000915527344,6.208499908447266
2014-06-16,37.8026123046875,13.474061965942383,12.970616340637207,56.3708381652832,13.457059860229492,19.830095291137695,30.43106460571289,63.17548370361328,14.458062171936035,2.334827184677124,2.9157841205596924,5.876292705535889,21.870031356811523,28.58326530456543,1.423924207687378,91.62999725341797,30.108806610107422,34.12415313720703,23.02574920654297,13.475757598876953,12.649999618530273,80.47000122070312,2.5969998836517334,6.19950008392334
