Date,copper
2021-06-21,9231.846249999999
2021-06-22,9335.463238620758
2021-06-23,9548.208892011642
2021-06-24,9505.2192897892
2021-06-25,9477.660909042357
2021-06-28,9431.364090881347
2021-06-29,9428.057926187515
2021-06-30,9472.150284137726
2021-07-01,9351.998267068862
2021-07-02,9440.182982969283
2021-07-06,9387.271732931136
2021-07-07,9543.799971590042
2021-07-08,9417.034573888779
2021-07-09,9595.608465900421
2021-07-12,9530.572159080504
2021-07-13,9511.8326704216
2021-07-14,9429.159630670547
2021-07-15,9552.618863677979
2021-07-16,9551.51610795021
2021-07-19,9282.55198858261
2021-07-20,9421.443494310379
2021-07-21,9441.284687452317
2021-07-22,9585.687869329451
2021-07-23,9714.657727241516
2021-07-26,10117.001676187514
2021-07-27,10022.202528409958
2021-07-28,9874.493181838989
2021-07-29,9964.88235795021
2021-07-30,9877.800397777557
2021-08-02,9770.876193218231
2021-08-03,9662.849232931136
2021-08-04,9546.004431800842
2021-08-05,9580.176193180083
2021-08-06,9580.176193180083
2021-08-09,9451.20633526802
2021-08-10,9593.404005689621
2021-08-11,9620.961335191727
2021-08-12,9603.324602260589
2021-08-13,9671.668125019072
2021-08-16,9528.367698869704
2021-08-17,9259.403579502105
2021-08-18,9074.216306858063
2021-08-19,8903.357499961852
2021-08-20,9115.001448869705
2021-08-23,9335.463238620758
2021-08-24,9380.658352298737
2021-08-25,9402.704005651474
2021-08-26,9360.816107912064
2021-08-27,9516.242642087936
2021-08-30,9614.347954559325
2021-08-31,9612.143494348526
2021-09-01,9398.295085229873
2021-09-02,9457.819715900421
2021-09-03,9536.083835229872
2021-09-07,9430.262386398315
2021-09-08,9329.95156247139
2021-09-09,9443.490198907852
2021-09-10,9806.149659080505
2021-09-13,9619.859630708694
2021-09-14,9519.548806781768
2021-09-15,9708.044346609115
2021-09-16,9432.466846609115
2021-09-17,9359.71440342903
2021-09-20,9076.420767068863
2021-09-21,9100.6708806324
2021-09-22,9375.146676149368
2021-09-23,9327.74710226059
2021-09-24,9452.308039751053
2021-09-27,9465.53585226059
2021-09-28,9358.611647701264
2021-09-29,9259.403579502105
2021-09-30,9016.896136398314
2021-10-01,9245.074062509537
2021-10-04,9361.91886363983
2021-10-05,9263.813551168441
2021-10-06,9164.605482969284
2021-10-07,9371.8394602108
2021-10-08,9442.387443180083
2021-10-11,9644.109744272231
2021-10-12,9543.799971590042
2021-10-13,9965.985113677978
2021-10-14,10210.697016992568
2021-10-15,10436.671534137726
2021-10-18,10428.955397777558
2021-10-19,10392.579176187515
2021-10-20,10485.172812509536
2021-10-21,10111.490000038146
2021-10-22,9978.110170459748
2021-10-25,10034.327585191726
2021-10-26,9891.027159042358
2021-10-27,9671.668125019072
2021-10-28,9783.00125
2021-10-29,9646.315255727768
2021-11-01,9704.737130670546
2021-11-02,9643.0080397892
2021-11-03,9537.18659095764
2021-11-04,9537.18659095764
2021-11-05,9587.892329540253
2021-11-08,9711.351562547683
2021-11-09,9656.235852298736
2021-11-10,9541.59551137924
2021-11-11,9710.248806819915
2021-11-12,9822.68468752861
2021-11-15,9715.760482969283
2021-11-16,9608.836278409957
2021-11-17,9420.34073858261
2021-11-18,9501.912073850632
2021-11-19,9719.067698907851
2021-11-22,9690.407613677979
2021-11-23,9752.136704559325
2021-11-24,9828.196363677978
2021-11-26,9439.080227241515
2021-11-29,9561.436704521178
2021-11-30,9431.364090881347
2021-12-01,9364.123323850632
2021-12-02,9477.660909042357
2021-12-03,9406.01122159004
2021-12-06,9561.436704521178
2021-12-07,9563.641164731978
2021-12-08,9680.485965862274
2021-12-09,9546.004431800842
2021-12-10,9442.387443180083
2021-12-13,9435.774062547684
2021-12-14,9378.453892087937
2021-12-15,9214.209517068863
2021-12-16,9480.968124980925
2021-12-17,9460.024176111221
2021-12-20,9453.41079547882
2021-12-21,9563.641164731978
2021-12-22,9677.17980116844
2021-12-23,9671.668125019072
2021-12-27,9843.628636398314
2021-12-28,9744.420568199157
2021-12-29,9704.737130670546
2021-12-30,9666.156448869704
2021-12-31,9821.581931800842
2022-01-03,9732.29551141739
2022-01-04,9845.833096609114
2022-01-05,9710.248806819915
2022-01-06,9585.687869329451
2022-01-07,9706.941590881348
2022-01-10,9577.971732969283
2022-01-11,9745.52227268219
2022-01-12,10061.885965938567
2022-01-13,9995.746903390884
2022-01-14,9725.681079540253
2022-01-18,9647.4169602108
2022-01-19,9838.116960248946
2022-01-20,10089.443295440673
2022-01-21,9948.347329502105
2022-01-24,9706.941590881348
2022-01-25,9795.126306781769
2022-01-26,9930.710596570969
2022-01-27,9728.98829547882
2022-01-28,9486.479801130294
2022-01-31,9519.548806781768
2022-02-01,9764.261761341095
2022-02-02,9900.948806858063
2022-02-03,9846.934801092148
2022-02-04,9884.413778409957
2022-02-07,9835.912500038146
2022-02-08,9831.50252837181
2022-02-09,10142.35454547882
2022-02-10,10268.017187452317
2022-02-11,9931.813352298735
2022-02-14,9937.325028448104
2022-02-15,9990.235227241516
2022-02-16,10010.077471628189
2022-02-17,9975.905710248946
2022-02-18,9963.779602222443
2022-02-22,9942.836704597472
2022-02-23,9880.004857988357
2022-02-24,9819.377471590042
2022-02-25,9859.060909118652
2022-02-28,9798.433522720336
2022-03-01,10111.490000038146
2022-03-02,10263.608267030715
2022-03-03,10519.344573888779
2022-03-04,10866.571761341094
2022-03-07,10410.215909118651
2022-03-08,10362.816335229872
2022-03-09,10061.885965938567
2022-03-10,10237.152642011642
2022-03-11,10176.526306858063
2022-03-14,9948.347329502105
2022-03-15,9924.097215938567
2022-03-16,10114.796164731979
2022-03-17,10340.7696306324
2022-03-18,10428.955397777558
2022-03-21,10365.020795440674
2022-03-22,10337.463465938568
