Date,steel
2021-06-21,1830.93691
2021-06-22,1827.62998
2021-06-23,1827.62998
2021-06-24,1834.2438399999999
2021-06-25,1834.2438399999999
2021-06-28,1834.2438399999999
2021-06-29,1832.03922
2021-06-30,1995.1810999999998
2021-07-01,1992.9764799999998
2021-07-02,1972.0325899999998
2021-07-06,1984.158
2021-07-07,1967.6233499999998
2021-07-08,1962.1118
2021-07-09,1973.1348999999998
2021-07-12,1973.1348999999998
2021-07-13,1975.3395199999998
2021-07-14,1962.1118
2021-07-15,1962.1118
2021-07-16,1962.1118
2021-07-19,1956.6002499999997
2021-07-20,1962.1118
2021-07-21,1962.1118
2021-07-22,1962.1118
2021-07-23,1962.1118
2021-07-26,1963.21411
2021-07-27,1968.7256599999998
2021-07-28,2072.3428
2021-07-29,2081.16128
2021-07-30,2081.16128
2021-08-02,2049.19429
2021-08-03,2028.2504
2021-08-04,2061.3197
2021-08-05,2061.3197
2021-08-06,2077.8543499999996
2021-08-09,2077.8543499999996
2021-08-10,2075.6497299999996
2021-08-11,2073.4451099999997
2021-08-12,2072.3428
2021-08-13,2072.3428
2021-08-16,2088.87745
2021-08-17,2077.8543499999996
2021-08-18,2080.0589699999996
2021-08-19,2072.3428
2021-08-20,2072.3428
2021-08-23,2076.75204
2021-08-24,2073.4451099999997
2021-08-25,2132.96985
2021-08-26,2134.0721599999997
2021-08-27,2139.58371
2021-08-30,2137.37909
2021-08-31,2143.99295
2021-09-01,2137.37909
2021-09-02,2141.78833
2021-09-03,2139.58371
2021-09-07,2119.7421299999996
2021-09-08,2119.7421299999996
2021-09-09,2124.1513699999996
2021-09-10,2124.1513699999996
2021-09-13,2121.9467499999996
2021-09-14,2127.4583
2021-09-15,2119.7421299999996
2021-09-16,2119.7421299999996
2021-09-17,2134.0721599999997
2021-09-20,2132.96985
2021-09-21,2132.96985
2021-09-22,2132.96985
2021-09-23,2127.4583
2021-09-24,2130.76523
2021-09-27,2132.96985
2021-09-28,2126.35599
2021-09-29,2094.3889999999997
2021-09-30,2094.3889999999997
2021-10-01,2112.02596
2021-10-04,2113.1282699999997
2021-10-05,2105.4121
2021-10-06,2082.26359
2021-10-07,2073.4451099999997
2021-10-08,2074.54742
2021-10-11,2092.1843799999997
2021-10-12,2093.28669
2021-10-13,2088.87745
2021-10-14,2091.08207
2021-10-15,2092.1843799999997
2021-10-18,2086.67283
2021-10-19,2088.87745
2021-10-20,2094.3889999999997
2021-10-21,2096.5936199999996
2021-10-22,2098.7982399999996
2021-10-25,2097.69593
2021-10-26,2106.5144099999998
2021-10-27,1957.7025599999997
2021-10-28,1981.95338
2021-10-29,1987.4649299999999
2021-11-01,1981.95338
2021-11-02,1962.1118
2021-11-03,1967.6233499999998
2021-11-04,1973.1348999999998
2021-11-05,1973.1348999999998
2021-11-08,1989.6695499999998
2021-11-09,1989.6695499999998
2021-11-10,1994.0787899999998
2021-11-11,1998.4880299999998
2021-11-12,1997.3857199999998
2021-11-15,1985.26031
2021-11-16,1986.3626199999999
2021-11-17,1981.95338
2021-11-18,1981.95338
2021-11-19,1984.158
2021-11-22,1986.3626199999999
2021-11-23,1989.6695499999998
2021-11-24,1830.93691
2021-11-26,1769.2075499999999
2021-11-29,1770.3098599999998
2021-11-30,1774.7190999999998
2021-12-01,1757.0821399999998
2021-12-02,1763.696
2021-12-03,1780.2306499999997
2021-12-06,1781.3329599999997
2021-12-07,1785.7422
2021-12-08,1781.3329599999997
2021-12-09,1774.7190999999998
2021-12-10,1770.3098599999998
2021-12-13,1771.4121699999998
2021-12-14,1772.5144799999998
2021-12-15,1796.7652999999998
2021-12-16,1807.7884
2021-12-17,1815.5045699999998
2021-12-20,1803.3791599999997
2021-12-21,1805.58378
2021-12-22,1780.2306499999997
2021-12-23,1781.3329599999997
2021-12-27,1780.2306499999997
2021-12-28,1780.2306499999997
2021-12-29,1566.38251
2021-12-30,1572.9963699999998
2021-12-31,1581.8148499999998
2022-01-03,1585.12178
2022-01-04,1581.8148499999998
2022-01-05,1571.8940599999999
2022-01-06,1565.2802
2022-01-07,1559.7686499999998
2022-01-10,1549.8478599999999
2022-01-11,1543.234
2022-01-12,1581.8148499999998
2022-01-13,1586.22409
2022-01-14,1584.01947
2022-01-18,1574.0986799999998
2022-01-19,1585.12178
2022-01-20,1585.12178
2022-01-21,1570.7917499999999
2022-01-24,1571.8940599999999
2022-01-25,1576.3032999999998
2022-01-26,1317.26045
2022-01-27,1295.21425
2022-01-28,1289.7026999999998
2022-01-31,1284.1911499999999
2022-02-01,1300.7258
2022-02-02,1317.26045
2022-02-03,1307.3396599999999
2022-02-04,1311.7488999999998
2022-02-07,1300.7258
2022-02-08,1283.08884
2022-02-09,1259.94033
2022-02-10,1262.1449499999999
2022-02-11,1246.7126099999998
2022-02-14,1246.7126099999998
2022-02-15,1240.0987499999999
2022-02-16,1231.28027
2022-02-17,1231.28027
2022-02-18,1231.28027
2022-02-22,1231.28027
2022-02-23,1091.2868999999998
2022-02-24,1095.69614
2022-02-25,1113.3330999999998
2022-02-28,1164.03936
2022-03-01,1168.4486
2022-03-02,1165.14167
2022-03-03,1196.0063499999999
2022-03-04,1295.21425
2022-03-07,1190.4948
2022-03-08,1173.9601499999999
2022-03-09,1201.5178999999998
2022-03-10,1214.74562
2022-03-11,1240.0987499999999
2022-03-14,1240.0987499999999
2022-03-15,1240.0987499999999
2022-03-16,1212.541
2022-03-17,1234.5872
2022-03-18,1250.0195399999998
2022-03-21,1251.12185
2022-03-22,1254.42878
2022-03-23,1245.6102999999998
2022-03-24,1231.28027
2022-03-25,1237.89413
2022-03-28,1234.5872
2022-03-29,1236.79182
2022-03-30,1692.0458499999997
2022-03-31,1698.65971
2022-04-01,1697.5574
2022-04-04,1682.1250599999998
2022-04-05,1686.5342999999998
2022-04-06,1671.10196
2022-04-07,1668.8973399999998
2022-04-08,1642.4418999999998
2022-04-11,1625.9072499999997
2022-04-12,1620.3956999999998
2022-04-13,1619.2933899999998
2022-04-14,1630.31649
2022-04-18,1631.4188
2022-04-19,1614.8841499999999
2022-04-20,1617.0887699999998
2022-04-21,1614.8841499999999
2022-04-22,1614.8841499999999
2022-04-25,1615.9864599999999
2022-04-26,1615.9864599999999
2022-04-27,1510.1646999999998
2022-04-28,1532.2108999999998
2022-04-29,1543.234
2022-05-02,1543.234
2022-05-03,1510.1646999999998
2022-05-04,1532.2108999999998
2022-05-05,1537.7224499999998
2022-05-06,1518.98318
2022-05-09,1504.6531499999999
2022-05-10,1502.44853
2022-05-11,1532.2108999999998
2022-05-12,1521.1878
2022-05-13,1523.39242
2022-05-16,1516.77856
2022-05-17,1517.88087
2022-05-18,1521.1878
2022-05-19,1517.88087
2022-05-20,1526.6993499999999
2022-05-23,1526.6993499999999
2022-05-24,1526.6993499999999
2022-05-25,1322.772
2022-05-26,1322.772
2022-05-27,1317.26045
2022-05-31,1311.7488999999998
2022-06-01,1279.78191
2022-06-02,1278.6796
2022-06-03,1273.16805
2022-06-06,1273.16805
2022-06-07,1268.7588099999998
2022-06-08,1267.6564999999998
2022-06-09,1267.6564999999998
2022-06-10,1278.6796
2022-06-13,1254.42878
2022-06-14,1251.12185
2022-06-15,1251.12185
2022-06-16,1241.2010599999999
2022-06-17,1241.2010599999999
2022-06-21,1242.3033699999999
2022-06-22,1232.38258
2022-06-23,1242.3033699999999
2022-06-24,1242.3033699999999
2022-06-27,1242.3033699999999
2022-06-28,1241.2010599999999
2022-06-29,1041.68295
2022-06-30,1025.1482999999998
2022-07-01,1025.1482999999998
2022-07-05,1015.2275099999999
2022-07-06,1017.4321299999999
2022-07-07,1015.2275099999999
2022-07-08,1010.8182699999999
2022-07-11,1008.6136499999999
2022-07-12,1003.1021
2022-07-13,1017.4321299999999
2022-07-14,1010.8182699999999
2022-07-15,1008.6136499999999
2022-07-18,1008.6136499999999
2022-07-19,1008.6136499999999
2022-07-20,1008.6136499999999
2022-07-21,1008.6136499999999
2022-07-22,1017.4321299999999
2022-07-25,1017.4321299999999
2022-07-26,1011.9205799999999
2022-07-27,936.9635
2022-07-28,941.3727399999999
2022-07-29,942.4750499999999
2022-08-01,917.1219199999999
2022-08-02,907.2011299999999
2022-08-03,902.79189
2022-08-04,896.1780299999999
2022-08-05,901.6895799999999
2022-08-08,901.6895799999999
2022-08-09,911.6103699999999
2022-08-10,906.0988199999999
2022-08-11,898.3826499999999
2022-08-12,895.0757199999999
2022-08-15,885.1549299999999
2022-08-16,876.3364499999999
2022-08-17,876.3364499999999
2022-08-18,870.8249
2022-08-19,867.5179699999999
2022-08-22,865.3133499999999
2022-08-23,864.2110399999999
2022-08-24,873.0295199999999
2022-08-25,874.1318299999999
2022-08-26,875.2341399999999
2022-08-29,873.0295199999999
2022-08-30,870.8249
2022-08-31,859.8018
2022-09-01,860.90411
2022-09-02,859.8018
2022-09-06,854.2902499999999
2022-09-07,881.848
2022-09-08,895.0757199999999
2022-09-09,901.6895799999999
2022-09-12,887.3595499999999
2022-09-13,887.3595499999999
2022-09-14,874.1318299999999
2022-09-15,881.848
2022-09-16,869.72259
2022-09-19,867.5179699999999
2022-09-20,879.6433799999999
2022-09-21,879.6433799999999
2022-09-22,879.6433799999999
2022-09-23,884.0526199999999
2022-09-26,880.74569
2022-09-27,884.0526199999999
2022-09-28,866.4156599999999
2022-09-29,863.1087299999999
2022-09-30,855.3925599999999
2022-10-03,848.7787
2022-10-04,853.1879399999999
2022-10-05,834.4486699999999
2022-10-06,826.7325
2022-10-07,824.52788
2022-10-10,826.7325
2022-10-11,811.3001599999999
2022-10-12,827.83481
2022-10-13,830.0394299999999
2022-10-14,827.83481
2022-10-17,832.2440499999999
2022-10-18,828.9371199999999
2022-10-19,835.55098
2022-10-20,834.4486699999999
2022-10-21,839.9602199999999
2022-10-24,834.4486699999999
2022-10-25,841.0625299999999
2022-10-26,771.617
2022-10-27,768.3100699999999
2022-10-28,782.6401
2022-10-31,785.9470299999999
2022-11-01,781.53779
2022-11-02,745.1615599999999
2022-11-03,749.5708
2022-11-04,747.36618
2022-11-07,737.44539
2022-11-08,731.9338399999999
2022-11-09,731.9338399999999
2022-11-10,725.31998
2022-11-11,729.7292199999999
2022-11-14,741.8546299999999
2022-11-15,734.1384599999999
2022-11-16,729.7292199999999
2022-11-17,729.7292199999999
2022-11-18,730.8315299999999
2022-11-21,733.0361499999999
2022-11-22,730.8315299999999
2022-11-23,725.31998
2022-11-25,723.1153599999999
2022-11-28,722.0130499999999
2022-11-29,722.0130499999999
2022-11-30,722.0130499999999
2022-12-01,727.5246
2022-12-02,740.7523199999999
2022-12-05,734.1384599999999
2022-12-06,739.65001
2022-12-07,723.1153599999999
2022-12-08,729.7292199999999
2022-12-09,735.2407699999999
2022-12-12,738.5477
2022-12-13,733.0361499999999
2022-12-14,738.5477
2022-12-15,746.2638699999999
2022-12-16,744.0592499999999
2022-12-19,739.65001
2022-12-20,738.5477
2022-12-21,727.5246
2022-12-22,726.42229
2022-12-23,728.62691
2022-12-27,716.5015
2022-12-28,816.81171
2022-12-29,817.9140199999999
2022-12-30,820.1186399999999
2023-01-03,795.8678199999999
2023-01-04,796.9701299999999
2023-01-05,799.1747499999999
2023-01-06,804.6863
2023-01-09,804.6863
2023-01-10,804.6863
2023-01-11,803.58399
2023-01-12,802.48168
2023-01-13,799.1747499999999
2023-01-17,804.6863
2023-01-18,788.1516499999999
2023-01-19,791.45858
2023-01-20,788.1516499999999
2023-01-23,787.0493399999999
2023-01-24,777.1285499999999
2023-01-25,859.8018
2023-01-26,854.2902499999999
2023-01-27,854.2902499999999
2023-01-30,868.6202799999999
2023-01-31,868.6202799999999
2023-02-01,868.6202799999999
2023-02-02,876.3364499999999
2023-02-03,878.5410699999999
2023-02-06,874.1318299999999
2023-02-07,884.0526199999999
2023-02-08,881.848
2023-02-09,885.1549299999999
2023-02-10,879.6433799999999
2023-02-13,887.3595499999999
2023-02-14,886.2572399999999
2023-02-15,884.0526199999999
2023-02-16,886.2572399999999
2023-02-17,879.6433799999999
2023-02-21,867.5179699999999
2023-02-22,1060.42222
2023-02-23,1086.8776599999999
2023-02-24,1124.3562
2023-02-27,1150.81164
2023-02-28,1161.8347399999998
2023-03-01,1133.1746799999999
2023-03-02,1156.3231899999998
2023-03-03,1157.4254999999998
2023-03-06,1168.4486
2023-03-07,1157.4254999999998
2023-03-08,1173.9601499999999
2023-03-09,1168.4486
2023-03-10,1164.03936
2023-03-13,1162.93705
2023-03-14,1184.98325
2023-03-15,1170.65322
2023-03-16,1164.03936
2023-03-17,1164.03936
2023-03-20,1162.93705
2023-03-21,1164.03936
2023-03-22,1166.24398
2023-03-23,1164.03936
2023-03-24,1165.14167
2023-03-27,1168.4486
2023-03-28,1141.99316
2023-03-29,1289.7026999999998
2023-03-30,1284.1911499999999
2023-03-31,1283.08884
2023-04-03,1295.21425
2023-04-04,1290.8050099999998
2023-04-05,1280.88422
2023-04-06,1285.2934599999999
2023-04-10,1285.2934599999999
2023-04-11,1284.1911499999999
2023-04-12,1305.13504
2023-04-13,1300.7258
2023-04-14,1295.21425
2023-04-17,1295.21425
2023-04-18,1295.21425
2023-04-19,1296.31656
2023-04-20,1296.31656
2023-04-21,1298.52118
2023-04-24,1297.41887
2023-04-25,1296.31656
2023-04-26,1182.7786299999998
2023-04-27,1183.8809399999998
2023-04-28,1178.3693899999998
2023-05-01,1179.4716999999998
2023-05-02,1197.1086599999999
2023-05-03,1218.0525499999999
2023-05-04,1208.13176
2023-05-05,1213.64331
2023-05-08,1218.0525499999999
2023-05-09,1211.43869
2023-05-10,1207.02945
2023-05-11,1207.02945
2023-05-12,1208.13176
2023-05-15,1204.8248299999998
2023-05-16,1204.8248299999998
2023-05-17,1203.7225199999998
2023-05-18,1208.13176
2023-05-19,1205.9271399999998
2023-05-22,1201.5178999999998
2023-05-23,1201.5178999999998
2023-05-24,1211.43869
2023-05-25,1211.43869
2023-05-26,1211.43869
2023-05-30,1211.43869
2023-05-31,1029.55754
2023-06-01,1030.65985
2023-06-02,1036.1714
2023-06-05,1041.68295
2023-06-06,1030.65985
2023-06-07,1025.1482999999998
2023-06-08,1022.9436799999999
2023-06-09,1022.9436799999999
2023-06-12,1025.1482999999998
2023-06-13,1024.0459899999998
2023-06-14,1017.4321299999999
2023-06-15,1021.8413699999999
2023-06-16,1021.8413699999999
2023-06-20,1021.8413699999999
2023-06-21,1005.3067199999999
2023-06-22,1005.3067199999999
2023-06-23,1003.1021
2023-06-26,1003.1021
2023-06-27,1003.1021
2023-06-28,985.4651399999999
2023-06-29,975.5443499999999
2023-06-30,971.1351099999999
2023-07-03,953.4981499999999
2023-07-05,963.4189399999999
2023-07-06,986.5674499999999
2023-07-07,997.5905499999999
2023-07-10,993.1813099999999
2023-07-11,999.7951699999999
2023-07-12,987.6697599999999
2023-07-13,990.97669
2023-07-14,988.7720699999999
2023-07-17,983.2605199999999
2023-07-18,977.7489699999999
2023-07-19,949.0889099999999
2023-07-20,945.7819799999999
2023-07-21,945.7819799999999
2023-07-24,945.7819799999999
2023-07-25,945.7819799999999
2023-07-26,920.4288499999999
2023-07-27,910.5080599999999
2023-07-28,908.3034399999999
2023-07-31,909.4057499999999
2023-08-01,903.8942
2023-08-02,909.4057499999999
2023-08-03,898.3826499999999
2023-08-04,885.1549299999999
2023-08-07,886.2572399999999
2023-08-08,884.0526199999999
2023-08-09,882.95031
2023-08-10,888.4618599999999
2023-08-11,888.4618599999999
2023-08-14,886.2572399999999
2023-08-15,886.2572399999999
2023-08-16,893.97341
2023-08-17,892.8711
2023-08-18,889.5641699999999
2023-08-21,889.5641699999999
2023-08-22,889.5641699999999
2023-08-23,884.0526199999999
2023-08-24,885.1549299999999
2023-08-25,885.1549299999999
2023-08-28,882.95031
2023-08-29,882.95031
2023-08-30,803.58399
2023-08-31,803.58399
2023-09-01,793.6632
2023-09-05,783.74241
2023-09-06,790.3562699999999
2023-09-07,799.1747499999999
2023-09-08,793.6632
2023-09-11,793.6632
2023-09-12,792.56089
