feature,coefficient
shfe_cu_overnight_ret,0.29154403219779607
asianminers_5d_mom,0.23905203395792846
2600_HK_overnight_ret,0.23545410259249822
RIO_div_1d,-0.19194885775621334
DBB_div_5d,0.1802291904370614
XME_div_20d,0.17703734391424888
S32_AX_overnight_div,0.16336216564060252
drawdown_60d,-0.1421903170688322
NHYDY_ratio_mom20,-0.1236879904206777
DX_Y_NYB_ret_5d,0.12262385094886533
lme_al_inv_chg,0.1081656445163806
1378_HK_overnight_div,0.10757582416957832
log_return_3d,-0.10075547766808943
brent_return_1d,0.09628874019575413
CSTM_div_5d,-0.09341469300295582
0486_HK_overnight_ret,0.08782394021839056
vix_momentum_20d,0.08547389804511549
lme_al_inv_z20,-0.08381828656943799
ust_2y_momentum_20d,-0.08295969959730119
KALU_div_z20,-0.07128403980851136
RIO_div_z20,-0.07078483613274343
CSTM_div_1d,0.07004490579765066
dxy_momentum_20d,0.06995723534242006
volatility_60d,-0.06666260712881038
KALU_div_1d,0.06544949502012294
asianminers_20d_mom,0.06465496028270706
TNX_ret_1d,-0.06255749139941612
drawdown_20d,-0.06031701530771709
ust_2y_volatility_20d,0.05266866801808985
ttf_overnight_ret,0.04821574204798256
ust_10y_return_5d,0.04428277230602571
NHYDY_div_5d,0.03830973490203173
dxy_return_1d,0.036762305281588775
brent_momentum_20d,-0.03388053762691708
lme_al_cw_z20,0.03130304571607055
curve_2s10s_return_5d,0.02988471701659857
CENX_div_1d,-0.0295130886128926
PICK_div_1d,0.027980025818588963
ust_2y_return_1d,-0.025428410598667933
VIX_ret_1d,-0.02464051652895249
ASHR_div_z20,-0.02344540849350848
ttf_ret_5d,0.022906910985020817
fed_funds_volatility_20d,-0.02289030409845898
KALU_div_20d,0.022416868824965002
vix_return_5d,-0.02085950502193323
VIX_vol_20d,0.01984711161708074
dow_sin,-0.01939155720772404
CNY_ret_1d,0.01765922900499419
KALU_div_5d,0.017281505136713313
volatility_spike_10_60,0.016807873726230486
lme_al_cw_chg,-0.016528977652771185
asianminers_overnight_mean,0.011415014615101124
CNY_ret_5d,-0.01113889469423667
vix_volatility_20d,0.009617039115365619
ACH_ratio_mom20,-0.00943001990274643
brent_volatility_20d,0.009176259783941758
ACH_div_1d,0.006147591057795292
CSTM_ratio_mom20,0.005759393749767827
curve_2s10s_volatility_20d,-0.005014667996597175
asianminers_trend_5_20,-0.0013995365879948846
curve_2s10s_return_1d,0.000965313298296367
