dtc_row_id,dtc_order_no,ticket_row_id,ticket,true_outbound_ticket,label,truth_in_candidate,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,customer_points,customer_diff_points,price_points,model_probability
1,1507,302,1452,1452,1,1,100.0,169.99,170.0,1.0,0.0,11960,11960,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,11.99,25.0,0.0,8.0,0.996882378267624
1,1507,304,1460,1452,0,1,0.0,-1.12,170.0,15.0,100.0,11960,1132,10828,0.9053511705685618,0,0,1.0,0.0,-40.0,0.0,0.0,-15.0,25.0,3.88,25.0,0.0,0.0,0.6512760522672589
1,1507,306,1460,1452,0,1,0.0,-1.12,170.0,16.0,100.0,11960,668,11292,0.9441471571906355,0,0,1.0,0.0,-40.0,0.0,0.0,-15.0,25.0,3.88,25.0,0.0,0.0,0.6476788405466741
1,1507,303,1460,1452,0,1,0.0,-1.12,170.0,24.0,100.0,11960,618,11342,0.9483277591973244,0,0,1.0,0.0,-40.0,0.0,0.0,-15.0,25.0,3.88,25.0,0.0,0.0,0.6290314301760913
1,1507,305,1460,1452,0,1,1.5,2.54,170.0,14.0,98.5,11960,1140,10820,0.9046822742474916,0,0,1.0,0.0,-40.0,0.0,0.0,-15.0,25.0,3.88,25.0,0.0,3.66,0.6068918838094414
1,1507,293,1443,1452,0,1,54.1,85.5,158.0,2.0,45.9,11960,14240,2280,0.19063545150501673,3,-3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,25.0,0.0,8.0,0.47288353907642566
1,1507,339,1487,1452,0,1,0.0,-27.0,158.0,21.0,100.0,11960,4419,7541,0.6305183946488294,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0,0.3552306669573641
1,1507,338,1487,1452,0,1,0.0,-27.0,158.0,20.0,100.0,11960,1038,10922,0.9132107023411371,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0,0.34791306426846347
1,1507,337,1487,1452,0,1,0.0,-27.0,158.0,19.0,100.0,11960,148,11812,0.9876254180602007,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0,0.34767102958375373
1,1507,340,1487,1452,0,1,0.0,-27.0,158.0,22.0,100.0,11960,1924,10036,0.8391304347826087,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0,0.34587326411224345
