dtc_row_id,dtc_order_no,ticket_row_id,ticket,pseudo_label,pseudo_labeled_order,pseudo_label_reason,pseudo_margin,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,price_points,model_probability
1,1507,1043,17717,1,1,top_clean_score_margin_weight_date,50.900000000000006,90.4,131.06,145.0,1.0,0.0,11960,11960,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.06,0.0,0.9913391400566917
1,1507,1014,17549,0,1,,50.900000000000006,39.5,52.5,133.0,2.0,50.900000000000006,11960,14240,2280,0.19063545150501673,3,-3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,0.0,0.010630104407248108
1,1507,1001,17496,0,1,,50.900000000000006,39.5,52.5,133.0,3.0,50.900000000000006,11960,945,11015,0.9209866220735786,3,-3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,0.0,0.008443722353409877
1,1507,999,17496,0,1,,50.900000000000006,39.5,52.5,133.0,4.0,50.900000000000006,11960,191,11769,0.9840301003344482,3,-3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,0.0,0.008234468943002058
1,1507,1103,17884,0,1,,50.900000000000006,36.1,48.0,133.0,16.0,54.300000000000004,11960,19260,7300,0.6103678929765887,5,5,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005656971130714565
1,1507,1113,17908,0,1,,50.900000000000006,36.1,48.0,133.0,17.0,54.300000000000004,11960,19120,7160,0.5986622073578596,5,5,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005644660004678563
1,1507,1092,17869,0,1,,50.900000000000006,36.1,48.0,133.0,5.0,54.300000000000004,11960,940,11020,0.9214046822742475,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005642312875262193
1,1507,1093,17869,0,1,,50.900000000000006,36.1,48.0,133.0,6.0,54.300000000000004,11960,934,11026,0.9219063545150502,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005609091900589479
1,1507,1094,17869,0,1,,50.900000000000006,36.1,48.0,133.0,7.0,54.300000000000004,11960,849,11111,0.9290133779264214,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005564735100194523
1,1507,1095,17869,0,1,,50.900000000000006,36.1,48.0,133.0,8.0,54.300000000000004,11960,830,11130,0.9306020066889632,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005530116964273675
1,1507,1096,17869,0,1,,50.900000000000006,36.1,48.0,133.0,9.0,54.300000000000004,11960,817,11143,0.9316889632107024,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005496562119742106
1,1507,1097,17869,0,1,,50.900000000000006,36.1,48.0,133.0,10.0,54.300000000000004,11960,808,11152,0.9324414715719064,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0054637724937306245
1,1507,1098,17869,0,1,,50.900000000000006,36.1,48.0,133.0,11.0,54.300000000000004,11960,805,11155,0.9326923076923077,4,4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005432016611250951
