dtc_row_id,dtc_order_no,ticket_row_id,ticket,true_outbound_ticket,label,truth_in_candidate,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,customer_points,customer_diff_points,price_points
2,1506,259,1427,1451,0,1,49.4,78.0,158.0,5.0,50.6,25600,46900,21300,0.83203125,8,-8,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
2,1506,345,1473,1451,0,1,49.4,78.0,158.0,6.0,50.6,25600,36740,11140,0.43515625,11,11,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
2,1506,227,1410,1451,0,1,0.0,-25.96,158.0,7.0,100.0,25600,32820,7220,0.28203125,13,-13,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,4.04
2,1506,300,1449,1451,0,1,0.0,-15.0,158.0,8.0,100.0,25600,34120,8520,0.3328125,1,-1,0.0,0.0,-40.0,0.0,0.0,-15.0,15.0,0.0,25.0,0.0,0.0
2,1506,347,1475,1451,0,1,0.0,-27.52,158.0,9.0,100.0,25600,36360,10760,0.4203125,12,12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,2.48
2,1506,346,1474,1451,0,1,0.0,-30.0,158.0,10.0,100.0,25600,27420,1820,0.07109375,11,11,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
2,1506,343,1470,1451,0,1,0.0,-19.06,158.0,11.0,100.0,25600,25780,180,0.00703125,11,11,0.0,0.0,-40.0,0.0,35.94,0.0,0.0,0.0,0.0,-15.0,0.0
2,1506,341,1468,1451,0,1,0.0,-21.89,158.0,12.0,100.0,25600,15240,10360,0.4046875,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,5.11
2,1506,312,1463,1451,0,1,0.0,-27.0,158.0,13.0,100.0,25600,44640,19040,0.74375,5,5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
2,1506,311,1457,1451,0,1,0.0,-24.52,158.0,14.0,100.0,25600,31460,5860,0.22890625,4,4,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,2.48
