year,n,accuracy,auc
2018,153,0.5686,0.6038
2019,252,0.5079,0.4812
2020,253,0.5692,0.6154
2021,252,0.5476,0.5827
2022,251,0.5777,0.6133
2023,250,0.54,0.5442
2024,252,0.5635,0.5707
2025,251,0.6135,0.6255
2026,120,0.5333,0.4636
