feature,coefficient
close_location,-0.40790453440422586
TNX_ret_1d,-0.2658511532279243
drawdown_20d,0.23844814701419095
CMC_div_20d,-0.2308938775241151
TNX_ret_5d,0.21439927194051306
SID_div_5d,-0.20424782997436813
FMG_AX_div_z20,0.19620802809474697
dow_sin,0.18749870633704127
TX_div_1d,0.17613033508495396
NUE_div_1d,0.17275567957035565
MT_div_z20,-0.16437922122533077
DX_Y_NYB_vol_20d,0.15154506740763138
dow_cos,-0.13342450255495716
VIX_ret_1d,-0.12996365782206354
log_return_5d,-0.12042016107488698
volatility_5d,0.12008647553832878
VIX_ret_5d,0.117928559667162
MT_div_5d,0.10724614827799064
PKX_div_1d,-0.10506650420595696
TX_div_5d,0.09346813995430742
DX_Y_NYB_mom_20d,-0.09262701333707629
CNY_mom_20d,-0.0819688498363645
RS_div_1d,-0.07955092489075842
XME_div_1d,-0.07309036016609786
CNY_ret_1d,0.0699261842697092
DBB_div_z20,0.06752784784563683
TIO=F_div_20d,0.0641033278974736
PKX_div_20d,-0.058626605657433765
TIO=F_ratio_mom20,0.0569852060838046
volatility_10d,0.05684226996142758
CMC_div_5d,-0.05350735741419328
STLD_div_z20,-0.05142567389528718
SID_div_1d,0.04480315885798939
CLF_div_5d,0.04335962284208027
high_low_range,0.037178807990316885
RS_div_5d,-0.03648343619836964
VIX_vol_20d,-0.03578952245303493
CNY_ret_5d,-0.03345946414965088
close_open_return,0.029038926294815373
volume_vs_ma20,0.028584338100426706
BHP_div_1d,-0.01652023202677029
momentum_10d,0.013862242103772396
TIO=F_div_5d,-0.009247648379739798
TIO=F_div_z20,-0.005919023501254745
log_return_2d,0.004969993525366482
FMG_AX_div_1d,0.0030130902559552556
VIX_mom_20d,-0.0025795702411261063
