date,lme_close
2014-06-02,6932.5
2014-06-03,6868.0
2014-06-04,6785.0
2014-06-05,6780.0
2014-06-06,6688.0
2014-06-09,6670.0
2014-06-10,6675.0
2014-06-11,6690.0
2014-06-12,6620.0
2014-06-13,6655.0
2014-06-16,6691.0
2014-06-17,6705.0
2014-06-18,6710.0
2014-06-19,6725.0
2014-06-20,6820.0
2014-06-23,6885.0
2014-06-24,6885.0
2014-06-25,6915.0
2014-06-26,6955.0
2014-06-27,6945.0
2014-06-30,7015.0
2014-07-01,7020.0
2014-07-02,7125.0
2014-07-03,7175.0
2014-07-04,7150.0
2014-07-07,7125.0
2014-07-08,7130.0
2014-07-09,7125.0
2014-07-10,7162.0
2014-07-11,7156.0
2014-07-14,7122.5
2014-07-15,7130.0
2014-07-16,7078.0
2014-07-17,7067.5
2014-07-18,6985.0
2014-07-21,7025.0
2014-07-22,7040.0
2014-07-23,7045.0
2014-07-24,7169.5
2014-07-25,7125.0
2014-07-28,7120.0
2014-07-29,7082.0
2014-07-30,7125.0
2014-07-31,7115.0
2014-08-01,7074.5
2014-08-04,7130.0
2014-08-05,7055.0
2014-08-06,6970.0
2014-08-07,6999.0
2014-08-08,6995.0
2014-08-11,6995.0
2014-08-12,6965.0
2014-08-13,6885.0
2014-08-14,6825.0
2014-08-15,6870.0
2014-08-18,6905.0
2014-08-19,6867.5
2014-08-20,7010.0
2014-08-21,7015.0
2014-08-22,7076.0
2014-08-26,7054.0
2014-08-27,7030.0
2014-08-28,6934.0
2014-08-29,6982.0
2014-09-01,6942.0
2014-09-02,6968.0
2014-09-03,6904.0
2014-09-04,6930.0
2014-09-05,6975.0
2014-09-08,6990.0
2014-09-09,6840.0
2014-09-10,6870.0
2014-09-11,6835.0
2014-09-12,6838.0
2014-09-15,6820.0
2014-09-16,6901.0
2014-09-17,6931.0
2014-09-18,6842.5
2014-09-19,6835.0
2014-09-22,6720.5
2014-09-23,6720.0
2014-09-24,6742.0
2014-09-25,6695.0
2014-09-26,6718.0
2014-09-29,6742.0
2014-09-30,6667.0
2014-10-01,6680.0
2014-10-02,6601.0
2014-10-03,6642.0
2014-10-06,6710.0
2014-10-07,6670.0
2014-10-08,6637.5
2014-10-09,6702.0
2014-10-10,6645.0
2014-10-13,6710.0
2014-10-14,6800.0
2014-10-15,6641.0
2014-10-16,6552.0
2014-10-17,6639.0
2014-10-20,6560.0
2014-10-21,6669.0
2014-10-22,6630.0
2014-10-23,6694.0
2014-10-24,6690.0
2014-10-27,6730.0
2014-10-28,6795.0
2014-10-29,6815.0
2014-10-30,6740.0
2014-10-31,6695.0
2014-11-03,6720.0
2014-11-04,6648.0
2014-11-05,6638.0
2014-11-06,6660.0
2014-11-07,6715.0
2014-11-10,6665.0
2014-11-11,6692.0
2014-11-12,6680.0
2014-11-13,6657.0
2014-11-14,6705.0
2014-11-17,6704.0
2014-11-18,6631.0
2014-11-19,6685.0
2014-11-20,6665.0
2014-11-21,6725.0
2014-11-24,6675.0
2014-11-25,6606.0
2014-11-26,6571.0
2014-11-27,6557.5
2014-11-28,6351.0
2014-12-01,6449.0
2014-12-02,6414.0
2014-12-03,6380.0
2014-12-04,6470.0
2014-12-05,6451.0
2014-12-08,6405.0
2014-12-09,6480.0
2014-12-10,6415.0
2014-12-11,6462.5
2014-12-12,6490.0
2014-12-15,6400.0
2014-12-16,6365.0
2014-12-17,6368.0
2014-12-18,6315.0
2014-12-19,6400.0
2014-12-22,6355.0
2014-12-23,6330.0
2014-12-24,6302.0
2014-12-29,6290.0
2014-12-30,6325.0
2014-12-31,6300.0
2015-01-02,6255.0
2015-01-05,6145.0
2015-01-06,6145.0
2015-01-07,6115.0
2015-01-08,6104.0
2015-01-09,6090.0
2015-01-12,6017.0
2015-01-13,5860.0
2015-01-14,5548.0
2015-01-15,5630.0
2015-01-16,5715.0
2015-01-19,5672.0
2015-01-20,5690.0
2015-01-21,5771.0
2015-01-22,5665.0
2015-01-23,5519.5
2015-01-26,5580.0
2015-01-27,5421.0
2015-01-28,5484.0
2015-01-29,5395.0
2015-01-30,5495.0
2015-02-02,5500.0
2015-02-03,5690.0
2015-02-04,5705.0
2015-02-05,5720.0
2015-02-06,5650.0
2015-02-09,5673.0
2015-02-10,5595.0
2015-02-11,5600.0
2015-02-12,5740.0
2015-02-13,5735.0
2015-02-16,5749.0
2015-02-17,5649.5
2015-02-18,5745.0
2015-02-19,5750.0
2015-02-20,5693.0
2015-02-23,5672.0
2015-02-24,5785.0
2015-02-25,5775.0
2015-02-26,5888.0
2015-02-27,5895.0
2015-03-02,5905.5
2015-03-03,5822.0
2015-03-04,5840.0
2015-03-05,5835.0
2015-03-06,5745.0
2015-03-09,5872.0
2015-03-10,5765.0
2015-03-11,5730.0
2015-03-12,5844.0
2015-03-13,5858.5
2015-03-16,5847.5
2015-03-17,5785.0
2015-03-18,5670.0
2015-03-19,5853.0
2015-03-20,6045.0
2015-03-23,6120.0
2015-03-24,6145.0
2015-03-25,6125.0
2015-03-26,6174.0
2015-03-27,6055.0
2015-03-30,6082.0
2015-03-31,6041.0
2015-04-01,6045.0
2015-04-02,5980.0
2015-04-07,6065.0
2015-04-08,6010.0
2015-04-09,5995.0
2015-04-10,6039.0
2015-04-13,5990.0
2015-04-14,5945.0
2015-04-15,5955.0
2015-04-16,6060.0
2015-04-17,6060.0
2015-04-20,5980.0
2015-04-21,5945.0
2015-04-22,5911.0
2015-04-23,5940.0
2015-04-24,6030.0
2015-04-27,6065.0
2015-04-28,6118.0
2015-04-29,6145.0
2015-04-30,6335.0
2015-05-01,6400.0
2015-05-05,6480.0
2015-05-06,6390.0
2015-05-07,6400.0
2015-05-08,6387.5
2015-05-11,6365.0
2015-05-12,6440.0
2015-05-13,6405.0
2015-05-14,6401.0
2015-05-15,6415.0
2015-05-18,6380.0
2015-05-19,6220.0
2015-05-20,6220.0
2015-05-21,6252.0
2015-05-22,6161.5
2015-05-26,6106.5
2015-05-27,6080.5
2015-05-28,6095.0
2015-05-29,6015.0
2015-06-01,6024.0
2015-06-02,6040.0
2015-06-03,6011.0
2015-06-04,5915.0
2015-06-05,5937.0
2015-06-08,5948.0
2015-06-09,5965.0
2015-06-10,6030.0
2015-06-11,5880.0
2015-06-12,5912.0
2015-06-15,5815.0
2015-06-16,5750.0
2015-06-17,5745.0
2015-06-18,5755.0
2015-06-19,5659.0
2015-06-22,5654.0
2015-06-23,5780.0
2015-06-24,5739.0
2015-06-25,5770.0
2015-06-26,5755.0
2015-06-29,5790.0
2015-06-30,5765.0
2015-07-01,5775.0
2015-07-02,5795.0
2015-07-03,5759.0
2015-07-06,5590.0
2015-07-07,5339.5
2015-07-08,5520.0
2015-07-09,5630.0
2015-07-10,5590.0
2015-07-13,5591.0
2015-07-14,5565.0
2015-07-15,5531.0
2015-07-16,5560.0
2015-07-17,5480.0
2015-07-20,5480.0
2015-07-21,5455.0
2015-07-22,5361.0
2015-07-23,5272.5
2015-07-24,5263.0
2015-07-27,5188.0
2015-07-28,5297.5
2015-07-29,5328.0
2015-07-30,5260.0
2015-07-31,5230.0
2015-08-03,5220.0
2015-08-04,5235.0
2015-08-05,5178.0
2015-08-06,5185.0
2015-08-07,5173.0
2015-08-10,5309.0
2015-08-11,5125.0
2015-08-12,5189.5
2015-08-13,5185.0
2015-08-14,5165.0
2015-08-17,5115.0
2015-08-18,5035.0
2015-08-19,4995.0
2015-08-20,5119.0
2015-08-21,5055.0
2015-08-24,4951.0
2015-08-25,5065.0
2015-08-26,4935.0
2015-08-27,5140.0
2015-08-28,5135.0
2015-09-01,5069.0
2015-09-02,5120.0
2015-09-03,5246.0
2015-09-04,5120.0
2015-09-07,5148.0
2015-09-08,5345.0
2015-09-09,5365.0
2015-09-10,5398.0
2015-09-11,5370.0
2015-09-14,5309.0
2015-09-15,5347.0
2015-09-16,5379.0
2015-09-17,5390.0
2015-09-18,5254.0
2015-09-21,5269.0
2015-09-22,5078.0
2015-09-23,5057.0
2015-09-24,5051.0
2015-09-25,5023.0
2015-09-28,4965.0
2015-09-29,4970.0
2015-09-30,5160.0
2015-10-01,5095.0
2015-10-02,5100.0
2015-10-05,5177.0
2015-10-06,5185.0
2015-10-07,5187.0
2015-10-08,5135.0
2015-10-09,5295.0
2015-10-12,5315.0
2015-10-13,5273.0
2015-10-14,5299.0
2015-10-15,5308.0
2015-10-16,5285.0
2015-10-19,5206.0
2015-10-20,5201.0
2015-10-21,5175.0
2015-10-22,5232.5
2015-10-23,5176.0
2015-10-26,5191.0
2015-10-27,5220.0
2015-10-28,5204.0
2015-10-29,5130.0
2015-10-30,5112.0
2015-11-02,5125.0
2015-11-03,5125.0
2015-11-04,5134.0
2015-11-05,5011.0
2015-11-06,4987.0
2015-11-09,4964.0
2015-11-10,4925.5
2015-11-11,4943.0
2015-11-12,4823.5
2015-11-13,4825.0
2015-11-16,4690.0
2015-11-17,4684.0
2015-11-18,4611.0
2015-11-19,4630.5
2015-11-20,4580.0
2015-11-23,4490.0
2015-11-24,4608.0
