year,n,accuracy,auc
2019,252,0.8294,0.9213
2020,253,0.8972,0.9444
2021,252,0.8532,0.9467
2022,251,0.8685,0.9327
2023,251,0.9203,0.9683
2024,252,0.877,0.929
2025,252,0.7897,0.8665
2026,118,0.8898,0.9749
