feature,coefficient
lme_overnight_ret,3.0484468005490712
lme_overnight_z20,0.5724812950914686
next_gap_z20,0.33829810572489905
next_gap_return,0.20504903519708795
log_return_10d,-0.1592107131891012
lme_comex_basis_chg,0.14093491593626375
drawdown_20d,-0.0813049184074459
CNY_ret_1d,0.06312344980284729
fed_funds_volatility_20d,0.0420739823646265
asianminers_trend_5_20,0.03788835308746922
curve_2s10s_momentum_20d,0.036379973716260394
volume_pct_change_5d,-0.03285415401925784
wti_momentum_20d,-0.03002711918205365
KWEB_div_5d,-0.028343580642681162
CPER_div_20d,0.027573942122968483
VIX_mom_20d,0.025065071995566082
high_low_range,-0.024044466915652717
volume_pct_change_1d,0.023845978487772493
lme_comex_basis,-0.01731968406248211
SFR_AX_overnight_div,-0.0022375233654476144
ust_2y_momentum_20d,-0.0007495937204373386
