date,lme_al_close,lme_al_close_per_lb,mwp_usd_per_lb,mwp_source,delivered_p1020_per_lb,scrap_6061_6063_extrusion_clean_per_lb,scrap_6061_6063_extrusion_clean_anchor,scrap_clean_sheet_litho_per_lb,scrap_clean_sheet_litho_anchor,scrap_ubc_per_lb,scrap_ubc_anchor,scrap_turnings_borings_per_lb,scrap_turnings_borings_anchor,scrap_zorba_per_lb,scrap_zorba_anchor,scrap_mixed_low_copper_per_lb,scrap_mixed_low_copper_anchor,scrap_old_cast_per_lb,scrap_old_cast_anchor,p1020_chg_1d,p1020_chg_5d
2014-06-02,1850.0,0.8391468824559335,0.2,default,1.0391468824559336,0.9352321942103402,p1020,0.8832748500875435,p1020,0.8313175059647469,p1020,0.5403563788770854,p1020,0.6027051918244414,p1020,0.8521004436138655,p1020(fallback),0.9144492565612216,p1020(fallback),,
2014-06-03,1846.0,0.8373325108181909,0.2,default,1.037332510818191,0.9335992597363719,p1020,0.8817326341954623,p1020,0.8298660086545528,p1020,0.5394129056254593,p1020,0.6016528562745508,p1020,0.8506126588709165,p1020(fallback),0.9128526095200081,p1020(fallback),-0.0017460203830419463,
2014-06-04,1835.0,0.8323429888143989,0.2,default,1.032342988814399,0.929108689932959,p1020,0.877491540492239,p1020,0.8258743910515192,p1020,0.5368183541834874,p1020,0.5987589335123513,p1020,0.846521250827807,p1020(fallback),0.908461830156671,p1020(fallback),-0.0048099543316699744,
2014-06-05,1850.0,0.8391468824559335,0.2,default,1.0391468824559336,0.9352321942103402,p1020,0.8832748500875435,p1020,0.8313175059647469,p1020,0.5403563788770854,p1020,0.6027051918244414,p1020,0.8521004436138655,p1020(fallback),0.9144492565612216,p1020(fallback),0.00659072974317243,
2014-06-06,1879.0,0.852301076829567,0.2,default,1.052301076829567,0.9470709691466104,p1020,0.894455915305132,p1020,0.8418408614636537,p1020,0.547196559951375,p1020,0.6103346245611488,p1020,0.862886883000245,p1020(fallback),0.9260249476100191,p1020(fallback),0.012658647777054055,
2014-06-09,1911.0,0.8668160499315075,0.2,default,1.0668160499315076,0.9601344449383569,p1020,0.9067936424417814,p1020,0.8534528399452062,p1020,0.5547443459643839,p1020,0.6187533089602744,p1020,0.8747891609438362,p1020(fallback),0.9387981239397267,p1020(fallback),0.01379355530612214,0.026626810841389847
2014-06-10,1900.5,0.8620533243824333,0.2,default,1.0620533243824333,0.95584799194419,p1020,0.9027453257250683,p1020,0.8496426595059466,p1020,0.5522677286788653,p1020,0.6159909281418112,p1020,0.8708837259935952,p1020(fallback),0.9346069254565413,p1020(fallback),-0.0044644299730774994,0.02383113737054665
2014-06-11,1867.0,0.8468579619163393,0.2,default,1.0468579619163394,0.9421721657247055,p1020,0.8898292676288885,p1020,0.8374863695330715,p1020,0.5443661401964965,p1020,0.6071776179114768,p1020,0.8584235287713983,p1020(fallback),0.9212350064863787,p1020(fallback),-0.014307532510130505,0.014060223452101228
2014-06-12,1844.0,0.8364253249993197,0.2,default,1.0364253249993196,0.9327827924993877,p1020,0.8809615262494216,p1020,0.8291402599994557,p1020,0.5389411689996462,p1020,0.6011266884996054,p1020,0.849868766499442,p1020(fallback),0.9120542859994013,p1020(fallback),-0.009965666113788907,-0.0026190305745630305
2014-06-13,1845.0,0.8368789179087552,0.2,default,1.0368789179087552,0.9331910261178797,p1020,0.8813470802224419,p1020,0.8295031343270042,p1020,0.5391770373125527,p1020,0.601389772387078,p1020,0.8502407126851792,p1020(fallback),0.9124534477597046,p1020(fallback),0.00043765131794315515,-0.014655652512754913
