code,name,commodity,metal,qty_lbs,jan_price,price_source,factor,adjusted,eoy_price,jan_value,eoy_value
DPBr,Dirty Plumbers Brass,BRASS TIER 1,BRASS,17.0,0.5,avg cost,0.9573,True,0.4787,8.5,8.14
6063ALS,6063 AL SOLIDS,ALUMINUM,ALUMINUM,6.0,0.8,YTD purchase,0.9496,True,0.7597,4.8,4.56
CuSt,Cu/Steel Mix,COPPER TIER 3,COPPER,9.0,0.5,YTD purchase,0.9573,True,0.4787,4.5,4.31
CASAL,CAST AL,ALUMINUM,ALUMINUM,14.0,0.3,avg cost,0.9496,True,0.2849,4.2,3.99
ELPLUG,PLUG ENDS,OTHER,OTHER,41.0,0.04,avg cost,1.0,False,0.04,1.64,1.64
ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,ALUMINUM,3.0,0.4,avg cost,0.9496,True,0.3799,1.2,1.14
STBXCAB,STEEL BX CABLE,STEEL,STEEL,9.0,0.08,avg cost,0.9901,True,0.0792,0.72,0.71
CuBkrs,Copper Breakers,COPPER TIER 3,COPPER,10.0,0.07,avg cost,0.9573,True,0.067,0.7,0.67
OLCAAL,OLD CAST AL,ALUMINUM,ALUMINUM,2.0,0.25,avg cost,0.9496,True,0.2374,0.5,0.47
2024ALCST,2024 AL CASTINGS,ALUMINUM,ALUMINUM,1.0,0.2,avg cost,0.9496,True,0.1899,0.2,0.19
ALFOIL,ALUMINUM FOIL,ALUMINUM,ALUMINUM,2.0,0.06,avg cost,0.9496,True,0.057,0.12,0.11
MA00001,MAGNESIUM,OTHER,OTHER,5.0,0.01,YTD purchase,1.0,False,0.01,0.05,0.05
WASTE,WASTE,ZWASTE,ZWASTE,15511.0,0.0,,1.0,False,0.0,0.0,0.0
2507SSS,2507 SS SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,479.0,0.0,,1.0,False,0.0,0.0,0.0
