code,name,commodity,metal,qty_lbs,jan_price,price_source,factor,adjusted,eoy_price,jan_value,eoy_value
CUSEALD,SEALED UNITS,COPPER TIER 3,COPPER,32902.0,0.417,Jan sale,0.9573,True,0.3992,13719.89,13134.48
PRCATAL,CATALYTIC CONVERTOR,OTHER,OTHER,650.0,20.0,YTD sale,1.0,False,20.0,13000.0,13000.0
AL06061,6061 ALUMINUM - SPC,ALUMINUM,ALUMINUM,10858.0,1.114,Jan sale,0.9496,True,1.0579,12096.31,11486.68
TURNSTEEL,STEEL TURNING,STEEL,STEEL,89638.0,0.1237,YTD sale,0.9901,True,0.1225,11091.17,10980.66
UPFECHMO,UNPREPARED FE/CHROME/MOLY,STAINLESS STEEL TIER 2,STAINLESS STEEL,61000.0,0.18,YTD sale,1.0,False,0.18,10980.0,10980.0
NIMIXD,STAINLESS STEEL - FE,STAINLESS STEEL TIER 1,STAINLESS STEEL,23632.0,0.4413,YTD sale,1.0,False,0.4413,10428.71,10428.8
ALLITHO,ALUMINUM LITHO,ALUMINUM,ALUMINUM,5994.0,1.68,Jan sale,0.9496,True,1.5954,10069.92,9562.83
ALTRSTK,ALUMINUM TRAILER STOCK,ALUMINUM,ALUMINUM,8159.0,1.0336,YTD sale,0.9496,True,0.9815,8432.8,8008.06
AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,7853.0,1.0623,YTD sale,0.9496,True,1.0088,8341.91,7922.11
ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,ALUMINUM,5546.0,1.4119,YTD sale,0.9496,True,1.3408,7830.33,7436.08
AL05052,5052 ALUMINUM,ALUMINUM,ALUMINUM,6302.0,1.2088,Jan sale,0.9496,True,1.148,7618.01,7234.7
ROMWIRE,ZZ DO NOT USE - ROMEX,COPPER TIER 2,COPPER,2305.0,3.2,Jan sale,0.9573,True,3.0634,7376.0,7061.14
FE0DEAT,AUTO BODY - COMPLETE,STEEL,STEEL,73960.0,0.0911,YTD purchase,0.9901,True,0.0902,6737.66,6671.19
EDMW,EDM WIRE ,BRASS TIER 1,BRASS,2191.0,3.14,Jan sale,0.9573,True,3.006,6879.74,6586.15
ALMDROSS,ZZ DO NOT USE - ALUMINUM DROSS,ALUMINUM,ALUMINUM,15121.0,0.45,Jan sale,0.9496,True,0.4273,6804.45,6461.2
CUBSBR,CU BUSS BAR,COPPER TIER 1,COPPER,1175.0,5.6318,YTD sale,0.9573,True,5.3914,6617.31,6334.9
ALBRZ,ALUMINUM/BRONZE,ALUMINUM,ALUMINUM,1743.0,3.68,YTD sale,0.9496,True,3.4947,6414.24,6091.26
ALUBREAK,ALUMINUM BREAK,ALUMINUM,ALUMINUM,45678.0,0.1382,YTD sale,0.9496,True,0.1313,6313.48,5997.52
380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,6156.0,0.997,YTD sale,0.9496,True,0.9468,6137.37,5828.5
AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,ALUMINUM,6363.0,0.9617,YTD sale,0.9496,True,0.9133,6119.22,5811.33
SVPBB,SILVER PLTD BUSS BAR,COPPER TIER 1,COPPER,2221.0,2.7035,YTD sale,0.9573,True,2.5881,6004.46,5748.17
CU00003,#3 COPPER,COPPER TIER 1,COPPER,1101.0,5.17,YTD sale,0.9573,True,4.9493,5692.17,5449.18
CCAL,CLEAN CAST ALUMINUM,ALUMINUM,ALUMINUM,7773.0,0.7227,YTD sale,0.9496,True,0.6863,5617.17,5334.61
CUIN265,#2 ICW 65%,COPPER TIER 2,COPPER,1924.0,2.88,Jan sale,0.9573,True,2.7571,5541.12,5304.66
BREDMC,EDM CHOPS,BRASS TIER 2,BRASS,1640.0,3.3,YTD sale,0.9573,True,3.1592,5412.0,5181.09
AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,ALUMINUM,2780.0,1.936,YTD sale,0.9496,True,1.8385,5382.0,5111.03
316SSO,316 STAINLESS STEEL OVERSIZED,STAINLESS STEEL TIER 1,STAINLESS STEEL,6900.0,0.68,avg cost,1.0,False,0.68,4692.0,4692.0
AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,6144.0,0.7967,YTD sale,0.9496,True,0.7566,4895.02,4648.55
CUIN235,#2 ICW 35%,COPPER TIER 2,COPPER,3392.0,1.28,Jan sale,0.9573,True,1.2254,4341.76,4156.56
CU TRANS,COPPER TRANSFORMERS,COPPER TIER 3,COPPER,4493.0,0.9318,YTD sale,0.9573,True,0.8921,4186.71,4008.21
TCUBSBR,TIN PLATED BUSBAR,COPPER TIER 1,COPPER,737.0,5.3619,YTD sale,0.9573,True,5.1331,3951.75,3783.09
ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,ALUMINUM,2809.0,1.3752,YTD sale,0.9496,True,1.3059,3862.86,3668.27
CUIN190,#1 ICW 90%,COPPER TIER 2,COPPER,1085.0,3.43,avg cost,0.9573,True,3.2836,3721.55,3562.71
NI174BO,17-4 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,31048.0,0.11,Jan sale,1.0,False,0.11,3415.28,3415.28
ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,ALUMINUM,11012.0,0.3243,Jan sale,0.9496,True,0.308,3571.06,3391.7
409SS,409 STAINLESS,STAINLESS STEEL TIER 1,STAINLESS STEEL,6707.0,0.5,YTD sale,1.0,False,0.5,3353.5,3353.5
7030BR,70/30 Brass Shells,BRASS TIER 2,BRASS,1074.0,3.0739,YTD sale,0.9573,True,2.9427,3301.4,3160.46
ICWHARWIR,ICW HARNESS WIRE,COPPER TIER 2,COPPER,1440.0,2.29,YTD sale,0.9573,True,2.1923,3297.6,3156.91
CASTAL356,AL CAST - 356,ALUMINUM,ALUMINUM,2761.0,1.1795,YTD sale,0.9496,True,1.1201,3256.69,3092.6
 ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,ALUMINUM,974.0,3.18,YTD sale,0.9496,True,3.0199,3097.32,2941.38
OXEDMWR,OXIDIZED EDM WIRE,BRASS TIER 1,BRASS,976.0,3.1116,YTD sale,0.9573,True,2.9788,3036.94,2907.31
OCAL5,OLD CAST AL 5% FE,ALUMINUM,ALUMINUM,4072.0,0.75,YTD sale,0.9496,True,0.7122,3054.0,2900.08
LEFECAS,STEEL CASED BATTERIES,LEAD,LEAD,10660.0,0.27,Jan sale,1.0,False,0.27,2878.2,2878.2
ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,ALUMINUM,3584.0,0.82,Jan sale,0.9496,True,0.7787,2938.88,2790.86
CUALTER,ALTERNATORS,COPPER TIER 3,COPPER,2438.0,1.15,YTD sale,0.9573,True,1.1009,2803.7,2683.99
CUMOD,ELECTRIC MOTORS - FE,COPPER TIER 3,COPPER,5934.0,0.47,Jan sale,0.9573,True,0.4499,2788.98,2669.71
CUELMOL,ELECTRIC MOTORS - LARGE,COPPER TIER 3,COPPER,5373.0,0.51,Jan sale,0.9573,True,0.4882,2740.23,2623.1
CUIN280,#2 ICW 80%,COPPER TIER 2,COPPER,720.0,3.79,YTD sale,0.9573,True,3.6282,2728.8,2612.3
380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,ALUMINUM,2620.0,0.9754,YTD sale,0.9496,True,0.9262,2555.44,2426.64
ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,ALUMINUM,1038.0,2.2,YTD sale,0.9496,True,2.0892,2283.6,2168.59
CU0003MICA,#3 Cu MICA 98%,COPPER TIER 1,COPPER,418.0,5.17,YTD sale,0.9573,True,4.9493,2161.06,2068.81
ALWHLCR,CHROME RIMS,ALUMINUM,ALUMINUM,2403.0,0.89,YTD sale,0.9496,True,0.8452,2138.67,2031.02
NITOOLS,TOOL STEEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,100.0,20.0,YTD sale,1.0,False,20.0,2000.0,2000.0
ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,ALUMINUM,1828.0,1.1496,YTD purchase,0.9496,True,1.0917,2101.44,1995.63
OPNEYHLXCU,ZZ DO NOT USE HELIAX,COPPER TIER 2,COPPER,780.0,2.57,YTD sale,0.9573,True,2.4603,2004.6,1919.03
ACUT,FULL A/C UNIT,STEEL,STEEL,12877.0,0.15,YTD purchase,0.9901,True,0.1485,1931.55,1912.23
MO2RE2,MO2-RE2,STAINLESS STEEL TIER 2,STAINLESS STEEL,884.0,2.12,avg cost,1.0,False,2.12,1874.08,1874.08
319ALFLASHING,319 AL FLASHINGS ,ALUMINUM,ALUMINUM,2670.0,0.7235,YTD sale,0.9496,True,0.687,1931.67,1834.29
ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,ALUMINUM,9081.0,0.21,Jan sale,0.9496,True,0.1994,1907.01,1810.75
CUSTART,STARTERS,COPPER TIER 3,COPPER,2123.0,0.8687,YTD sale,0.9573,True,0.8317,1844.32,1765.7
6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,ALUMINUM,1398.0,1.2687,YTD sale,0.9496,True,1.2048,1773.63,1684.31
SOFLEA,SOFT LEAD,LEAD,LEAD,2103.0,0.7808,YTD sale,1.0,False,0.7808,1642.13,1642.02
ALMFLASH,ZZZ DO NOT USE - ALUMINUM FLASHINGS - 319,ALUMINUM,ALUMINUM,2880.0,0.56,Jan sale,0.9496,True,0.5318,1612.8,1531.58
CUBALST,BALLAST,COPPER TIER 3,COPPER,4061.0,0.39,Jan sale,0.9573,True,0.3734,1583.79,1516.38
IrYwBr,Irony Yellow Brass,BRASS TIER 1,BRASS,1080.0,1.35,avg cost,0.9573,True,1.2924,1458.0,1395.79
CRNIBR7030,CHROME/NICKEL PLATED BRASS SHELLS,BRASS TIER 2,BRASS,420.0,3.45,YTD sale,0.9573,True,3.3028,1449.0,1387.18
NI316BO,316 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,1418.0,0.951,YTD sale,1.0,False,0.951,1348.52,1348.52
ACPUM,AC PUMPS,OTHER,OTHER,2013.0,0.6424,YTD sale,1.0,False,0.6424,1293.17,1293.15
AL3003,3003 AL SOLIDS,ALUMINUM,ALUMINUM,783.0,1.73,YTD sale,0.9496,True,1.6429,1354.59,1286.39
AUCORESTEEL,AUTO BODY - CORE ,STEEL,STEEL,11370.0,0.11,avg cost,0.9901,True,0.1089,1250.7,1238.19
InsECW,INSULATED EC WIRE,ALUMINUM,ALUMINUM,1077.0,1.2,YTD sale,0.9496,True,1.1396,1292.4,1227.35
5086,AL 5086,ALUMINUM,ALUMINUM,1092.0,1.15,YTD sale,0.9496,True,1.0921,1255.8,1192.57
Al01100,1100 SERIES,ALUMINUM,ALUMINUM,687.0,1.8199,YTD sale,0.9496,True,1.7282,1250.25,1187.27
STCSCOTRA,STEEL CASED COPPER TRANSFORMERS,COPPER TIER 3,COPPER,3330.0,0.35,Jan sale,0.9573,True,0.3351,1165.5,1115.88
LDFNE,ZZ DO NOT USE - LEAD FINES (pb),LEAD,LEAD,22121.0,0.05,YTD sale,1.0,False,0.05,1106.05,1106.05
STMTRBLK,STEEL MOTOR BLOCKS,STEEL,STEEL,8869.0,0.1214,YTD purchase,0.9901,True,0.1202,1076.59,1066.05
6061ALR,6061 AL RIMS,ALUMINUM,ALUMINUM,2147.0,0.475,avg cost,0.9496,True,0.4511,1019.82,968.51
