date,NG=F,GLD,USO
2014-06-02,4.611999988555908,119.69999694824219,300.239990234375
2014-06-03,4.629000186920166,120.01000213623047,301.1199951171875
2014-06-04,4.639999866485596,119.76000213623047,300.0799865722656
2014-06-05,4.701000213623047,120.66000366210938,300.3999938964844
2014-06-06,4.710000038146973,120.61000061035156,300.8800048828125
2014-06-09,4.644999980926514,120.6500015258789,305.44000244140625
2014-06-10,4.53000020980835,121.38999938964844,306.239990234375
2014-06-11,4.507999897003174,121.41000366210938,306.0
2014-06-12,4.76200008392334,122.63999938964844,312.6400146484375
2014-06-13,4.738999843597412,122.95999908447266,312.9599914550781
2014-06-16,4.706999778747559,122.41999816894531,313.3599853515625
2014-06-17,4.709000110626221,122.27999877929688,311.9200134277344
2014-06-18,4.658999919891357,122.66999816894531,312.0799865722656
2014-06-19,4.584000110626221,126.94000244140625,313.0400085449219
2014-06-20,4.531000137329102,126.5,314.55999755859375
2014-06-23,4.446000099182129,126.8499984741211,313.2799987792969
2014-06-24,4.534999847412109,126.9800033569336,312.7200012207031
2014-06-25,4.552999973297119,126.98999786376953,314.32000732421875
2014-06-26,4.400000095367432,126.7300033569336,311.760009765625
2014-06-27,4.408999919891357,126.66000366210938,311.8399963378906
2014-06-30,4.460999965667725,128.0399932861328,311.0400085449219
2014-07-01,4.454999923706055,127.69999694824219,310.8800048828125
2014-07-02,4.35699987411499,127.69999694824219,307.20001220703125
2014-07-03,4.406000137329102,127.16000366210938,306.0
2014-07-07,4.224999904632568,127.0199966430664,305.3599853515625
2014-07-08,4.203999996185303,127.06999969482422,305.44000244140625
2014-07-09,4.170000076293945,127.83999633789062,301.5199890136719
2014-07-10,4.119999885559082,128.5399932861328,303.20001220703125
2014-07-11,4.145999908447266,128.77999877929688,297.2799987792969
2014-07-14,4.146999835968018,125.72000122070312,298.55999755859375
2014-07-15,4.0970001220703125,124.52999877929688,295.0400085449219
2014-07-16,4.11899995803833,124.97000122070312,298.4800109863281
2014-07-17,3.9539999961853027,127.08999633789062,302.6400146484375
2014-07-18,3.9509999752044678,126.12999725341797,301.760009765625
2014-07-21,3.8489999771118164,126.33999633789062,304.79998779296875
2014-07-22,3.7720000743865967,125.73999786376953,303.6000061035156
2014-07-23,3.76200008392334,125.62000274658203,305.2799987792969
2014-07-24,3.8469998836517334,124.3499984741211,302.55999755859375
2014-07-25,3.7809998989105225,125.79000091552734,302.1600036621094
2014-07-28,3.746999979019165,125.58000183105469,301.1199951171875
2014-07-29,3.808000087738037,125.19999694824219,299.1199951171875
