date,BHP_AX,RIO_AX,S32_AX,1378_HK,2600_HK,0486_HK
2014-06-02,14.115575790405273,28.14164161682129,,,,
2014-06-03,14.042281150817871,28.3411922454834,,2.539322853088379,2.5391736030578613,3.328625202178955
2014-06-04,13.949694633483887,28.241413116455078,,2.4703190326690674,2.5391736030578613,3.3775758743286133
2014-06-05,13.965123176574707,28.3411922454834,,2.539322853088379,2.521165370941162,3.465686082839966
2014-06-06,13.980557441711426,28.222408294677734,,2.5071208477020264,2.5301692485809326,3.4265260696411133
2014-06-09,,,,2.488720178604126,2.56618595123291,3.4852662086486816
2014-06-10,13.995987892150879,28.336442947387695,,2.5025205612182617,2.5751900672912598,3.5537970066070557
2014-06-11,13.864821434020996,28.222408294677734,,2.479520082473755,2.602202892303467,3.730018138885498
2014-06-12,13.776093482971191,27.899330139160156,,2.488720178604126,2.602202892303467,3.7104382514953613
2014-06-13,13.614066123962402,27.3671817779541,,2.4841203689575195,2.56618595123291,3.730018138885498
2014-06-16,13.741371154785156,27.566740036010742,,2.4473183155059814,2.56618595123291,3.612537384033203
2014-06-17,13.641070365905762,27.295921325683594,,2.4105167388916016,2.5391736030578613,3.6419074535369873
2014-06-18,13.610208511352539,27.509723663330078,,2.465718984603882,2.5301692485809326,3.612537384033203
2014-06-19,14.053852081298828,28.146394729614258,,2.5025205612182617,2.5301692485809326,3.7006478309631348
2014-06-20,13.868680953979492,27.799545288085938,,2.497920274734497,2.54817795753479,3.7006478309631348
2014-06-23,14.061567306518555,28.507482528686523,,2.479520082473755,2.494152784347534,3.661487579345703
2014-06-24,14.065423965454102,28.284175872802734,,2.5301220417022705,2.5301692485809326,3.6516976356506348
2014-06-25,13.96898365020752,28.065624237060547,,2.5577232837677,2.503156900405884,3.6712777614593506
2014-06-26,14.08086109161377,28.459970474243164,,2.6175262928009033,2.5121612548828125,3.5342166423797607
2014-06-27,14.049992561340332,28.535999298095703,,2.6175262928009033,2.5121612548828125,3.4852662086486816
2014-06-30,13.84938907623291,28.179649353027344,,2.562324047088623,2.503156900405884,3.4363160133361816
2014-07-01,13.887970924377441,28.721284866333008,,,,
2014-07-02,14.215877532958984,29.457733154296875,,2.658928871154785,2.5841944217681885,3.5537970066070557
2014-07-03,14.362473487854004,29.671541213989258,,2.695730209350586,2.5751900672912598,3.6223275661468506
2014-07-04,14.493639945983887,29.742807388305664,,2.68192982673645,2.5751900672912598,3.681067705154419
2014-07-07,14.53221607208252,29.59077262878418,,2.658928871154785,2.54817795753479,3.6223275661468506
2014-07-08,14.501354217529297,29.643030166625977,,2.6865298748016357,2.5751900672912598,3.6712777614593506
2014-07-09,14.370194435119629,29.524248123168945,,2.6773295402526855,2.54817795753479,3.6419074535369873
2014-07-10,14.43191146850586,29.65253448486328,,2.645128011703491,2.56618595123291,3.6223275661468506
2014-07-11,14.497499465942383,29.524248123168945,,2.709531307220459,2.5841944217681885,3.58316707611084
2014-07-14,14.605517387390137,29.619277954101562,,2.7049310207366943,2.665231943130493,3.563586950302124
2014-07-15,14.671093940734863,29.980377197265625,,2.714130401611328,2.737265110015869,3.632117509841919
2014-07-16,14.755966186523438,30.379480361938477,,2.732531785964966,2.7282612323760986,3.7398085594177246
2014-07-17,14.871697425842285,30.764333724975586,,2.787734270095825,2.737265110015869,3.7398085594177246
2014-07-18,14.809975624084473,30.54576873779297,,2.847538471221924,2.7732815742492676,3.632117509841919
