date,AA,CENX,KALU,CSTM,NHYDY,ACH,RIO,BHP,FXI,MCHI,ASHR,KWEB,DBB,PICK,XME,SLX,VIX,DX_Y_NYB,TNX,CNY
2014-06-02,30.768306732177734,13.930000305175781,48.0178108215332,29.260000228881836,3.3107426166534424,28.88331413269043,22.316009521484375,29.060789108276367,27.434053421020508,36.37657165527344,15.030879020690918,26.424833297729492,13.657973289489746,23.190134048461914,33.00160598754883,30.030500411987305,11.579999923706055,80.63999938964844,2.5339999198913574,6.2378997802734375
2014-06-03,30.36786460876465,13.970000267028809,48.07371139526367,29.43000030517578,3.3289337158203125,28.874948501586914,22.17584800720215,28.787918090820312,27.677947998046875,36.72287368774414,14.91608715057373,26.206439971923828,13.60827922821045,23.143163681030273,32.70616912841797,30.030500411987305,11.869999885559082,80.55000305175781,2.5929999351501465,6.2378997802734375
2014-06-04,30.746068954467773,14.300000190734863,48.52083969116211,29.5,3.3410606384277344,28.874948501586914,22.316009521484375,28.62590217590332,27.448835372924805,36.3923225402832,14.74728012084961,26.245437622070312,13.467473983764648,23.143163681030273,33.01847457885742,29.997875213623047,12.079999923706055,80.66999816894531,2.6059999465942383,6.24459981918335
2014-06-05,31.146522521972656,14.600000381469727,49.82731246948242,29.969999313354492,3.4138243198394775,29.142623901367188,22.494401931762695,28.85614013671875,27.670555114746094,36.6756477355957,14.902583122253418,26.635421752929688,13.500603675842285,23.342771530151367,33.61775207519531,30.435083389282227,11.680000305175781,80.37000274658203,2.5840001106262207,6.2403998374938965
2014-06-06,31.925189971923828,14.920000076293945,50.04388427734375,30.799999237060547,3.4016966819763184,29.535778045654297,22.711023330688477,28.971256256103516,27.52273941040039,36.51036834716797,14.821554183959961,26.658815383911133,13.566864013671875,23.542387008666992,33.86250686645508,30.761356353759766,10.729999542236328,80.41000366210938,2.5969998836517334,6.246799945831299
2014-06-09,31.925189971923828,15.170000076293945,49.925106048583984,30.6299991607666,3.395632743835449,29.611059188842773,22.65156364440918,29.03094482421875,27.796199798583984,36.840919494628906,14.87557601928711,26.962995529174805,13.724233627319336,23.460195541381836,33.896263122558594,30.898395538330078,11.149999618530273,80.6500015258789,2.61299991607666,6.240499973297119
2014-06-10,31.658218383789062,14.90999984741211,50.04388427734375,30.450000762939453,3.4320149421691895,29.636150360107422,22.447681427001953,28.95846939086914,27.921833038330078,37.10063934326172,15.030879020690918,27.09559440612793,13.666254997253418,23.366254806518555,33.870941162109375,30.637374877929688,10.989999771118164,80.81999969482422,2.634999990463257,6.230299949645996
2014-06-11,31.546981811523438,14.729999542236328,49.89716720581055,30.40999984741211,3.4198875427246094,29.067350387573242,22.545373916625977,28.873191833496094,27.803592681884766,36.840919494628906,14.956604957580566,27.516767501831055,13.50888729095459,23.366254806518555,34.18323516845703,30.735254287719727,11.600000381469727,80.79000091552734,2.640000104904175,6.2144999504089355
2014-06-12,31.16876220703125,14.680000305175781,49.35222244262695,30.600000381469727,3.4198875427246094,28.80615997314453,21.789329528808594,28.37860870361328,27.729679107666016,36.8251953125,14.909335136413574,27.29057502746582,13.318387031555176,22.955291748046875,33.752784729003906,30.167539596557617,12.5600004196167,80.58000183105469,2.5859999656677246,6.218100070953369
2014-06-13,32.303401947021484,15.449999809265137,49.59675216674805,31.030000686645508,3.4380788803100586,28.82301139831543,21.91675567626953,28.472415924072266,28.15094566345215,37.281654357910156,15.179431915283203,27.399768829345703,13.368082046508789,23.107934951782227,34.25920486450195,30.284996032714844,12.180000305175781,80.58000183105469,2.6040000915527344,6.208499908447266
