feature,selection_freq
dow_sin,1.0
volatility_5d,0.9696969696969697
TNX_vol_20d,0.9696969696969697
TNX_mom_20d,0.9393939393939394
SID_div_1d,0.9393939393939394
volatility_20d,0.9393939393939394
TIO=F_div_5d,0.9090909090909091
DX_Y_NYB_vol_20d,0.9090909090909091
CNY_vol_20d,0.9090909090909091
TNX_ret_1d,0.8787878787878788
DX_Y_NYB_ret_1d,0.8181818181818182
STLD_div_1d,0.8181818181818182
CLF_div_z20,0.8181818181818182
VALE_div_1d,0.7878787878787878
volume_zscore_20d,0.7575757575757576
CMC_div_1d,0.7575757575757576
log_return_3d,0.7272727272727273
volume_vs_ma20,0.7272727272727273
FMG_AX_div_z20,0.696969696969697
ma20_vs_ma60,0.696969696969697
RS_div_5d,0.6666666666666666
high_low_range,0.6666666666666666
CNY_mom_20d,0.6363636363636364
simple_return_1d,0.6363636363636364
FMG_AX_div_5d,0.6060606060606061
VIX_vol_20d,0.6060606060606061
drawdown_60d,0.5757575757575758
XME_ratio_mom20,0.5757575757575758
XME_div_1d,0.5757575757575758
GGB_div_z20,0.5757575757575758
WOR_div_z20,0.5757575757575758
simple_return_5d,0.5454545454545454
VIX_ret_5d,0.5454545454545454
PKX_ratio_mom20,0.5454545454545454
SID_ratio_mom20,0.5454545454545454
CLF_div_5d,0.5151515151515151
close_location,0.5151515151515151
volatility_spike_10_60,0.5151515151515151
PICK_div_z20,0.5151515151515151
PKX_div_5d,0.48484848484848486
TIO=F_ratio_mom20,0.48484848484848486
WOR_div_1d,0.48484848484848486
CNY_ret_1d,0.48484848484848486
VALE_ratio_mom20,0.48484848484848486
RS_div_1d,0.48484848484848486
RIO_ratio_mom20,0.48484848484848486
momentum_5d,0.48484848484848486
volatility_60d,0.48484848484848486
DBB_div_5d,0.45454545454545453
CLF_ratio_mom20,0.45454545454545453
FMG_AX_div_1d,0.45454545454545453
DX_Y_NYB_mom_20d,0.45454545454545453
gap_return,0.45454545454545453
momentum_10d,0.42424242424242425
WOR_div_5d,0.42424242424242425
XME_div_z20,0.42424242424242425
DX_Y_NYB_ret_5d,0.42424242424242425
VIX_mom_20d,0.3939393939393939
TIO=F_div_z20,0.3939393939393939
dow_cos,0.3939393939393939
XME_div_5d,0.3939393939393939
TIO=F_div_1d,0.3939393939393939
log_return_2d,0.3939393939393939
momentum_60d,0.3939393939393939
volatility_10d,0.3939393939393939
momentum_20d,0.3939393939393939
month_cos,0.3939393939393939
WOR_div_20d,0.3939393939393939
VALE_div_5d,0.36363636363636365
RIO_div_5d,0.36363636363636365
TX_div_5d,0.36363636363636365
GGB_div_20d,0.36363636363636365
DBB_div_1d,0.36363636363636365
CNY_ret_5d,0.36363636363636365
CMC_div_20d,0.3333333333333333
NUE_ratio_mom20,0.3333333333333333
STLD_div_5d,0.3333333333333333
MT_div_z20,0.3333333333333333
NUE_div_z20,0.3333333333333333
CMC_div_5d,0.3333333333333333
SID_div_z20,0.3333333333333333
XME_div_20d,0.3333333333333333
SID_div_5d,0.3333333333333333
VIX_ret_1d,0.30303030303030304
CLF_div_20d,0.30303030303030304
BHP_div_20d,0.30303030303030304
MT_ratio_mom20,0.30303030303030304
PKX_div_1d,0.30303030303030304
month_sin,0.30303030303030304
MT_div_5d,0.2727272727272727
BHP_div_1d,0.2727272727272727
CLF_div_1d,0.2727272727272727
VALE_div_z20,0.24242424242424243
PICK_ratio_mom20,0.24242424242424243
TX_div_z20,0.24242424242424243
BHP_div_z20,0.21212121212121213
RS_ratio_mom20,0.21212121212121213
price_vs_ma20,0.21212121212121213
volatility_spike_5_20,0.18181818181818182
log_return_1d,0.18181818181818182
ma5_vs_ma20,0.18181818181818182
RIO_div_20d,0.18181818181818182
TX_div_20d,0.18181818181818182
MT_div_1d,0.18181818181818182
RS_div_z20,0.18181818181818182
TIO=F_div_20d,0.18181818181818182
DBB_ratio_mom20,0.15151515151515152
SLX_ratio_mom20,0.15151515151515152
TNX_ret_5d,0.15151515151515152
price_vs_ma5,0.15151515151515152
NUE_div_5d,0.15151515151515152
MT_div_20d,0.15151515151515152
WOR_ratio_mom20,0.15151515151515152
drawdown_20d,0.15151515151515152
RIO_div_z20,0.15151515151515152
FMG_AX_div_20d,0.15151515151515152
SLX_div_1d,0.15151515151515152
RIO_div_1d,0.15151515151515152
SLX_div_20d,0.15151515151515152
CMC_div_z20,0.12121212121212122
NUE_div_1d,0.12121212121212122
NUE_div_20d,0.12121212121212122
STLD_div_z20,0.12121212121212122
STLD_ratio_mom20,0.12121212121212122
PKX_div_z20,0.12121212121212122
GGB_div_5d,0.09090909090909091
SLX_div_z20,0.09090909090909091
BHP_ratio_mom20,0.09090909090909091
DBB_div_z20,0.09090909090909091
GGB_div_1d,0.09090909090909091
TX_div_1d,0.09090909090909091
DBB_div_20d,0.06060606060606061
BHP_div_5d,0.06060606060606061
FMG_AX_ratio_mom20,0.06060606060606061
CMC_ratio_mom20,0.030303030303030304
RS_div_20d,0.030303030303030304
price_vs_ma60,0.030303030303030304
VALE_div_20d,0.030303030303030304
PICK_div_20d,0.030303030303030304
log_return_10d,0.0
log_return_5d,0.0
close_open_return,0.0
TX_ratio_mom20,0.0
SID_div_20d,0.0
PKX_div_20d,0.0
STLD_div_20d,0.0
SLX_div_5d,0.0
GGB_ratio_mom20,0.0
PICK_div_1d,0.0
PICK_div_5d,0.0
