feature,coefficient
close_location,-0.4079045344042256
TNX_ret_1d,-0.2658511532279229
drawdown_20d,0.2384481470141851
CMC_div_20d,-0.2308938775241147
TNX_ret_5d,0.21439927194051553
SID_div_5d,-0.20424782997436497
FMG_AX_div_z20,0.19620802809474866
dow_sin,0.18749870633704205
TX_div_1d,0.17613033508495407
NUE_div_1d,0.1727556795703512
MT_div_z20,-0.16437922122533363
DX_Y_NYB_vol_20d,0.15154506740763135
dow_cos,-0.13342450255495908
VIX_ret_1d,-0.12996365782206395
log_return_5d,-0.12042016107488367
volatility_5d,0.12008647553833107
VIX_ret_5d,0.11792855966716578
MT_div_5d,0.10724614827799135
PKX_div_1d,-0.10506650420595576
TX_div_5d,0.09346813995430625
DX_Y_NYB_mom_20d,-0.09262701333707436
CNY_mom_20d,-0.081968849836367
RS_div_1d,-0.07955092489075699
XME_div_1d,-0.07309036016609624
CNY_ret_1d,0.0699261842697089
DBB_div_z20,0.06752784784563669
TIO=F_div_20d,0.06410332789746918
PKX_div_20d,-0.05862660565743456
TIO=F_ratio_mom20,0.056985206083804696
volatility_10d,0.05684226996142064
CMC_div_5d,-0.0535073574141894
STLD_div_z20,-0.051425673895286066
SID_div_1d,0.044803158857989286
CLF_div_5d,0.04335962284207868
high_low_range,0.03717880799032061
RS_div_5d,-0.03648343619836942
VIX_vol_20d,-0.035789522453035065
CNY_ret_5d,-0.03345946414965043
close_open_return,0.02903892629481559
volume_vs_ma20,0.02858433810042364
BHP_div_1d,-0.01652023202676833
momentum_10d,0.013862242103773416
TIO=F_div_5d,-0.009247648379736111
TIO=F_div_z20,-0.0059190235012555195
log_return_2d,0.004969993525366082
FMG_AX_div_1d,0.003013090255954473
VIX_mom_20d,-0.0025795702411285427
