init_train,stride,seed,n,accuracy,auc
1000,63,42,1884,0.5303,0.5314
750,63,42,2134,0.5122,0.5183
1250,63,42,1634,0.5226,0.5267
1000,21,42,1884,0.5329,0.5351
1000,126,42,1884,0.5271,0.5279
1000,63,7,1884,0.5297,0.5309
1000,63,123,1884,0.5303,0.5307
