feature,coefficient
VALE_div_5d,0.206705827913167
CNY_vol_20d,0.2006852467410719
shfe_hrc_mom5,0.19817456928567134
sgx_io_mom5,0.15531853216481167
DBB_div_1d,0.14966305682020564
dce_io_div,-0.11510751500712153
TX_div_20d,0.09619724432113136
VALE_div_1d,0.09150145512404165
BHP_div_z20,0.07718267669679321
dce_io_ret_z20,0.05950214486567749
volatility_60d,0.059384265355245096
SID_div_20d,0.050679216983051396
shfe_rb_ret,0.04027862164466033
VIX_vol_20d,-0.03742595316482428
RIO_div_20d,0.03567242160921866
volatility_10d,0.034437387910773186
simple_return_1d,0.030318876655451823
shfe_hrc_5_20,-0.02748279379098093
VIX_ret_5d,-0.021886911359443127
WOR_div_1d,0.017698324054561104
BHP_div_1d,0.01769259424335597
DX_Y_NYB_ret_1d,-0.013324605683440375
SID_div_1d,0.011919165191239457
month_cos,0.008008212280645638
CLF_div_1d,-0.007170580570187365
NUE_ratio_mom20,0.007148232047655577
sgx_io_5_20,-0.005584902726661919
dce_cc_ret_z20,0.0037481888477689513
WOR_div_z20,0.0037026562575948017
dce_io_5_20,-0.003285818846754691
shfe_rb_5_20,-0.0009274929783105807
dce_cc_5_20,0.00026846263995567376
CLF_div_z20,-2.96173685034137e-05
