min_confidence,coverage,committed_days,accuracy,acc_ci_low,acc_ci_high
0.0,1.0,2051,0.5109702584105315,0.4900048756704047,0.5333983422720624
0.03,0.7688932228181375,1577,0.5206087507926442,0.49587824984147116,0.5466074825618262
0.05,0.6338371526084836,1300,0.5076923076923077,0.4807688531029065,0.5365488570902555
0.08,0.4037055095075573,828,0.5132850241545893,0.4776155667128145,0.5483091787439613
