feature,coefficient
DBB_div_5d,0.14464269386328274
brent_return_1d,0.11169485609354174
log_return_1d,0.08439760810911916
XME_div_20d,0.07020376754793026
ttf_ret,0.0693585465631485
VIX_vol_20d,0.06239692737368836
VIX_ret_1d,-0.05271956709056299
PICK_div_1d,0.046251653297277456
drawdown_60d,-0.03460670349175619
CNY_ret_1d,0.03040192663184028
DBB_div_20d,0.030044170825545606
KALU_div_1d,0.02375090956618504
volatility_60d,-0.01801496009729648
curve_2s10s_return_5d,0.017868597283602815
vix_return_5d,-0.01537127147681729
lme_al_cw_chg,-0.015285450387374961
wti_return_1d,0.0145715785020844
lme_al_cw_z20,0.009934962299693227
lme_al_inv_chg,0.00823719004033019
fed_funds_volatility_20d,-0.006876000389977837
vix_momentum_20d,0.005496234574696987
CSTM_div_1d,0.004447600064169478
ASHR_div_z20,-0.002840818064706947
curve_2s10s_return_1d,0.001053282301260426
