date,BHP_AX,RIO_AX,S32_AX,SFR_AX,2899_HK,0358_HK,1208_HK,3993_HK
2014-06-02,14.11557674407959,28.141637802124023,,4.260912895202637,,,,
2014-06-03,14.042281150817871,28.34119415283203,,4.260912895202637,1.2374267578125,8.867040634155273,1.8233879804611206,0.8840263485908508
2014-06-04,13.949692726135254,28.241418838500977,,4.204004287719727,1.237842321395874,8.717212677001953,1.8139890432357788,0.8865100145339966
2014-06-05,13.965124130249023,28.34119415283203,,4.182664394378662,1.2451238632202148,8.689971923828125,1.795192003250122,0.8765764832496643
2014-06-06,13.980555534362793,28.222408294677734,,4.246685981750488,1.2232794761657715,8.785314559936523,1.8421859741210938,0.8790602087974548
2014-06-09,,,,,1.208716869354248,8.676350593566895,1.87978196144104,0.8964426517486572
2014-06-10,13.995987892150879,28.33643913269043,,4.139985084533691,1.2159982919692993,8.730833053588867,1.8891810178756714,0.8914759755134583
2014-06-11,13.86482048034668,28.222408294677734,,4.189777851104736,1.2305610179901123,8.649110794067383,1.8891810178756714,0.9262413382530212
2014-06-12,13.776092529296875,27.89933204650879,,4.075964450836182,1.2524052858352661,8.730833053588867,1.8985799551010132,0.9287244081497192
2014-06-13,13.614070892333984,27.3671817779541,,4.040398120880127,1.2596867084503174,8.744455337524414,1.8891810178756714,0.9485902190208435
2014-06-16,13.741372108459473,27.566747665405273,,4.125757694244385,1.2742493152618408,8.77914810180664,1.8891810178756714,1.013154149055481
2014-06-17,13.641072273254395,27.295917510986328,,4.147097587585449,1.237842321395874,8.65025520324707,1.8421859741210938,0.9610065221786499
2014-06-18,13.610211372375488,27.50972557067871,,4.189777851104736,1.2524052858352661,8.578645706176758,1.8985799551010132,0.9883214831352234
2014-06-19,14.053853988647461,28.146392822265625,,4.303591728210449,1.2305610179901123,8.607290267944336,1.9549729824066162,0.9659724235534668
2014-06-20,13.868680000305176,27.7995548248291,,4.339159965515137,1.2742493152618408,8.65025520324707,1.8703830242156982,0.9883214831352234
2014-06-23,14.061566352844238,28.50748634338379,,4.3178181648254395,1.2596867084503174,8.707541465759277,1.8985799551010132,1.0156370401382446
2014-06-24,14.065425872802734,28.2841739654541,,4.332046031951904,1.2669681310653687,8.707541465759277,1.9267760515213013,1.005704641342163
2014-06-25,13.968982696533203,28.065616607666016,,4.289365768432617,1.2669681310653687,8.678898811340332,1.91737699508667,0.9957711696624756
2014-06-26,14.080862045288086,28.459970474243164,,4.303591728210449,1.2669681310653687,8.893722534179688,2.0771589279174805,0.9982548356056213
2014-06-27,14.049995422363281,28.535995483398438,,4.381838321685791,1.2742493152618408,8.850756645202637,2.189945936203003,0.9883214831352234
2014-06-30,13.849392890930176,28.179645538330078,,4.424520015716553,1.2815312147140503,8.77914810180664,2.180546998977661,0.9858384132385254
2014-07-01,13.88796615600586,28.721288681030273,,4.332046031951904,,,,
2014-07-02,14.215879440307617,29.45774269104004,,4.531220436096191,1.2815312147140503,9.409300804138184,2.2557380199432373,1.0081877708435059
2014-07-03,14.36247444152832,29.671541213989258,,4.502767562866211,1.3106567859649658,9.552515983581543,2.3027329444885254,1.037986159324646
2014-07-04,14.49363899230957,29.742807388305664,,4.531220436096191,1.3106567859649658,9.710053443908691,2.359126091003418,1.0330195426940918
2014-07-07,14.53221607208252,29.59075927734375,,4.424520015716553,1.288812518119812,9.566837310791016,2.349726915359497,1.0653020143508911
2014-07-08,14.501352310180664,29.643030166625977,,4.445859432220459,1.2815312147140503,9.581159591674805,2.3779239654541016,1.062818169593811
2014-07-09,14.370186805725098,29.52425193786621,,4.445859432220459,1.288812518119812,9.566837310791016,2.33092999458313,1.062818169593811
2014-07-10,14.431914329528809,29.652536392211914,,4.495652675628662,1.2960938215255737,9.480908393859863,2.3685250282287598,1.1099997758865356
2014-07-11,14.4974946975708,29.52425193786621,,4.481427192687988,1.288812518119812,9.867592811584473,2.406121015548706,1.1273818016052246
2014-07-14,14.605513572692871,29.61927604675293,,4.488539695739746,1.3179380893707275,9.967843055725098,2.443716049194336,1.1969119310379028
2014-07-15,14.671096801757812,29.980371475219727,,4.6450347900390625,1.3179380893707275,9.93919849395752,2.4813120365142822,1.2118115425109863
2014-07-16,14.755965232849121,30.379467010498047,,4.6450347900390625,1.3106567859649658,9.996485710144043,2.5940990447998047,1.1795297861099243
2014-07-17,14.871698379516602,30.764324188232422,,4.8015289306640625,1.3106567859649658,9.824626922607422,2.6034979820251465,1.2142950296401978
2014-07-18,14.809971809387207,30.545764923095703,,4.6592607498168945,1.3106567859649658,9.924877166748047,2.5471038818359375,1.1944289207458496
2014-07-21,14.744394302368164,30.265443801879883,,4.730395317077637,1.2960938215255737,9.795984268188477,2.5471038818359375,1.1695970296859741
