min_confidence,coverage,committed_days,accuracy,acc_ci_low,acc_ci_high
0.0,1.0,2034,0.5172074729596854,0.4872163603358294,0.5476892822025565
0.03,0.8112094395280236,1650,0.5339393939393939,0.4987878787878788,0.5684848484848485
0.05,0.7645034414945919,1555,0.5434083601286174,0.5054662379421222,0.5794221254268551
0.08,0.6160275319567355,1253,0.5482841181165203,0.5044659510918718,0.5889869563253278
