year,n,accuracy,auc
2018,153,0.5621,0.598
2019,252,0.5198,0.4701
2020,253,0.5257,0.5606
2021,252,0.5476,0.577
2022,251,0.5618,0.5908
2023,250,0.512,0.5149
2024,252,0.504,0.5133
2025,251,0.5657,0.5714
2026,120,0.4,0.3913
